"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,25,"BEN","Benin",1,"Alibori","BJ.AL",NA,"","Département","Department","",""
2,25,"BEN","Benin",2,"Atakora","BJ.AK",NA,"","Département","Department","",""
3,25,"BEN","Benin",3,"Atlantique","BJ.AQ",NA,"","Département","Department","",""
4,25,"BEN","Benin",4,"Borgou","BJ.BO",NA,"","Département","Department","",""
5,25,"BEN","Benin",5,"Collines","BJ.CL",NA,"","Département","Department","",""
6,25,"BEN","Benin",6,"Donga","BJ.DO",NA,"","Département","Department","",""
7,25,"BEN","Benin",7,"Kouffo","BJ.CF",NA,"","Département","Department","","Couffo"
8,25,"BEN","Benin",8,"Littoral","BJ.LI",NA,"","Département","Department","",""
9,25,"BEN","Benin",9,"Mono","BJ.MO",NA,"","Département","Department","",""
10,25,"BEN","Benin",10,"Ouémé","BJ.OU",NA,"","Département","Department","",""
11,25,"BEN","Benin",11,"Plateau","BJ.PL",NA,"","Département","Department","",""
12,25,"BEN","Benin",12,"Zou","BJ.ZO",NA,"","Département","Department","",""
