index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;0.11391249299;3.52290868759;6.00351810455;74.4577636719;18.6846809387;20.4008464813;47.4288253784;0.00121940264944;71.9764099121;0.0;0.0;17.1698246002;16.6232795715
2;438.0;3.0;1951.0;15.0;0.218286976218;11.882935524;4.37633752823;13.21616745;19.6543426514;23.0941753387;12.4143753052;1.69627285004;18.5775909424;0.000777291948907;0.0;9.62402629852;20.0572319031
3;469.0;4.0;1951.0;15.0;39.5920295715;43.745426178;34.7700424194;32.1817207336;20.664276123;33.1441192627;26.4892711639;39.1024284363;44.5563812256;27.7348804474;27.5477256775;20.1142406464;47.6663894653
4;499.0;5.0;1951.0;15.0;33.3231811523;33.3695869446;31.5049304962;31.4958896637;23.717502594;26.493555069;29.0315418243;34.7450447083;35.2496757507;26.6583251953;32.1847076416;28.2725276947;32.3987846375
5;530.0;6.0;1951.0;15.0;51.5508003235;43.4980163574;47.9650192261;45.7813148499;30.0540409088;36.7479705811;41.6914596558;51.0239830017;44.1023139954;46.4136123657;51.2220726013;36.3435783386;44.7611656189
6;560.0;7.0;1951.0;15.0;70.4642944336;51.7525100708;59.0796279907;34.2700309753;26.116481781;36.1901626587;29.5031528473;70.1563568115;47.0816612244;52.4978065491;65.9368896484;22.7062263489;47.3145675659
7;591.0;8.0;1951.0;15.0;76.3633651733;49.207698822;80.8365859985;39.6015968323;30.7551937103;37.5074119568;37.1136283875;72.7474365234;41.3023414612;86.0669555664;128.938369751;30.835105896;44.1275444031
8;622.0;9.0;1951.0;15.0;108.72543335;69.8143844604;102.719909668;36.6637306213;28.0042171478;41.292224884;32.0750999451;61.6887054443;58.1022949219;110.218963623;165.128051758;21.8871898651;55.2897148132
9;652.0;10.0;1951.0;15.0;20.4509449005;40.0083312988;23.6495323181;29.0272541046;16.6720333099;23.5718097687;24.4490776062;28.7716903687;44.6930847168;17.430721283;16.0423870087;14.9282083511;36.4262924194
10;683.0;11.0;1951.0;15.0;0.555507957935;4.28709411621;2.51804304123;21.156709671;13.0907173157;9.93945789337;16.547416687;0.132383868098;16.0462112427;0.131062090397;0.0;13.1346387863;6.38390684128
11;713.0;12.0;1951.0;15.0;0.0;0.34525051713;0.562773346901;5.74919891357;5.00952625275;3.49444770813;4.16509056091;0.00304225948639;3.94462561607;0.0;0.0;3.32614445686;1.6973118782
12;744.0;1.0;1952.0;15.0;0.0;0.0469350777566;0.383926033974;4.88246774673;1.89355897903;1.48685574532;3.89778780937;0.0;3.64649057388;0.0;0.0;1.08814609051;1.29737079144
13;775.0;2.0;1952.0;15.0;0.0;0.0436011664569;0.0592721737921;0.288863241673;0.0122619923204;0.0357794612646;0.425375759602;0.0;0.588033854961;0.0;0.0;0.0842701271176;0.508511602879
14;804.0;3.0;1952.0;15.0;6.40669298172;20.0731658936;7.48056173325;20.0669250488;16.385093689;21.8171787262;16.8565711975;7.04741048813;20.4651050568;0.0;0.0;14.7581443787;20.317111969
15;835.0;4.0;1952.0;15.0;10.3486127853;18.307641983;10.9439611435;27.9856624603;15.4475879669;18.68227005;20.6992549896;19.5634155273;25.4063491821;7.00292539597;0.0178676750511;23.7334003448;21.4281349182
16;865.0;5.0;1952.0;15.0;89.9206237793;61.7616424561;80.2555770874;81.3442001343;65.6052093506;61.2906837463;76.6544036865;50.9886322021;65.8224563599;57.2489242554;119.30544281;84.3638916016;68.2796096802
17;896.0;6.0;1952.0;15.0;58.2062835693;52.6699638367;56.8049621582;73.9651947021;59.3143424988;58.3390083313;74.9569473267;60.3803825378;57.87657547;58.1206665039;51.0064849854;87.1169204712;59.5760879517
18;926.0;7.0;1952.0;15.0;62.8372535706;44.5809898376;55.2111587524;41.055015564;30.6096305847;37.5709533691;38.2490539551;56.5012512207;35.3262557983;62.9167938232;57.1521873474;44.1243362427;45.6410942078
19;957.0;8.0;1952.0;15.0;74.2998657227;50.2866210938;64.8055801392;26.3225688934;19.0923118591;28.5454902649;24.2153511047;69.2262878418;32.2817497253;69.9453887939;80.9483718872;16.8168754578;34.1587905884
20;988.0;9.0;1952.0;15.0;87.9326705933;60.6649246216;75.7943649292;42.1399726868;25.2248439789;35.2905158997;35.4573173523;94.3149108887;54.1694564819;93.0119018555;72.8282470703;26.1007118225;46.1044654846
21;1018.0;10.0;1952.0;15.0;43.5124473572;15.0696821213;21.2663421631;12.8604850769;7.93308973312;11.8239336014;10.2283287048;16.8973331451;18.0554981232;20.1464290619;11.325214386;5.54052782059;12.8049001694
22;1049.0;11.0;1952.0;15.0;0.0127037987113;1.57029485703;2.20591068268;14.4805431366;15.9497318268;16.2415828705;14.9050884247;0.00598351377994;10.9959783554;0.0;0.0;8.58201503754;12.0546016693
23;1079.0;12.0;1952.0;15.0;0.0;0.000182402771316;0.0244665574282;0.425820440054;0.00317418831401;0.0152951162308;0.226141288877;0.0;0.40111503005;0.0;0.0;0.170370444655;0.0493088923395
24;1110.0;1.0;1953.0;15.0;0.0;6.81027889252;5.78370714188;12.6970882416;49.2347259521;72.3542022705;27.4285125732;0.0;1.96165001392;0.0;0.0;7.78970956802;36.1582756042
25;1141.0;2.0;1953.0;15.0;19.1555271149;68.2560119629;25.5329341888;28.8683929443;32.0618400574;51.1018600464;18.1376438141;27.7315864563;61.8351325989;6.70282697678;7.48795938492;12.7197332382;69.5260925293
26;1169.0;3.0;1953.0;15.0;84.2274017334;53.8761749268;70.9453735352;44.870262146;51.6165847778;52.1242980957;46.7341766357;91.0131225586;39.622089386;70.6324081421;74.599067688;38.6375007629;47.3283653259
27;1200.0;4.0;1953.0;15.0;62.191860199;42.3968544006;57.0210456848;32.0451927185;34.2347869873;40.3298606873;31.5882911682;48.2273292542;39.0721092224;50.7442169189;81.2236938477;28.3130054474;42.8367614746
28;1230.0;5.0;1953.0;15.0;34.2113189697;37.842792511;38.8997116089;54.6595840454;38.9268875122;39.4703216553;49.9090576172;31.3275470734;48.7755126953;45.986038208;36.5902099609;56.5673484802;46.8457565308
