index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;0.643894374371;6.5734910965;2.44197177887;10.814414978;10.7532253265;10.2101011276;9.88822460175;1.44220542908;10.6154031754;0.00055135373259;0.0;7.19561862946;6.21649694443
2;10665.0;3.0;1979.0;15.0;33.7561416626;19.1092987061;24.5057888031;14.3290843964;10.2979717255;11.8195543289;13.6951580048;48.4675445557;14.9880876541;19.1531677246;20.0809555054;11.5552043915;11.7440719604
3;10696.0;4.0;1979.0;15.0;34.9280700684;47.2403106689;33.2083930969;52.5471992493;38.2158584595;44.642539978;48.9873962402;48.9971199036;67.9011230469;18.9918327332;16.3803081512;32.0275611877;52.858959198
4;10726.0;5.0;1979.0;15.0;39.4102172852;53.7333068848;61.7781181335;63.5988349915;68.1990356445;90.1070098877;63.1521377563;46.2294082642;66.9725112915;71.6137695312;77.4257583618;51.0923919678;88.6367340088
5;10757.0;6.0;1979.0;15.0;44.6081466675;55.5044898987;70.0810012817;89.5520477295;110.316184998;109.457061768;114.711486816;52.2139663696;74.4777526855;82.7074584961;83.0047073364;92.3974304199;89.6222229004
6;10787.0;7.0;1979.0;15.0;84.5165328979;126.717262268;93.9573059082;66.9473571777;54.348033905;81.5921401978;61.7203559875;111.63192749;77.8543548584;122.364814758;65.4277496338;35.5590858459;102.133300781
7;10818.0;8.0;1979.0;15.0;93.7761383057;125.883270264;89.4499359131;51.5671920776;36.4769325256;59.760383606;43.0738754272;99.6679611206;72.7189102173;63.9283905029;97.7663269043;28.232011795;90.0403442383
8;10849.0;9.0;1979.0;15.0;78.8507766724;47.8548202515;71.1899795532;43.8570098877;31.4345932007;34.6216239929;36.9339447021;95.0917053223;44.5402107239;100.170288086;64.1254272461;35.8814163208;42.0934104919
9;10879.0;10.0;1979.0;15.0;38.7648735046;28.9044284821;36.018409729;27.8065547943;27.7982559204;26.4310894012;30.4187965393;27.3316917419;32.5158309937;37.7277336121;44.4841575623;33.6784629822;26.9896259308
10;10910.0;11.0;1979.0;15.0;12.9497594833;10.0540342331;12.6490325928;18.4882392883;12.0525388718;14.9253463745;16.2241802216;12.5479354858;16.3464927673;6.04099941254;17.0997066498;17.5966320038;15.7945756912
11;10940.0;12.0;1979.0;15.0;0.54322886467;3.17378973961;1.65842187405;7.69229841232;3.22131609917;4.09577465057;6.76828098297;3.21942996979;5.59272575378;0.196884483099;0.018490370363;7.4882941246;4.65828037262
12;10971.0;1.0;1980.0;15.0;0.889685809612;1.55792570114;1.28470957279;2.02102351189;1.03941965103;0.577205836773;0.916097640991;5.24217939377;0.912213265896;0.934915244579;0.412906050682;1.35297238827;0.390738099813
13;11002.0;2.0;1980.0;15.0;0.397276431322;5.0515794754;2.70475316048;14.1746959686;10.2456121445;11.9108095169;13.9206218719;0.363987386227;13.1757392883;0.00751282088459;0.0;9.50077724457;14.274641037
14;11031.0;3.0;1980.0;15.0;5.50449848175;12.4702110291;5.92142534256;12.0577602386;6.44512271881;6.17647027969;9.17066001892;17.1471424103;10.7168273926;1.30850613117;0.00394348334521;11.3042297363;7.20757341385
15;11062.0;4.0;1980.0;15.0;51.5233650208;34.2062339783;30.2461643219;35.406375885;37.8496589661;33.2393531799;36.7928123474;22.9523544312;38.0883789062;16.3499412537;18.9135761261;30.4991588593;31.1634902954
16;11092.0;5.0;1980.0;15.0;54.2844352722;41.6200714111;42.4410705566;50.7585792542;46.4620933533;47.1251106262;49.7408294678;28.8679256439;50.4125823975;24.9667034149;46.6991043091;42.3130531311;51.1698379517
17;11123.0;6.0;1980.0;15.0;58.2154884338;37.8730926514;61.5910682678;56.6912689209;33.0707244873;46.3506965637;45.7737503052;46.329864502;42.6012992859;66.3226623535;90.8474197388;32.8974609375;48.7209091187
18;11153.0;7.0;1980.0;15.0;75.2039337158;41.993560791;63.1170730591;34.779258728;24.6982364655;43.714881897;31.3483905792;78.2849655151;43.6442604065;60.530456543;71.0255050659;14.5726537704;61.5181388855
19;11184.0;8.0;1980.0;15.0;72.9872131348;57.3507766724;77.4992370605;68.1285018921;41.566822052;49.4690437317;61.4606590271;63.4953727722;65.5144577026;81.3994064331;108.452728271;40.8383140564;60.4818763733
20;11215.0;9.0;1980.0;15.0;50.2280387878;56.7422790527;52.4724235535;56.9236831665;52.6800918579;47.3622589111;53.2513008118;58.2388458252;64.6863021851;54.83228302;46.9506874084;40.2335472107;53.2668647766
21;11245.0;10.0;1980.0;15.0;37.5226554871;50.5142936707;33.9799995422;38.8702583313;36.9640007019;46.7523002625;36.6039772034;41.5544395447;55.0007781982;26.7928180695;14.0103120804;25.1111736298;62.0930137634
22;11276.0;11.0;1980.0;15.0;11.9659700394;18.0814170837;11.8727445602;17.379327774;15.8284235001;17.2969093323;17.490190506;14.860710144;18.8833675385;9.7385597229;4.72177124023;13.6551408768;19.5442295074
23;11306.0;12.0;1980.0;15.0;0.00814148969948;0.148483842611;0.524827599525;4.99977970123;3.41105246544;2.66671276093;5.39624547958;0.00142248580232;3.00878667831;0.0724318027496;0.0161727629602;4.22898387909;1.98354411125
24;11337.0;1.0;1981.0;15.0;0.0099334679544;5.06891822815;1.04890990257;2.77600836754;1.09992313385;2.6031806469;2.18047499657;0.0810681506991;3.18116831779;0.0;0.0;1.32444953918;3.6364068985
25;11368.0;2.0;1981.0;15.0;0.990549147129;1.53269255161;1.07329285145;3.91369152069;4.28990364075;3.14872121811;3.85156536102;0.425744026899;7.36612415314;0.00748892733827;0.0;4.30690956116;3.12832403183
26;11396.0;3.0;1981.0;15.0;23.289648056;23.0141353607;14.3540344238;11.4746637344;12.9325752258;15.435174942;11.2408123016;11.9657735825;23.4229450226;7.91600370407;5.24774265289;10.9129676819;20.4655666351
27;11427.0;4.0;1981.0;15.0;36.5628013611;34.2722473145;36.1502113342;28.0939750671;22.1034126282;27.0884037018;24.730594635;32.2584152222;33.4597587585;47.8855209351;33.3550071716;25.2570724487;35.0054359436
28;11457.0;5.0;1981.0;15.0;36.0761795044;56.6695899963;46.9974479675;86.8242645264;55.0993232727;69.1109771729;80.8754119873;41.1975364685;101.428939819;41.8528556824;35.1668395996;63.5415534973;91.6108703613
29;11488.0;6.0;1981.0;15.0;60.786315918;55.3457183838;72.7942962646;80.9151306152;51.6283187866;52.711151123;62.6239395142;46.7698287964;71.2394180298;74.9790039062;109.696548462;72.1429595947;63.7016067505
30;11518.0;7.0;1981.0;15.0;43.6801071167;39.4168434143;48.2740936279;30.4654636383;25.1479034424;31.7505950928;29.3028373718;49.3975448608;37.39245224;52.3552742004;62.7160110474;23.9258880615;43.6339035034
31;11549.0;8.0;1981.0;15.0;51.7593765259;33.6840705872;47.241519928;31.7528591156;17.9950294495;30.0585842133;29.5054798126;44.9439506531;34.7280578613;54.5773887634;54.9295692444;10.199048996;40.7547416687
32;11580.0;9.0;1981.0;15.0;56.1758003235;48.3826675415;58.4962768555;43.2334785461;33.0229606628;34.2397994995;37.6840705872;62.5706443787;41.4045715332;79.7940063477;61.7791748047;28.9753131866;35.0654144287
33;11610.0;10.0;1981.0;15.0;13.7330589294;31.5248851776;16.7481689453;33.1710853577;24.90675354;33.2547836304;28.0596637726;15.3642292023;41.4536895752;8.45536518097;7.02659130096;16.3815975189;40.7559394836
