index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;312.103942871;310.942352295;311.724334717;308.3855896;308.13772583;308.720336914;308.374694824;311.428955078;309.48928833;312.358276367;313.214233398;308.597473145;309.596069336;308.3855896;38.7541389465
2;438.0;3.0;1951.0;15.0;317.284057617;314.911468506;315.829681396;308.862701416;309.230743408;310.420318604;308.935852051;316.751281738;310.611938477;317.065856934;317.217834473;307.857971191;311.337799072;308.862701416;43.9767570496
3;469.0;4.0;1951.0;15.0;317.537139893;315.255340576;316.11907959;308.132293701;308.993774414;310.479095459;308.137969971;316.585845947;310.802398682;317.467498779;317.867889404;306.766174316;311.704467773;308.132293701;44.105758667
4;499.0;5.0;1951.0;15.0;313.1953125;310.733093262;312.538787842;307.558898926;308.432739258;308.952545166;307.628723145;311.679840088;308.909698486;313.164398193;315.302581787;306.293579102;309.427581787;307.558898926;39.5964317322
5;530.0;6.0;1951.0;15.0;307.691192627;308.140289307;308.229858398;307.336853027;308.783294678;308.509735107;307.892333984;306.924133301;307.646148682;307.5909729;309.905792236;307.865478516;308.479980469;307.336853027;34.3132324219
6;560.0;7.0;1951.0;15.0;306.121856689;305.507720947;306.376495361;304.347717285;305.127716064;305.173614502;304.475494385;305.873138428;305.070556641;306.90057373;307.8125;303.573638916;305.298309326;304.347717285;32.8979911804
7;591.0;8.0;1951.0;15.0;305.736480713;305.096832275;305.846252441;303.846588135;304.501281738;304.737121582;304.057067871;305.277252197;304.654968262;306.475982666;306.940582275;303.523803711;304.981872559;303.846588135;32.4498329163
8;622.0;9.0;1951.0;15.0;308.917297363;307.621643066;308.671600342;304.479492188;305.41519165;306.161407471;304.70715332;308.543304443;306.064849854;309.689666748;310.112609863;303.317962646;306.756713867;304.479492188;35.6557044983
9;652.0;10.0;1951.0;15.0;308.991485596;307.860229492;308.943786621;305.555023193;306.326690674;306.957611084;305.640960693;308.559631348;306.744262695;309.797790527;310.505950928;304.516113281;307.290557861;305.555023193;35.7134399414
10;683.0;11.0;1951.0;15.0;309.392486572;309.182067871;309.074676514;307.660186768;307.833496094;308.016693115;307.622680664;309.175506592;308.708892822;309.08416748;309.234191895;307.217681885;308.631774902;307.660186768;36.1783676147
11;713.0;12.0;1951.0;15.0;311.062072754;309.354736328;310.385772705;307.378723145;307.569091797;307.63067627;307.415618896;310.355377197;308.07901001;311.250671387;311.288665771;307.334289551;308.229553223;307.378723145;37.7029190063
12;744.0;1.0;1952.0;15.0;311.165985107;310.08605957;310.570037842;308.009216309;307.882354736;308.461303711;307.76272583;310.41619873;309.135742188;311.098236084;311.189208984;307.648742676;309.280487061;308.009216309;37.7941970825
13;775.0;2.0;1952.0;15.0;312.55657959;311.812805176;312.238250732;308.882537842;308.944122314;309.765136719;308.750061035;312.273254395;310.40512085;312.728820801;313.346405029;308.299255371;310.680999756;308.882537842;39.3227272034
