index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;310.962005615;311.293548584;310.941589355;310.439880371;309.82409668;310.487579346;310.411956787;310.618469238;310.651824951;310.788391113;311.173706055;311.200012207;311.219573975;310.439880371;37.7103919983
2;438.0;3.0;1951.0;15.0;312.323608398;312.585449219;311.978546143;310.736450195;310.009185791;310.790435791;310.72076416;312.201324463;311.229736328;311.873474121;311.92364502;311.583343506;311.601470947;310.736450195;39.1379394531
3;469.0;4.0;1951.0;15.0;313.327850342;311.627532959;313.084594727;309.892974854;309.757873535;310.301361084;309.693756104;312.11932373;310.613525391;313.922851562;315.178070068;309.27255249;310.958831787;309.892974854;39.819770813
4;499.0;5.0;1951.0;15.0;312.187164307;311.484344482;312.545501709;310.561004639;311.001861572;311.548828125;310.932006836;311.84564209;311.391143799;312.983886719;314.291137695;308.846466064;311.508117676;310.561004639;38.93542099
5;530.0;6.0;1951.0;15.0;312.047393799;311.175994873;311.419799805;307.380859375;308.936431885;309.879638672;308.111877441;311.898071289;309.869110107;311.118591309;312.352844238;304.479705811;310.372406006;307.380859375;38.8532714844
6;560.0;7.0;1951.0;15.0;312.255493164;311.938049316;311.468597412;307.932006836;307.911773682;310.432098389;307.737335205;311.800476074;310.600189209;310.619812012;312.210662842;303.03717041;311.030822754;307.932006836;38.9713821411
7;591.0;8.0;1951.0;15.0;313.215759277;310.714080811;311.785675049;308.675964355;309.234802246;310.717315674;308.519561768;312.395996094;310.934051514;311.027313232;312.494659424;304.229370117;310.700958252;308.675964355;39.8246688843
8;622.0;9.0;1951.0;15.0;312.655853271;311.218994141;312.027526855;308.169281006;309.375396729;310.924865723;308.267181396;312.262023926;311.000793457;312.5128479;312.548400879;304.833679199;311.649658203;308.169281006;39.3895111084
9;652.0;10.0;1951.0;15.0;315.102203369;312.44744873;314.362792969;311.141235352;310.761383057;311.818969727;310.959289551;314.097137451;312.502349854;315.099731445;315.964691162;307.960144043;312.151641846;311.141235352;41.6547660828
10;683.0;11.0;1951.0;15.0;314.542572021;313.41506958;313.849945068;310.004211426;310.239868164;311.630371094;310.093933105;314.232513428;311.997680664;314.465667725;314.363739014;307.565002441;312.600067139;310.004211426;41.3011817932
11;713.0;12.0;1951.0;15.0;310.30758667;309.558441162;309.968078613;308.61706543;308.924072266;308.962554932;308.875366211;309.625671387;309.077728271;310.290313721;310.367492676;308.310943604;309.271453857;308.61706543;36.9551887512
12;744.0;1.0;1952.0;15.0;309.129608154;309.478179932;308.93270874;308.882965088;309.212860107;308.745666504;308.858551025;308.769226074;308.775726318;308.653167725;308.74331665;310.598693848;308.970458984;308.882965088;35.8728523254
13;775.0;2.0;1952.0;15.0;310.522033691;310.795715332;310.567474365;310.566192627;309.963378906;310.094024658;310.219482422;310.29083252;310.175201416;310.433502197;310.898925781;311.656433105;310.428253174;310.566192627;37.3034896851
14;804.0;3.0;1952.0;15.0;314.580963135;312.884246826;314.096099854;310.183776855;309.871887207;310.531738281;310.461914062;313.881164551;310.909790039;314.953308105;315.880462646;310.384399414;311.461456299;310.183776855;41.2236251831
15;835.0;4.0;1952.0;15.0;313.532348633;311.28616333;313.043121338;308.533447266;309.11807251;309.751098633;308.675964355;312.272674561;309.777801514;313.658630371;315.649780273;308.277099609;310.314849854;308.533447266;40.0090866089
16;865.0;5.0;1952.0;15.0;312.173553467;311.110870361;311.842651367;311.42477417;311.407318115;310.849029541;311.484008789;311.239379883;311.247497559;311.523651123;312.87008667;312.008605957;310.938171387;311.42477417;38.748260498
17;896.0;6.0;1952.0;15.0;310.640563965;311.097686768;311.627197266;309.251922607;311.135986328;312.572967529;309.825836182;309.481170654;311.354187012;311.661010742;313.923950195;305.615783691;312.808990479;309.251922607;37.146194458
18;926.0;7.0;1952.0;15.0;309.97668457;306.987060547;310.057373047;304.645782471;305.651641846;307.464172363;304.397277832;308.399169922;306.18371582;312.087463379;313.433410645;302.061096191;307.343933105;304.645782471;36.3583259583
19;957.0;8.0;1952.0;15.0;307.802124023;307.450561523;308.986083984;305.527893066;306.070587158;307.315368652;305.667999268;308.712982178;307.424743652;310.964447021;310.912200928;302.136322021;307.792053223;305.527893066;34.9189910889
20;988.0;9.0;1952.0;15.0;309.729705811;308.481689453;309.76940918;306.697174072;307.947662354;308.615112305;306.915802002;309.043670654;308.050140381;311.229705811;310.886657715;304.34487915;308.317260742;306.697174072;36.3762664795
21;1018.0;10.0;1952.0;15.0;313.25579834;311.252532959;313.388305664;309.478088379;309.912506104;311.054260254;309.534973145;313.288970947;311.436065674;314.860229492;315.368621826;305.763366699;311.243225098;309.478088379;40.1144561768
22;1049.0;11.0;1952.0;15.0;312.608459473;311.382446289;312.616210938;309.846557617;310.212799072;310.428283691;310.007537842;312.012176514;310.935180664;313.652160645;314.092956543;309.494506836;310.968597412;309.846557617;39.2809104919
23;1079.0;12.0;1952.0;15.0;311.487304688;310.911010742;311.51272583;309.735443115;309.738006592;310.218536377;309.940979004;310.924987793;310.47454834;312.237854004;312.354156494;309.211608887;310.739562988;309.735443115;38.1700019836
24;1110.0;1.0;1953.0;15.0;312.281951904;312.114379883;311.979675293;310.03527832;310.149902344;310.871948242;310.175933838;311.743988037;311.041046143;312.124542236;312.364044189;309.610595703;311.514221191;310.03527832;38.972442627
25;1141.0;2.0;1953.0;15.0;313.426055908;312.861785889;312.986907959;310.53112793;310.150665283;310.913085938;310.386962891;312.786987305;311.040527344;313.474945068;313.626281738;311.013336182;311.782592773;310.53112793;40.0869560242
26;1169.0;3.0;1953.0;15.0;315.148071289;313.382659912;314.551483154;310.528533936;310.738342285;311.418579102;310.586181641;314.296142578;311.747406006;315.434570312;316.088592529;309.963775635;312.098358154;310.528533936;41.7458724976
27;1200.0;4.0;1953.0;15.0;314.193206787;312.748138428;314.026000977;310.613708496;310.917022705;311.776672363;310.597564697;312.691162109;311.743499756;314.586486816;316.360900879;309.904296875;312.165740967;310.613708496;40.5979385376
28;1230.0;5.0;1953.0;15.0;313.429016113;311.55267334;313.377227783;310.555541992;311.739929199;311.58581543;310.731536865;311.962005615;311.501251221;314.185943604;315.633026123;310.129669189;311.512634277;310.555541992;39.8447418213
29;1261.0;6.0;1953.0;15.0;310.344848633;308.413269043;310.511230469;307.60256958;309.867462158;310.168884277;308.323944092;308.327545166;307.680236816;311.429229736;313.232971191;305.810791016;308.700805664;307.60256958;36.5975761414
30;1291.0;7.0;1953.0;15.0;311.43951416;307.553009033;311.001251221;305.634735107;306.41619873;307.662689209;305.641876221;308.402862549;307.705657959;313.167053223;314.420318604;302.204467773;308.116607666;305.634735107;37.3895835876
31;1322.0;8.0;1953.0;15.0;311.867797852;309.908660889;311.430236816;307.330596924;308.570770264;310.049865723;307.965881348;311.842193604;309.361968994;311.932403564;312.780792236;303.463470459;310.062683105;307.330596924;38.709651947
32;1353.0;9.0;1953.0;15.0;310.228179932;307.640136719;309.462860107;305.612701416;306.201934814;306.77532959;306.074859619;308.345367432;307.040466309;310.371398926;311.317504883;303.724914551;307.225494385;305.612701416;36.5209960938
33;1383.0;10.0;1953.0;15.0;314.960144043;312.389373779;313.917724609;308.702423096;308.592773438;310.001159668;308.85736084;314.41897583;311.057525635;315.210693359;315.023162842;305.979614258;311.129486084;308.702423096;41.6503753662
34;1414.0;11.0;1953.0;15.0;313.583862305;311.54989624;312.707763672;308.875030518;309.047698975;309.414398193;308.905426025;312.87588501;309.96661377;313.551757812;313.84552002;307.575286865;309.942321777;308.875030518;40.2246284485
35;1444.0;12.0;1953.0;15.0;311.285125732;310.460662842;310.727630615;308.555023193;308.392944336;309.177703857;308.464904785;310.603851318;309.38949585;311.194732666;311.068725586;307.492340088;309.764892578;308.555023193;37.9333000183
36;1475.0;1.0;1954.0;15.0;311.87701416;311.076812744;311.301177979;309.446777344;309.37411499;309.806274414;309.491577148;311.22064209;310.045410156;311.636169434;311.549713135;309.493438721;310.403930664;309.446777344;38.5329780579
37;1506.0;2.0;1954.0;15.0;314.427337646;312.827880859;313.572143555;309.14163208;309.52645874;310.525787354;309.193145752;313.53604126;310.806060791;314.047637939;314.886016846;308.516998291;311.355316162;309.14163208;41.0138168335
38;1534.0;3.0;1954.0;15.0;313.701385498;312.362457275;313.134887695;309.028991699;309.300170898;309.942718506;309.095550537;313.065582275;310.16204834;313.727142334;314.683410645;308.830200195;310.65802002;309.028991699;40.363067627
39;1565.0;4.0;1954.0;15.0;313.982116699;312.091766357;313.597564697;310.268951416;310.023895264;310.640960693;310.614746094;312.347686768;310.710754395;314.210845947;315.964202881;310.788116455;311.236633301;310.268951416;40.3485488892
40;1595.0;5.0;1954.0;15.0;310.752441406;310.20425415;311.301971436;310.91885376;310.813446045;310.646850586;311.189697266;309.893554688;311.079589844;311.821380615;312.863342285;309.988311768;310.940917969;310.91885376;37.3471603394
41;1626.0;6.0;1954.0;15.0;311.018829346;311.376281738;311.366210938;307.063842773;308.04675293;309.81072998;307.974639893;310.259063721;309.601654053;311.171813965;313.627624512;304.98840332;311.184234619;307.063842773;37.6438293457
42;1656.0;7.0;1954.0;15.0;313.17401123;311.336730957;311.873779297;306.771514893;308.30645752;310.107025146;307.275054932;312.117553711;309.126098633;311.589050293;312.939300537;303.010620117;310.265960693;306.771514893;39.7129821777
43;1687.0;8.0;1954.0;15.0;313.131347656;313.010375977;311.457366943;307.318603516;309.29006958;311.689147949;307.981445312;313.053405762;310.762145996;309.838226318;310.370544434;303.012695312;312.024597168;307.318603516;39.9591903687
44;1718.0;9.0;1954.0;15.0;312.57623291;312.40435791;311.663787842;307.079528809;308.505004883;310.607788086;307.40411377;312.357910156;310.032348633;310.873352051;312.052154541;303.735046387;311.385314941;307.079528809;39.3621368408
45;1748.0;10.0;1954.0;15.0;313.068847656;312.788421631;312.584197998;308.358734131;309.296325684;311.343719482;308.437438965;312.779083252;310.044158936;312.766845703;313.363647461;305.152252197;311.514831543;308.358734131;39.8322982788
46;1779.0;11.0;1954.0;15.0;312.221008301;310.830047607;311.602203369;308.166290283;308.38848877;309.081115723;307.982147217;311.975341797;308.989776611;311.909423828;312.836730957;307.188110352;309.3828125;308.166290283;38.9980201721
47;1809.0;12.0;1954.0;15.0;310.001983643;309.339660645;309.323669434;307.304901123;307.646484375;308.18862915;307.299377441;309.597015381;307.993225098;309.372070312;309.361999512;307.410125732;308.616455078;307.304901123;36.7322387695
48;1840.0;1.0;1955.0;15.0;309.187988281;309.503173828;308.921813965;308.724609375;308.597351074;308.636505127;308.803375244;309.145172119;308.461151123;308.654968262;308.582214355;310.054382324;308.890930176;308.724609375;36.0253219604
49;1871.0;2.0;1955.0;15.0;311.737365723;311.942321777;311.552978516;309.856384277;310.040893555;310.66293335;309.795013428;311.4453125;310.609832764;311.352111816;312.066192627;309.968566895;311.07208252;309.856384277;38.5009460449
50;1899.0;3.0;1955.0;15.0;314.147125244;312.699432373;313.591033936;310.234924316;310.20123291;311.001098633;310.361755371;313.433013916;311.002685547;314.207946777;314.880462646;310.31237793;311.476623535;310.234924316;40.7860946655
51;1930.0;4.0;1955.0;15.0;313.227233887;311.849822998;312.900115967;309.361419678;309.766448975;310.64163208;309.377227783;311.947509766;310.649505615;313.04196167;315.145751953;308.738464355;311.003173828;309.361419678;39.6990318298
52;1960.0;5.0;1955.0;15.0;309.489379883;308.947753906;309.608032227;306.393066406;307.386260986;307.363525391;306.595062256;308.87789917;307.350311279;310.349060059;311.367034912;306.966796875;307.675720215;306.393066406;36.1579933167
53;1991.0;6.0;1955.0;15.0;308.351776123;307.702331543;308.086669922;304.816558838;304.444885254;305.594848633;304.4793396;306.838134766;306.154296875;308.943664551;309.607757568;302.675201416;306.285064697;304.816558838;34.7538375854
54;2021.0;7.0;1955.0;15.0;310.58883667;309.163330078;309.716400146;304.873901367;305.284759521;307.059936523;304.748199463;308.065612793;306.675872803;309.801544189;312.073364258;301.756225586;307.485076904;304.873901367;36.6917572021
55;2052.0;8.0;1955.0;15.0;309.14730835;307.092315674;309.085174561;305.31463623;305.128356934;306.615203857;304.984954834;309.269104004;307.06539917;310.721343994;310.65447998;301.682037354;306.730804443;305.31463623;36.0322151184
56;2083.0;9.0;1955.0;15.0;312.75112915;310.041412354;311.958892822;306.028930664;306.734039307;307.800567627;306.148742676;313.479980469;308.149261475;314.177978516;312.771209717;303.623657227;308.322418213;306.028930664;39.8174934387
57;2113.0;10.0;1955.0;15.0;316.825469971;313.686981201;315.312927246;309.408691406;309.178985596;310.836975098;309.427062988;315.28326416;311.730194092;316.829650879;316.530792236;306.007232666;311.886230469;309.408691406;43.219039917
58;2144.0;11.0;1955.0;15.0;311.49017334;310.111633301;311.100769043;307.742706299;307.943237305;308.568847656;307.958435059;310.848052979;308.564727783;312.130187988;312.340454102;306.294525146;308.75592041;307.742706299;38.149307251
59;2174.0;12.0;1955.0;15.0;311.574371338;310.176239014;310.943237305;307.846008301;307.78137207;308.614074707;307.908508301;310.633758545;308.891387939;311.857391357;311.683074951;306.669525146;309.386474609;307.846008301;38.1454811096
60;2205.0;1.0;1956.0;15.0;309.790557861;309.688903809;309.388671875;308.324890137;307.761230469;308.112457275;308.361999512;309.508422852;308.724731445;309.53515625;309.228240967;308.834350586;309.017730713;308.324890137;36.5568847656
61;2236.0;2.0;1956.0;15.0;313.269683838;313.345550537;312.801818848;311.033569336;309.598754883;310.507354736;310.762023926;312.835784912;311.460357666;313.111816406;312.923919678;311.031188965;311.829833984;311.033569336;39.9909324646
62;2265.0;3.0;1956.0;15.0;313.221252441;312.643676758;312.735015869;309.935821533;309.262084961;310.185241699;309.890869141;312.873016357;310.927215576;312.918457031;313.63571167;309.728271484;311.03112793;309.935821533;39.9683952332
63;2296.0;4.0;1956.0;15.0;313.657318115;311.882232666;313.373596191;309.556091309;309.608764648;310.075012207;309.656951904;312.145965576;310.619598389;314.442352295;315.648468018;309.677825928;310.826049805;309.556091309;40.0591583252
64;2326.0;5.0;1956.0;15.0;311.458831787;309.413269043;311.307006836;307.536254883;307.899078369;308.116699219;307.389160156;310.31463623;308.190155029;312.105773926;314.139526367;307.079803467;308.430297852;307.536254883;37.9694099426
65;2357.0;6.0;1956.0;15.0;311.418792725;310.855102539;311.052978516;306.959655762;307.759155273;309.709869385;307.337493896;310.437255859;309.460754395;311.180358887;312.234558105;304.089691162;311.011474609;306.959655762;37.9775924683
66;2387.0;7.0;1956.0;15.0;310.550109863;310.946929932;310.44909668;306.516967773;307.888275146;310.382629395;306.904602051;310.199035645;309.242492676;310.326965332;311.189331055;302.036346436;311.003967285;306.516967773;37.2970657349
67;2418.0;8.0;1956.0;15.0;309.811859131;312.96383667;309.509185791;308.545928955;310.631866455;312.409851074;309.69152832;310.72442627;310.109405518;307.871368408;307.177825928;305.403686523;312.457214355;308.545928955;36.9341850281
