index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;311.367401123;310.649169922;310.717285156;308.994018555;308.931671143;309.395996094;308.890258789;310.704376221;309.614105225;310.563140869;311.112670898;308.952331543;309.882324219;308.994018555;38.0215110779
2;438.0;3.0;1951.0;15.0;311.284088135;311.487854004;311.461975098;308.433380127;308.55682373;309.3203125;308.430877686;311.040252686;309.662567139;312.015319824;312.780090332;308.17288208;310.115875244;308.433380127;38.0611724854
3;469.0;4.0;1951.0;15.0;311.806091309;311.058105469;311.565429688;307.894500732;308.50390625;309.307373047;308.073852539;311.383666992;308.950683594;312.175354004;312.901184082;307.46206665;309.823913574;307.894500732;38.5309333801
4;499.0;5.0;1951.0;15.0;310.637481689;309.45513916;310.50668335;307.239044189;307.548583984;308.462585449;307.207855225;310.149597168;308.410766602;311.470458984;311.869934082;306.441009521;308.936157227;307.239044189;37.342880249
5;530.0;6.0;1951.0;15.0;307.125976562;306.679962158;307.569549561;305.043487549;305.355743408;305.650909424;305.043914795;306.210662842;306.073364258;307.942474365;309.99307251;304.871612549;306.213134766;305.043487549;33.7045211792
6;560.0;7.0;1951.0;15.0;307.125976562;306.679962158;307.569549561;305.043487549;305.355743408;305.650909424;305.043914795;306.210662842;306.073364258;307.942474365;309.99307251;304.871612549;306.213134766;305.043487549;33.7045211792
7;591.0;8.0;1951.0;15.0;303.950866699;304.178771973;304.007415771;302.91394043;303.627471924;303.894256592;302.977081299;303.804962158;303.260284424;303.982452393;304.438568115;302.806884766;303.73916626;302.91394043;30.7571678162
8;622.0;9.0;1951.0;15.0;305.298461914;305.821289062;305.543823242;305.314788818;306.022003174;306.329711914;304.952575684;305.514373779;305.980255127;305.493255615;305.508575439;304.291870117;306.087554932;305.314788818;32.2121124268
9;652.0;10.0;1951.0;15.0;307.845550537;306.99520874;307.693756104;305.382873535;305.636169434;305.979156494;305.44140625;307.976989746;305.974731445;308.307891846;308.472869873;305.304199219;306.376525879;305.382873535;34.734249115
10;683.0;11.0;1951.0;15.0;309.626556396;309.233886719;309.25;307.003601074;307.063659668;307.519165039;306.965667725;309.361114502;307.719329834;309.491027832;309.764160156;306.727539062;308.152709961;307.003601074;36.3979606628
11;713.0;12.0;1951.0;15.0;309.550415039;308.83291626;309.222015381;307.32421875;307.47543335;307.969909668;307.273803711;308.98840332;307.963531494;309.69720459;309.727630615;306.728942871;308.407775879;307.32421875;36.2339096069
12;744.0;1.0;1952.0;15.0;310.326599121;309.666046143;310.034912109;307.908813477;308.063079834;308.50769043;307.922637939;309.963378906;308.580688477;310.617645264;310.54888916;307.946105957;308.987304688;307.908813477;37.0688400269
13;775.0;2.0;1952.0;15.0;310.496643066;310.500732422;310.252044678;309.226257324;308.923034668;309.405059814;308.976745605;310.400695801;309.606994629;310.32598877;310.282409668;309.285522461;309.897338867;309.226257324;37.3181533813
14;804.0;3.0;1952.0;15.0;311.002502441;310.724700928;311.010650635;309.465545654;309.336547852;309.532348633;309.367279053;310.76739502;309.627075195;311.265533447;311.993652344;310.234863281;309.893676758;309.465545654;37.7824859619
15;835.0;4.0;1952.0;15.0;311.484130859;310.47354126;311.185302734;307.63067627;308.307861328;309.095275879;307.751220703;311.310943604;308.869140625;311.69442749;312.428466797;307.016540527;309.556243896;307.63067627;38.2829284668
16;865.0;5.0;1952.0;15.0;310.067810059;309.3855896;310.413421631;307.216583252;307.725250244;308.194213867;307.301696777;309.02822876;308.249206543;310.944122314;313.017486572;307.106781006;308.761566162;307.216583252;36.6093521118
17;896.0;6.0;1952.0;15.0;308.072906494;307.297149658;308.318267822;305.428375244;305.900299072;306.27166748;305.579101562;307.47177124;306.026702881;309.010559082;310.382598877;305.54888916;306.57711792;305.428375244;34.7444953918
18;926.0;7.0;1952.0;15.0;308.072906494;307.297149658;308.318267822;305.428375244;305.900299072;306.27166748;305.579101562;307.47177124;306.026702881;309.010559082;310.382598877;305.54888916;306.57711792;305.428375244;34.7444953918
19;957.0;8.0;1952.0;15.0;304.676116943;304.463653564;305.025939941;303.745117188;304.111480713;304.625396729;303.923187256;304.882446289;304.433898926;305.454406738;305.812042236;303.471893311;304.830596924;303.745117188;31.5864372253
