index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;312.881134033;311.93737793;312.452575684;308.509063721;308.333374023;309.123596191;308.372192383;312.21295166;309.39642334;313.203460693;313.963775635;308.738677979;310.05355835;308.509063721;39.5329551697
2;438.0;3.0;1951.0;15.0;311.549072266;311.046234131;311.368408203;308.78616333;308.866699219;309.681854248;308.85144043;311.090606689;309.766021729;311.569091797;312.509887695;308.796813965;310.301879883;308.78616333;38.2636642456
3;469.0;4.0;1951.0;15.0;312.4296875;312.002593994;312.268981934;308.479888916;308.13494873;309.348876953;308.482513428;311.869384766;310.179962158;312.821746826;313.79598999;307.977233887;310.670501709;308.479888916;39.113079071
4;499.0;5.0;1951.0;15.0;309.923614502;308.115142822;310.211486816;307.077392578;307.494232178;307.65447998;307.214508057;309.028167725;307.397216797;311.515289307;312.855407715;307.085876465;307.855285645;307.077392578;36.5080528259
5;530.0;6.0;1951.0;15.0;308.602386475;309.183319092;308.979614258;305.644226074;307.515655518;308.433380127;306.407440186;307.738800049;307.576446533;309.163116455;310.448486328;305.948791504;308.999664307;305.644226074;35.1960220337
6;560.0;7.0;1951.0;15.0;306.814788818;305.803070068;306.513916016;303.970397949;304.503143311;304.682952881;304.156707764;305.663269043;304.523590088;306.46762085;308.277648926;304.126922607;305.018920898;303.970397949;33.3240127563
7;591.0;8.0;1951.0;15.0;306.171051025;307.748748779;306.339935303;306.303833008;307.357849121;307.508789062;306.877716064;306.226776123;306.829284668;305.63293457;305.833648682;306.676391602;307.47946167;306.303833008;33.0368614197
8;622.0;9.0;1951.0;15.0;308.798126221;307.511138916;308.553588867;305.558532715;305.98614502;306.358062744;305.571594238;306.800079346;306.651702881;309.602142334;310.295837402;305.324981689;306.722045898;305.558532715;35.0559844971
9;652.0;10.0;1951.0;15.0;310.851501465;307.940673828;310.265655518;305.876464844;306.404266357;306.835479736;306.056304932;309.134765625;306.514892578;311.704559326;312.674560547;306.04107666;307.156524658;305.876464844;37.1929359436
10;683.0;11.0;1951.0;15.0;310.463653564;309.526489258;310.422088623;307.90612793;307.503631592;308.00479126;307.770141602;309.808959961;308.629455566;310.644378662;312.393096924;307.190155029;308.719665527;307.90612793;37.1192321777
11;713.0;12.0;1951.0;15.0;309.295898438;308.730316162;308.896575928;307.066131592;306.95489502;307.168487549;307.046691895;308.622497559;307.527862549;309.194824219;309.471954346;307.417480469;307.82232666;307.066131592;35.946472168
12;744.0;1.0;1952.0;15.0;310.716888428;309.786743164;309.958221436;308.329315186;308.011627197;308.247894287;308.244750977;310.003662109;308.528839111;310.098632812;310.143493652;309.143310547;308.883087158;308.329315186;37.3560562134
13;775.0;2.0;1952.0;15.0;311.515197754;310.615386963;311.16607666;308.957092285;308.866424561;309.048828125;308.792663574;310.604949951;309.400299072;311.466339111;312.406677246;309.223266602;309.59664917;308.957092285;38.0954780579
14;804.0;3.0;1952.0;15.0;313.092773438;311.130889893;312.532684326;307.784637451;308.476165771;309.1277771;307.863922119;312.298370361;308.88079834;313.225463867;314.731719971;307.456695557;309.607788086;307.784637451;39.7081794739
15;835.0;4.0;1952.0;15.0;313.500762939;310.332183838;312.353057861;306.943847656;307.327667236;307.858093262;306.885314941;311.929321289;308.412902832;313.28527832;314.663879395;307.131195068;308.869384766;306.943847656;39.8856925964
16;865.0;5.0;1952.0;15.0;310.925598145;309.984558105;310.692047119;307.360443115;308.141693115;308.521270752;307.541748047;309.828704834;309.055725098;310.875671387;312.484771729;307.21774292;309.403137207;307.360443115;37.4495887756
17;896.0;6.0;1952.0;15.0;308.646331787;307.581726074;308.663726807;307.379699707;307.807434082;307.352020264;307.50479126;307.893768311;307.034942627;308.608612061;310.524017334;308.565948486;307.173492432;307.379699707;35.2732543945
18;926.0;7.0;1952.0;15.0;308.951568604;307.819763184;308.386047363;305.580932617;306.201843262;306.759918213;305.729217529;307.495727539;306.486175537;308.507354736;309.702178955;305.080383301;307.047943115;305.580932617;35.371383667
19;957.0;8.0;1952.0;15.0;307.731872559;307.617034912;307.281616211;304.839141846;306.211608887;306.469268799;305.379547119;306.975463867;305.897338867;306.549194336;308.147827148;305.192321777;306.724090576;304.839141846;34.357837677
20;988.0;9.0;1952.0;15.0;309.399383545;307.784637451;308.479400635;305.435638428;306.093536377;306.483123779;305.78805542;308.401489258;306.479858398;308.858886719;309.103302002;305.63104248;306.808807373;305.435638428;35.9550628662
21;1018.0;10.0;1952.0;15.0;311.128540039;307.829071045;309.982086182;305.476623535;305.898742676;306.055114746;305.726837158;310.330963135;306.618865967;310.907684326;311.618988037;306.186950684;306.573547363;305.476623535;37.7432632446
22;1049.0;11.0;1952.0;15.0;309.267181396;309.02520752;308.992614746;308.263397217;308.481994629;308.679168701;308.226501465;308.744537354;308.356201172;308.810028076;309.298950195;307.977386475;308.659057617;308.263397217;35.9627304077
23;1079.0;12.0;1952.0;15.0;310.579589844;309.303436279;309.689300537;307.039520264;307.124969482;307.446533203;306.990997314;309.63494873;307.676269531;310.099945068;310.137115479;307.450469971;308.084320068;307.039520264;37.1502914429
24;1110.0;1.0;1953.0;15.0;311.795074463;311.133514404;311.260925293;307.990570068;308.077270508;308.901550293;307.925415039;311.030914307;309.22277832;311.679656982;312.118103027;307.963562012;309.84161377;307.990570068;38.4190711975
25;1141.0;2.0;1953.0;15.0;313.337615967;312.282562256;312.817230225;309.535400391;309.444122314;310.197601318;309.427825928;312.53817749;310.651428223;313.4581604;313.919525146;309.171173096;310.902557373;309.535400391;39.9506797791
26;1169.0;3.0;1953.0;15.0;313.969909668;312.19329834;313.187835693;308.96963501;309.248779297;310.028198242;308.715759277;313.202697754;310.279174805;314.029083252;314.52230835;307.9402771;310.438690186;308.96963501;40.5932655334
27;1200.0;4.0;1953.0;15.0;313.992553711;311.677154541;312.866088867;308.11618042;308.468902588;308.862335205;308.222259521;312.465057373;309.385528564;313.504272461;314.61529541;308.53302002;309.758361816;308.11618042;40.3904457092
28;1230.0;5.0;1953.0;15.0;311.380157471;309.172821045;310.94152832;307.317016602;308.090545654;308.441711426;307.238830566;309.676361084;308.430358887;312.063537598;312.923919678;307.372070312;308.837860107;307.317016602;37.7250671387
