index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;311.828613281;311.205627441;311.45892334;309.082122803;308.80670166;309.431884766;309.012298584;311.24118042;309.78793335;311.728302002;312.366088867;309.372131348;310.187896729;309.082122803;38.5047454834
2;438.0;3.0;1951.0;15.0;313.110198975;312.507751465;312.659667969;309.204681396;309.165863037;310.053222656;309.234741211;312.770874023;310.317565918;313.13092041;313.607849121;309.102752686;310.839233398;309.204681396;39.8598823547
3;469.0;4.0;1951.0;15.0;313.775177002;312.485900879;313.259521484;308.599914551;308.847625732;309.859191895;308.597015381;312.989562988;310.136627197;314.096862793;314.935791016;307.869506836;310.789428711;308.599914551;40.3923873901
4;499.0;5.0;1951.0;15.0;311.485900879;309.946929932;311.450622559;308.109100342;308.619354248;309.154602051;308.245788574;310.675811768;309.027191162;312.283508301;313.579772949;307.166748047;309.431793213;308.109100342;38.0956954956
5;530.0;6.0;1951.0;15.0;308.866729736;308.794891357;309.049713135;306.351379395;307.647766113;308.118408203;306.863891602;308.192901611;307.791290283;308.953796387;310.675048828;305.791381836;308.516296387;306.351379395;35.5167617798
6;560.0;7.0;1951.0;15.0;308.079528809;307.482208252;307.982147217;305.323394775;305.724578857;306.484893799;305.353363037;307.386901855;306.566925049;307.98260498;309.573486328;303.90234375;306.890319824;305.323394775;34.7244758606
7;591.0;8.0;1951.0;15.0;307.26852417;306.93460083;306.994812012;305.435089111;306.180358887;306.714355469;305.607849121;306.926239014;306.419647217;306.779693604;307.426849365;304.309112549;306.725372314;305.435089111;34.0171318054
8;622.0;9.0;1951.0;15.0;308.917419434;308.043273926;308.699127197;305.880523682;306.699676514;307.443511963;305.874633789;308.279968262;307.424377441;309.324462891;309.616363525;304.442138672;307.803985596;305.880523682;35.5783309937
9;652.0;10.0;1951.0;15.0;310.697692871;308.810882568;310.316497803;306.988891602;307.28213501;307.897796631;307.024505615;309.942138672;307.934051514;311.227508545;311.904510498;305.955383301;308.243804932;306.988891602;37.3238449097
10;683.0;11.0;1951.0;15.0;311.006317139;310.339385986;310.649169922;308.143554688;308.160186768;308.792755127;308.113098145;310.64453125;309.263824463;310.921295166;311.438812256;307.175109863;309.526031494;308.143554688;37.7491874695
11;713.0;12.0;1951.0;15.0;310.053985596;309.119110107;309.618103027;307.5965271;307.730865479;307.932891846;307.652862549;309.397979736;308.162017822;310.10824585;310.213928223;307.447906494;308.432769775;307.5965271;36.7096214294
12;744.0;1.0;1952.0;15.0;310.334777832;309.754241943;309.873962402;308.282592773;308.292480469;308.490631104;308.197174072;309.788116455;308.755249023;310.116912842;310.156219482;308.834228516;309.030334473;308.282592773;37.022983551
13;775.0;2.0;1952.0;15.0;311.272613525;310.931152344;311.055969238;309.40802002;309.174224854;309.578277588;309.1847229;310.892425537;309.896911621;311.238647461;311.733612061;309.616119385;310.150817871;309.40802002;38.0099601746
14;804.0;3.0;1952.0;15.0;313.382904053;312.087646484;313.030914307;309.065155029;309.503387451;310.163909912;309.209320068;312.769897461;310.197784424;313.707672119;314.748382568;308.917510986;310.78918457;309.065155029;40.0513954163
15;835.0;4.0;1952.0;15.0;313.394470215;310.723175049;312.675598145;307.68637085;308.330963135;308.910308838;307.740325928;312.06060791;309.025878906;313.72668457;315.054229736;307.196502686;309.497436523;307.68637085;39.8494033813
16;865.0;5.0;1952.0;15.0;310.928497314;310.054992676;310.873260498;308.511871338;309.154693604;309.348510742;308.677001953;309.996765137;309.462524414;311.07510376;312.533081055;308.2734375;309.759521484;308.511871338;37.5024375916
17;896.0;6.0;1952.0;15.0;308.791870117;308.456176758;309.11416626;306.940704346;307.870391846;308.318481445;307.246734619;307.891876221;307.921722412;309.242218018;310.984771729;306.175170898;308.548461914;306.940704346;35.3748397827
18;926.0;7.0;1952.0;15.0;308.066589355;306.922851562;308.047607422;304.985351562;305.66204834;306.429473877;305.033325195;306.996429443;305.989624023;308.66519165;309.977020264;304.074371338;306.637145996;304.985351562;34.5994377136
19;957.0;8.0;1952.0;15.0;306.464233398;306.256866455;306.793212891;304.581604004;305.37701416;305.919677734;304.843719482;306.527282715;305.709259033;307.268218994;307.932952881;303.717285156;306.17477417;304.581604004;33.331829071
20;988.0;9.0;1952.0;15.0;307.851715088;307.118621826;307.823181152;305.166778564;305.882965088;306.272491455;305.326599121;307.327484131;306.204589844;308.429901123;309.07913208;304.533538818;306.532104492;305.166778564;34.5464324951
21;1018.0;10.0;1952.0;15.0;310.421844482;308.575469971;309.988433838;306.431396484;306.823913574;307.334991455;306.566436768;310.205627441;307.595550537;310.815246582;311.381500244;305.537475586;307.773010254;306.431396484;37.2075958252
22;1049.0;11.0;1952.0;15.0;310.285736084;309.803131104;310.039154053;308.365539551;308.573760986;308.905426025;308.341644287;309.725006104;309.01449585;310.22064209;310.69732666;307.934539795;309.2762146;308.365539551;36.969619751
23;1079.0;12.0;1952.0;15.0;310.180999756;309.326568604;309.72366333;307.863372803;307.816619873;308.13571167;307.82800293;309.519866943;308.401000977;310.175842285;310.20401001;307.710144043;308.64352417;307.863372803;36.8352127075
24;1110.0;1.0;1953.0;15.0;311.279907227;310.830932617;310.84197998;308.537017822;308.49621582;309.053375244;308.469940186;310.743988037;309.462799072;311.142059326;311.326934814;308.590942383;309.848632812;308.537017822;37.9712371826
25;1141.0;2.0;1953.0;15.0;313.030822754;311.764099121;312.576385498;309.490692139;309.240447998;309.830413818;309.319458008;312.196929932;310.330993652;313.298248291;313.880737305;309.552612305;310.558929443;309.490692139;39.6337585449
26;1169.0;3.0;1953.0;15.0;313.605804443;312.002197266;313.201202393;308.976348877;309.175262451;309.723022461;308.889862061;312.791137695;310.024963379;314.224945068;315.128936768;308.543518066;310.291229248;308.976348877;40.2144546509
27;1200.0;4.0;1953.0;15.0;313.228179932;311.299224854;312.818511963;308.537536621;308.909454346;309.509552002;308.519348145;311.74017334;309.798248291;313.783477783;315.175720215;308.036376953;310.10949707;308.537536621;39.63722229
28;1230.0;5.0;1953.0;15.0;311.535797119;309.9715271;311.749084473;308.301818848;309.124389648;309.431518555;308.381195068;310.307220459;309.401519775;312.973602295;314.252105713;307.771026611;309.696563721;308.301818848;38.0214996338
29;1261.0;6.0;1953.0;15.0;309.20791626;307.291351318;309.199035645;306.131347656;307.118255615;307.273803711;306.420928955;308.014648438;306.57208252;309.924255371;311.721984863;305.602661133;307.072296143;306.131347656;35.7047080994
30;1291.0;7.0;1953.0;15.0;308.237335205;306.265808105;308.144744873;304.744873047;305.533813477;305.936767578;304.928009033;306.79788208;305.724517822;309.019348145;310.597686768;303.782501221;306.22567749;304.744873047;34.6607322693
31;1322.0;8.0;1953.0;15.0;306.924163818;306.090179443;306.886322021;304.643676758;305.417114258;305.964141846;304.887359619;306.886108398;305.519165039;307.237762451;307.900909424;303.787475586;305.987548828;304.643676758;33.762550354
32;1353.0;9.0;1953.0;15.0;307.948059082;306.78237915;307.815917969;305.219207764;305.876739502;306.152557373;305.476806641;307.053497314;306.230407715;308.522003174;309.193359375;304.690124512;306.4453125;305.219207764;34.5328941345
33;1383.0;10.0;1953.0;15.0;310.515838623;309.099731445;310.206085205;306.520690918;306.845184326;307.542510986;306.663726807;310.035186768;307.753173828;311.187316895;311.596740723;305.820770264;308.20111084;306.520690918;37.2231445312
34;1414.0;11.0;1953.0;15.0;310.578887939;309.903747559;310.21005249;307.88671875;308.063659668;308.307250977;307.92276001;310.166412354;308.664123535;310.454345703;311.032165527;307.647521973;308.812774658;307.88671875;37.3067321777
35;1444.0;12.0;1953.0;15.0;310.150390625;309.739440918;309.749603271;308.150177002;307.934997559;308.388549805;308.07333374;309.583679199;308.774078369;309.889923096;310.131530762;307.93081665;309.021850586;308.150177002;36.83253479
36;1475.0;1.0;1954.0;15.0;310.374481201;309.948608398;309.988708496;308.485076904;308.296875;308.650939941;308.3722229;309.972198486;308.950408936;310.207763672;310.256439209;308.690856934;309.241516113;308.485076904;37.1054916382
37;1506.0;2.0;1954.0;15.0;312.490570068;311.762023926;312.018585205;308.953491211;309.003387451;309.745269775;308.878082275;311.90512085;310.104827881;312.293395996;313.02645874;308.841247559;310.500488281;308.953491211;39.1672668457
38;1534.0;3.0;1954.0;15.0;313.077880859;312.52456665;312.716217041;309.267364502;309.688262939;310.490081787;309.284118652;312.692718506;310.54800415;313.085083008;313.778106689;308.850708008;311.154022217;309.267364502;39.8138313293
39;1565.0;4.0;1954.0;15.0;313.245330811;311.287902832;312.529907227;308.443786621;308.686584473;309.402679443;308.526580811;311.93170166;309.495574951;312.972503662;314.535949707;307.937744141;310.01373291;308.443786621;39.7069282532
40;1595.0;5.0;1954.0;15.0;310.700622559;309.523162842;310.92868042;308.211730957;308.646270752;308.85458374;308.308563232;309.882843018;308.927124023;311.792602539;313.0675354;307.710296631;309.242828369;308.211730957;37.3076591492
41;1626.0;6.0;1954.0;15.0;309.53604126;308.357757568;309.46572876;306.129241943;306.809967041;307.305267334;306.454803467;308.640319824;307.223754883;309.780487061;311.626464844;305.70501709;307.876495361;306.129241943;36.1205635071
42;1656.0;7.0;1954.0;15.0;308.746063232;307.36618042;308.512115479;305.072387695;305.820831299;306.365661621;305.230377197;307.697509766;306.021209717;308.836334229;310.639587402;304.136993408;306.663146973;305.072387695;35.2856216431
43;1687.0;8.0;1954.0;15.0;307.844726562;307.388793945;307.633331299;305.514678955;306.540222168;307.256347656;305.929046631;307.546875;306.572509766;307.42666626;308.358032227;304.750457764;307.478973389;305.514678955;34.6066322327
44;1718.0;9.0;1954.0;15.0;309.276367188;308.276153564;308.95980835;305.743347168;306.610961914;307.391815186;305.984985352;308.353485107;307.109527588;309.157501221;310.410339355;304.797943115;307.854797363;305.743347168;35.8531150818
