index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;311.824249268;313.211242676;311.963592529;313.266448975;312.647277832;312.872833252;313.071044922;311.091125488;314.058654785;311.134185791;311.619934082;312.905792236;313.338470459;313.266448975;38.4573059082
2;10665.0;3.0;1979.0;15.0;313.445098877;313.955505371;313.764923096;312.556335449;312.405792236;313.423156738;311.977264404;313.33190918;314.686676025;313.923095703;314.374725342;310.723510742;313.661651611;312.556335449;40.2611999512
3;10696.0;4.0;1979.0;15.0;314.418334961;313.479095459;313.875518799;311.329864502;312.250427246;312.42565918;311.365905762;313.067321777;311.590454102;313.8543396;315.231781006;311.446044922;312.134521484;311.329864502;40.868888855
4;10726.0;5.0;1979.0;15.0;310.363891602;308.98248291;310.447235107;308.759765625;308.926696777;308.694732666;308.700378418;309.569549561;308.594421387;311.049621582;312.352661133;309.565124512;308.69229126;308.759765625;36.9788665771
5;10757.0;6.0;1979.0;15.0;309.271911621;307.555084229;308.501068115;306.701782227;306.385223389;306.584259033;306.563049316;307.174468994;306.982177734;308.183074951;310.242675781;306.334869385;306.906066895;306.701782227;35.5019340515
6;10787.0;7.0;1979.0;15.0;308.446838379;306.8487854;307.757263184;305.090820312;305.651123047;305.820953369;305.22833252;307.73147583;305.523040771;307.814086914;308.912750244;305.340301514;306.121765137;305.090820312;35.0854911804
7;10818.0;8.0;1979.0;15.0;306.671813965;305.880584717;306.682342529;304.513793945;304.708251953;304.910614014;304.529998779;306.308624268;304.856262207;307.243621826;308.025024414;304.688720703;305.256256104;304.513793945;33.4134254456
8;10849.0;9.0;1979.0;15.0;309.746368408;308.88949585;309.631378174;306.793395996;307.519927979;307.780731201;307.013183594;309.261962891;307.759490967;310.447174072;310.732330322;306.670837402;308.206817627;306.793395996;36.4529342651
9;10879.0;10.0;1979.0;15.0;311.634124756;310.913604736;311.303527832;307.526641846;308.902770996;309.75302124;307.838165283;311.429534912;307.903381348;311.630493164;312.547271729;307.509124756;309.587585449;307.526641846;38.4237670898
10;10910.0;11.0;1979.0;15.0;310.222961426;309.450683594;310.081634521;308.895263672;308.583618164;308.403411865;308.695098877;310.074462891;308.774200439;310.638336182;310.775238037;309.13949585;308.589263916;308.895263672;37.0290565491
11;10940.0;12.0;1979.0;15.0;308.108825684;307.69442749;308.127288818;308.100830078;308.034301758;307.792175293;307.828704834;307.780334473;307.554870605;308.41998291;308.520721436;308.987426758;307.671966553;308.100830078;34.8613014221
12;10971.0;1.0;1980.0;15.0;311.048278809;311.663452148;310.896789551;310.315643311;310.413604736;311.17388916;310.23260498;310.818145752;310.582489014;310.407806396;310.770507812;310.23248291;311.616027832;310.315643311;37.8300971985
13;11002.0;2.0;1980.0;15.0;311.506530762;312.486328125;311.710266113;312.081207275;311.368133545;312.131072998;311.664581299;310.940979004;313.332824707;311.081604004;311.915649414;310.555755615;312.740356445;312.081207275;38.1888008118
14;11031.0;3.0;1980.0;15.0;312.216400146;313.045593262;312.772247314;311.344573975;310.951690674;312.326843262;311.185943604;311.65335083;313.558837891;313.019287109;313.681304932;309.63760376;313.455444336;311.344573975;38.8989486694
15;11062.0;4.0;1980.0;15.0;314.789245605;314.609283447;314.371307373;311.642272949;311.169586182;312.436157227;311.221801758;314.503997803;313.904266357;314.125;315.109710693;309.756408691;313.760742188;311.642272949;41.555644989
16;11092.0;5.0;1980.0;15.0;312.236938477;309.405731201;311.296722412;307.129486084;307.727203369;308.136474609;307.264099121;310.961608887;307.858459473;312.363494873;312.926574707;306.957458496;308.425537109;307.129486084;38.7097549438
17;11123.0;6.0;1980.0;15.0;310.914733887;307.890228271;310.018585205;307.27746582;308.010498047;307.999359131;307.264190674;309.910644531;307.676727295;310.324401855;311.601959229;307.404815674;307.90802002;307.27746582;37.4683761597
18;11153.0;7.0;1980.0;15.0;307.438995361;306.219177246;307.301025391;304.373840332;305.046936035;305.690704346;304.472442627;306.818725586;305.134216309;307.858276367;308.872375488;303.699523926;305.873779297;304.373840332;34.1047210693
19;11184.0;8.0;1980.0;15.0;308.95223999;305.227966309;307.36114502;304.087341309;305.006500244;305.309417725;304.120513916;307.92565918;304.169769287;307.650360107;308.27520752;304.125946045;304.915161133;304.087341309;35.4997177124
20;11215.0;9.0;1980.0;15.0;312.289306641;307.507659912;310.336608887;305.534881592;306.734619141;306.736206055;305.697357178;310.518066406;305.488250732;310.584136963;312.488555908;306.425689697;306.179656982;305.534881592;38.6168251038
21;11245.0;10.0;1980.0;15.0;310.163635254;309.920715332;309.869812012;307.365020752;307.798736572;308.143737793;307.580474854;309.798919678;308.066650391;309.882354736;310.727233887;307.272247314;308.709442139;307.365020752;36.9065818787
22;11276.0;11.0;1980.0;15.0;310.549957275;310.576446533;310.474975586;311.28894043;311.291748047;311.450012207;311.313751221;310.153625488;311.357391357;309.834197998;310.430633545;310.530548096;311.312469482;311.28894043;37.2831573486
23;11306.0;12.0;1980.0;15.0;308.483123779;308.896484375;308.564941406;308.515136719;308.458404541;308.732299805;308.463684082;307.670928955;308.747436523;308.01675415;309.180969238;308.3359375;309.048828125;308.515136719;35.0923461914
24;11337.0;1.0;1981.0;15.0;308.909362793;311.050292969;309.598114014;310.809173584;310.722900391;311.555358887;310.846282959;309.120483398;311.66394043;309.45715332;308.621124268;310.083465576;311.981994629;310.809173584;35.8210029602
25;11368.0;2.0;1981.0;15.0;313.150177002;312.97088623;312.954315186;310.99230957;311.135375977;312.069213867;311.069274902;312.642669678;312.020507812;313.058288574;313.528778076;310.930603027;312.652038574;310.99230957;39.8498077393
26;11396.0;3.0;1981.0;15.0;314.481964111;314.701568604;314.46307373;311.446166992;311.808410645;313.075683594;311.469268799;314.647705078;313.287872314;315.11605835;314.830230713;310.762237549;313.769805908;311.446166992;41.3806419373
