index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;0.11391249299;3.73967528343;6.19641971588;74.4577636719;18.6846809387;20.4008464813;47.4288253784;0.00121940264944;77.8847961426;0.0;0.0;17.1698246002;16.850736618;74.4577636719;0.0807804763317
2;438.0;3.0;1951.0;15.0;0.0552793852985;12.1393289566;8.00287437439;28.9171524048;47.9030418396;58.5168495178;35.2436714172;1.06391954422;35.5271072388;0.000777291948907;0.0;14.1221847534;47.509803772;28.9171524048;0.351323515177
3;469.0;4.0;1951.0;15.0;53.9100646973;97.9228286743;59.9699172974;94.7178497314;52.5606880188;79.2814941406;79.9460144043;68.30418396;134.184020996;43.0017585754;28.9571170807;70.3008651733;121.520019531;94.7178497314;58.1713142395
4;499.0;5.0;1951.0;15.0;57.9892463684;85.7023391724;60.1064376831;77.2052612305;57.5755653381;66.8094024658;67.53490448;83.626739502;91.2210693359;43.5245018005;40.5776443481;58.4498748779;87.6163330078;77.2052612305;65.5744094849
5;530.0;6.0;1951.0;15.0;156.806503296;128.080688477;136.403137207;163.545150757;106.184799194;124.364509583;145.634490967;148.304397583;150.770523071;142.434432983;109.68572998;120.621368408;140.38092041;163.545150757;154.297149658
6;560.0;7.0;1951.0;15.0;204.80317688;184.232879639;192.434844971;144.943466187;102.216506958;139.796096802;126.963592529;228.028289795;167.7081604;195.764465332;194.220596313;89.6885757446;184.203277588;144.943466187;211.689544678
7;591.0;8.0;1951.0;15.0;278.528930664;170.980453491;256.934143066;106.98348999;78.7824478149;107.1197052;95.9740753174;256.626251221;116.010742188;316.763946533;330.758300781;84.2782592773;133.20954895;106.98348999;272.019165039
8;622.0;9.0;1951.0;15.0;294.708068848;211.452453613;263.858062744;146.743988037;118.59854126;173.42024231;134.666366577;219.853027344;210.598907471;267.977478027;335.929351807;80.4717636108;217.241348267;146.743988037;272.559539795
9;652.0;10.0;1951.0;15.0;5.58496141434;81.3489608765;25.7753372192;98.6375656128;36.022983551;50.062915802;74.696105957;12.0811223984;142.727783203;3.76559567451;0.998938977718;45.540927887;87.2018203735;98.6375656128;7.49031639099
10;683.0;11.0;1951.0;15.0;0.614634215832;6.33616828918;6.06898593903;63.0771522522;43.1340446472;30.6672077179;51.4741020203;0.110036797822;37.0679283142;0.131062090397;0.0;45.7301330566;13.7807579041;63.0771522522;0.46675375104
11;713.0;12.0;1951.0;15.0;0.0;0.182132303715;0.608899235725;7.20148515701;3.81989192963;2.95535683632;5.92577266693;3.38722966262e-05;4.9450044632;0.0;0.0;4.1810297966;1.88497626781;7.20148515701;9.27549899643e-06
