index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;4.61050319672;13.1611337662;7.89789628983;39.413936615;23.6668128967;22.8948059082;33.3480033875;6.35710334778;38.5821380615;1.43244075775;0.409125447273;28.900302887;22.0294151306;39.413936615;5.12996912003
2;438.0;3.0;1951.0;15.0;4.63610744476;18.750875473;10.0872449875;37.0649299622;38.4074325562;43.8522224426;36.8666915894;7.05042505264;37.7256240845;1.3214058876;0.678608953953;20.3414363861;37.1963233948;37.0649299622;5.35053110123
3;469.0;4.0;1951.0;15.0;44.839679718;91.06615448;50.6060714722;87.6420440674;65.7221984863;75.2645950317;77.4634628296;66.7306594849;102.506752014;31.0433101654;19.2032642365;72.0740966797;96.8204040527;87.6420440674;51.3162002563
4;499.0;5.0;1951.0;15.0;98.6262664795;139.190856934;111.855934143;225.543991089;177.874298096;174.764358521;218.501281738;109.550498962;213.970169067;77.1748046875;80.017829895;203.315841675;198.905990601;225.543991089;101.877975464
5;530.0;6.0;1951.0;15.0;154.125274658;145.723831177;153.377258301;218.535308838;161.942016602;160.690322876;198.365341187;156.066009521;179.1015625;148.033737183;144.183441162;212.071929932;165.571456909;218.535308838;154.725875854
6;560.0;7.0;1951.0;15.0;156.294250488;175.076507568;165.321426392;136.407409668;99.8643264771;140.667541504;121.654968262;183.029327393;145.59564209;167.339294434;172.626434326;95.4096221924;183.477111816;136.407409668;164.193893433
7;591.0;8.0;1951.0;15.0;241.847000122;171.649246216;229.937362671;82.6376953125;57.7010688782;88.3184280396;72.8283615112;268.120300293;103.424812317;283.139526367;279.77355957;58.281211853;123.342727661;82.6376953125;249.62097168
8;622.0;9.0;1951.0;15.0;249.866424561;221.744262695;242.69720459;227.094039917;165.118713379;208.064880371;210.210296631;276.660705566;238.324295044;279.987731934;219.003204346;149.449249268;237.312606812;227.094039917;257.762054443
9;652.0;10.0;1951.0;15.0;46.1502342224;101.081504822;57.3008918762;122.259735107;81.2460708618;96.7159118652;111.357139587;56.9282035828;130.756973267;40.2584648132;23.6816711426;76.1479263306;112.414230347;122.259735107;49.3389930725
10;683.0;11.0;1951.0;15.0;7.75245046616;15.2040328979;13.1382770538;61.2482948303;49.9082679749;44.4601516724;58.2733917236;10.821182251;40.7564964294;7.76232242584;2.12195920944;51.3278846741;31.4086837769;61.2482948303;8.65438842773
11;713.0;12.0;1951.0;15.0;1.3205190897;3.61346960068;2.8782813549;10.2179584503;9.55153751373;10.3355321884;9.33760166168;4.19118928909;9.93165111542;1.71214485168;0.053713299334;5.63352155685;8.47502613068;10.2179584503;2.16824150085
12;744.0;1.0;1952.0;15.0;0.186498582363;1.17946243286;0.778033554554;5.69425201416;3.89108014107;3.0610306263;5.24366283417;0.255593299866;4.15826892853;0.000121463934192;1.02169826732e-06;4.801466465;2.59864258766;5.69425201416;0.206782504916
13;775.0;2.0;1952.0;15.0;1.86243641376;6.42292881012;3.22884988785;12.2104005814;10.4577035904;8.41659450531;13.2205848694;3.63484191895;8.98063373566;1.18397128582;0.104130335152;13.6052455902;7.29396247864;12.2104005814;2.38673520088
14;804.0;3.0;1952.0;15.0;54.4364585876;112.827529907;55.9669303894;121.956100464;120.234672546;143.747924805;116.090202332;56.181350708;138.247558594;17.0666446686;8.85402584076;75.457572937;135.845214844;121.956100464;54.9542961121
15;835.0;4.0;1952.0;15.0;53.2064285278;93.6561889648;70.5269699097;113.370803833;109.706794739;112.920028687;106.612945557;80.5428771973;113.611442566;60.1574134827;51.7585792542;107.077964783;112.909393311;113.370803833;61.2652282715
