index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;0.102457083762;3.01080060005;3.52151608467;23.9238071442;29.6936912537;27.4562969208;20.219127655;0.0793739408255;24.9645309448;0.000170231956872;0.0;12.9900016785;12.4739732742;23.9238071442;0.0956006869674
2;10665.0;3.0;1979.0;15.0;24.6227207184;47.9822006226;34.3053359985;59.156211853;41.3799324036;44.775302887;58.4413833618;33.6213378906;56.8708953857;29.7350006104;30.0926570892;51.7943115234;44.1935081482;59.156211853;27.2837848663
3;10696.0;4.0;1979.0;15.0;86.8102035522;130.221405029;80.6671066284;108.835021973;120.454795837;134.690322876;114.336029053;111.059196472;127.893913269;45.6577529907;29.6139240265;129.765655518;151.097900391;108.835021973;94.0402145386
4;10726.0;5.0;1979.0;15.0;150.449569702;182.857177734;153.081939697;289.103942871;245.258636475;262.388214111;284.85357666;163.633911133;279.131530762;98.9332199097;100.154266357;234.179992676;272.881988525;289.103942871;154.374801636
5;10757.0;6.0;1979.0;15.0;166.682327271;176.887710571;192.054382324;260.6043396;284.446655273;261.527954102;319.658111572;163.072906494;221.566055298;200.190872192;184.415344238;353.477630615;245.087417603;260.6043396;165.597579956
6;10787.0;7.0;1979.0;15.0;249.333786011;268.046173096;247.140029907;242.992858887;183.907730103;253.537628174;213.81211853;303.305877686;234.17250061;265.610992432;196.481887817;147.098068237;294.135375977;242.992858887;265.377868652
7;10818.0;8.0;1979.0;15.0;262.250244141;190.051681519;234.724731445;199.669891357;102.347885132;134.651412964;156.663909912;316.491455078;218.070907593;224.943099976;243.924545288;105.685539246;199.804977417;199.669891357;278.387969971
8;10849.0;9.0;1979.0;15.0;263.432617188;195.034667969;247.919296265;202.043228149;144.866836548;159.680618286;170.78036499;269.774810791;199.452011108;340.770843506;223.153945923;166.485733032;192.573913574;202.043228149;265.205749512
9;10879.0;10.0;1979.0;15.0;95.9260787964;132.704406738;86.4530105591;146.960754395;138.809371948;129.793197632;161.217010498;93.2300720215;161.46546936;60.5231323242;31.7493915558;174.812240601;133.677780151;146.960754395;95.1406021118
10;10910.0;11.0;1979.0;15.0;15.9380989075;22.270450592;21.8420639038;78.899772644;35.1283340454;46.8679924011;68.5387802124;18.979221344;57.7345352173;7.57934474945;17.0894088745;78.2105484009;54.8888969421;78.899772644;16.8358898163
11;10940.0;12.0;1979.0;15.0;0.14085650444;2.6524746418;0.812401533127;0.780209958553;0.706407368183;0.123401544988;3.58714652061;2.95604085922;0.0;0.0519982017577;0.018490370363;8.36000061035;0.126006439328;0.780209958553;0.978832125664
12;10971.0;1.0;1980.0;15.0;1.50216448307;5.12171173096;2.35761332512;6.70408678055;3.25300455093;1.6443400383;0.371107578278;8.39883422852;3.36855626106;1.04783654213;0.413134485483;0.52999985218;0.665741443634;6.70408678055;3.5455198288
13;11002.0;2.0;1980.0;15.0;0.892783582211;15.4608793259;10.2692756653;63.4262275696;46.1863555908;49.2038192749;62.5529747009;0.838905930519;51.8907203674;0.00759106641635;0.0;47.1199951172;54.4177970886;63.4262275696;0.873277962208
14;11031.0;3.0;1980.0;15.0;6.53007411957;28.4733428955;11.1138000488;31.6736526489;19.5978050232;21.9802379608;24.9072341919;21.7931556702;31.7684936523;1.394931674;0.00394348334521;20.4299983978;23.9722423553;31.6736526489;11.0694065094
15;11062.0;4.0;1980.0;15.0;48.2929840088;59.9995307922;50.5212478638;111.603034973;113.410812378;104.462791443;112.528877258;52.7351074219;134.259078979;31.8800258636;21.3078346252;81.2986907959;103.889816284;111.603034973;49.5950050354
16;11092.0;5.0;1980.0;15.0;148.406341553;140.657196045;138.171173096;228.015289307;190.165435791;177.255325317;216.443389893;117.888900757;210.801544189;91.0155410767;133.93927002;190.931335449;186.805236816;228.015289307;139.404937744
17;11123.0;6.0;1980.0;15.0;135.225326538;136.236404419;145.000930786;196.18762207;105.171020508;151.856323242;153.896987915;127.737564087;151.987686157;131.389953613;170.797164917;113.440040588;168.526153564;196.18762207;133.01322937
18;11153.0;7.0;1980.0;15.0;153.339477539;109.317337036;163.113723755;86.1742248535;58.5694732666;118.82169342;78.9813766479;184.396759033;116.312759399;186.982971191;202.953735352;33.9700202942;177.573242188;86.1742248535;162.609741211
19;11184.0;8.0;1980.0;15.0;266.209503174;199.252746582;261.136535645;221.024658203;131.3487854;160.611541748;198.154464722;268.212463379;214.804443359;293.642578125;306.634460449;141.809951782;206.302078247;221.024658203;266.828369141
20;11215.0;9.0;1980.0;15.0;207.958816528;225.205230713;198.827255249;218.812805176;197.960861206;171.436721802;200.253570557;230.444564819;235.539505005;208.878067017;155.113983154;165.100036621;186.141906738;218.812805176;214.548690796
21;11245.0;10.0;1980.0;15.0;124.059936523;181.226135254;114.142585754;159.715316772;143.16519165;163.462692261;147.719100952;144.909179688;201.271255493;83.0691223145;38.5269203186;97.9089355469;204.355682373;159.715316772;130.284103394
22;11276.0;11.0;1980.0;15.0;3.00721240044;18.1953086853;13.032128334;68.4733047485;59.6386680603;50.0771026611;76.023651123;8.16842746735;44.2587242126;3.59399819374;3.70004630089;64.0910720825;38.3977432251;68.4733047485;4.52524614334
23;11306.0;12.0;1980.0;15.0;0.00992054305971;0.0158577170223;0.612422764301;6.3488202095;1.95043838024;1.85872960091;7.86443471909;0.00173794082366;4.08387756348;0.0724318027496;0.0161727629602;4.17000102997;2.80203223228;6.3488202095;0.0074947392568
24;11337.0;1.0;1981.0;15.0;0.0139961522073;12.5798740387;2.91987371445;10.3010540009;2.83300065994;8.61072349548;8.10517311096;0.143877446651;8.54287052155;0.0;0.0;5.06000041962;12.065032959;10.3010540009;0.0522313341498
25;11368.0;2.0;1981.0;15.0;1.43095898628;2.92765522003;2.65693306923;11.354054451;14.6870298386;9.74460029602;13.6074886322;0.637662529945;21.6468391418;0.00748892733827;0.0;16.3300018311;8.67377758026;11.354054451;1.19518911839
26;11396.0;3.0;1981.0;15.0;29.3768825531;44.0235366821;24.8057765961;46.6205787659;40.6273231506;39.7997283936;42.4318161011;21.0770778656;72.8080062866;13.5345544815;4.20790290833;38.2900009155;48.3875999451;46.6205787659;26.9146404266
27;11427.0;4.0;1981.0;15.0;64.6725463867;74.0506210327;66.8905105591;99.4709243774;72.2074356079;79.762588501;85.0703811646;63.8246536255;107.239387512;69.26537323;48.18516922;76.8499679565;97.6882324219;99.4709243774;64.4224014282
28;11457.0;5.0;1981.0;15.0;140.904067993;159.719451904;147.620834351;203.987304688;146.563919067;163.96484375;198.97958374;149.950805664;210.253662109;124.2554245;136.429779053;194.800064087;203.545394897;203.987304688;143.583267212
29;11488.0;6.0;1981.0;15.0;174.893493652;180.699951172;177.528961182;285.613952637;196.70375061;222.663330078;236.242828369;144.543701172;292.952362061;151.03604126;166.500961304;192.629989624;256.958374023;285.613952637;165.909790039
30;11518.0;7.0;1981.0;15.0;180.423858643;154.450363159;183.152664185;92.9143676758;73.6751174927;99.6128921509;88.7725906372;202.973236084;129.542877197;194.060623169;229.996337891;67.6099853516;147.961456299;92.9143676758;187.123535156
31;11549.0;8.0;1981.0;15.0;230.841415405;121.549377441;199.012268066;80.5174331665;47.7161140442;81.5183410645;72.7489395142;207.782272339;92.0790023804;267.56942749;224.392929077;30.2508430481;114.850471497;80.5174331665;223.992767334
32;11580.0;9.0;1981.0;15.0;184.835998535;132.804931641;185.115005493;184.80506897;135.835754395;134.11730957;156.817443848;167.276123047;170.544631958;234.357040405;208.278884888;124.159141541;125.839828491;184.80506897;179.619796753
33;11610.0;10.0;1981.0;15.0;30.8437385559;102.410346985;49.585231781;147.530029297;108.813095093;138.832260132;123.333686829;45.3071022034;163.782669067;21.6629562378;3.05620098114;74.0099868774;153.865921021;147.530029297;35.0888595581
34;11641.0;11.0;1981.0;15.0;0.912883877754;1.24549520016;2.41774106026;16.8599910736;24.5229873657;11.5394287109;15.1730766296;0.544313073158;13.8054466248;0.0;0.0;18.0000019073;7.9879822731;16.8599910736;0.801790416241
35;11671.0;12.0;1981.0;15.0;0.12499165535;0.0660788044333;0.114749483764;1.28213298321;1.33672499657;0.000598364102188;0.207083895802;0.196938544512;0.536881327629;0.00149651558604;0.0;0.40000000596;0.00404057279229;1.28213298321;0.146199226379
36;11702.0;1.0;1982.0;15.0;0.906618595123;9.97283744812;2.76480817795;8.111369133;11.7459411621;11.289223671;3.82535099983;2.51579999924;5.64868545532;0.0;0.0;2.53000020981;6.52028083801;8.111369133;1.38178408146
37;11733.0;2.0;1982.0;15.0;15.2688360214;23.8944473267;24.7001266479;79.8762969971;46.1475982666;47.5875473022;91.5293502808;30.0475616455;60.3205833435;16.8046779633;13.4457931519;92.0799942017;55.0055580139;79.8762969971;19.6513977051
38;11761.0;3.0;1982.0;15.0;36.4076499939;36.84740448;32.0314025879;78.0154876709;70.4316635132;71.5130462646;90.0796966553;36.9444046021;62.9806671143;15.9904384613;10.7479610443;86.5199813843;61.0480308533;78.0154876709;36.5755958557
