index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;302.128326416;301.970306396;301.973205566;301.370544434;301.270843506;301.326293945;301.333374023;301.770385742;301.796142578;302.170806885;302.040344238;301.338592529;301.745666504;301.370544434;28.8722515106;28.9222564697;28.7225265503;28.3949317932
2;438.0;3.0;1951.0;15.0;303.488769531;302.575622559;303.613494873;301.753814697;301.732666016;301.582672119;301.749420166;303.23324585;301.899963379;304.528045654;304.927459717;301.953552246;301.85168457;301.753814697;30.2625808716;30.0152549744;29.6031112671;28.6339473724
3;469.0;4.0;1951.0;15.0;303.868865967;302.229858398;304.02911377;301.816589355;301.882751465;301.729034424;301.82208252;302.995269775;301.836090088;304.912231445;306.3465271;301.899658203;301.846588135;301.816589355;30.4596214294;30.1383895874;29.3306102753;28.6741962433
4;499.0;5.0;1951.0;15.0;301.625946045;300.778778076;302.005187988;300.678527832;300.795318604;300.604949951;300.724273682;300.834472656;300.733123779;302.485931396;304.011291504;300.735046387;300.717407227;300.678527832;28.2409610748;28.1756248474;27.6447181702;27.5603294373
5;530.0;6.0;1951.0;15.0;299.602722168;299.100860596;299.874938965;299.240386963;299.371459961;299.133300781;299.335571289;298.905334473;299.137756348;299.977630615;301.322875977;299.402069092;299.197570801;299.240386963;26.2458629608;26.2746658325;25.879240036;26.0724964142
6;560.0;7.0;1951.0;15.0;298.802398682;298.590942383;299.058135986;298.584442139;298.832489014;298.673492432;298.687652588;298.346191406;298.570556641;299.105834961;300.078155518;298.567871094;298.71975708;298.584442139;25.5169696808;25.5772342682;25.3439254761;25.5288887024
7;591.0;8.0;1951.0;15.0;298.445617676;298.298614502;298.708404541;298.56640625;298.700805664;298.471679688;298.621307373;297.981018066;298.450653076;298.780029297;299.558135986;298.697387695;298.479614258;298.56640625;25.1576080322;25.2434673309;25.0429573059;25.3775138855
8;622.0;9.0;1951.0;15.0;298.622314453;298.518707275;298.929534912;298.684448242;298.773834229;298.708099365;298.703674316;298.255004883;298.728912354;298.962371826;299.846557617;298.469177246;298.752258301;298.684448242;25.3631801605;25.4354686737;25.2906799316;25.5796909332
9;652.0;10.0;1951.0;15.0;299.805328369;299.520904541;300.097900391;299.586761475;299.56451416;299.455810547;299.591156006;299.250030518;299.717498779;300.27734375;301.239532471;299.426757812;299.633178711;299.586761475;26.4904575348;26.5542678833;26.288356781;26.4566001892
10;683.0;11.0;1951.0;15.0;299.4168396;300.264526367;299.659606934;300.393188477;300.272003174;300.154693604;300.345916748;299.263519287;300.524017334;299.397613525;299.481658936;300.495117188;300.424102783;300.393188477;26.221162796;26.5665111542;26.7571125031;27.2236404419
11;713.0;12.0;1951.0;15.0;300.410736084;301.434326172;300.750793457;301.554382324;301.412506104;301.482452393;301.554016113;300.316558838;301.858398438;300.760009766;300.282653809;301.412322998;301.889160156;301.554382324;27.2323608398;27.6230602264;27.8993148804;28.5415439606
