index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;300.980987549;302.200134277;301.372711182;302.740692139;302.409912109;302.552703857;302.71182251;300.934692383;302.992462158;300.99621582;300.881774902;302.339782715;302.909210205;302.740692139;27.8171329498;28.26263237;28.6506843567;29.6274414062
2;438.0;3.0;1951.0;15.0;300.804962158;301.463500977;301.111999512;302.171722412;301.703430176;301.727478027;302.094390869;300.613433838;302.274261475;300.906921387;301.004577637;301.885528564;302.024353027;302.171722412;27.5981559753;27.8879547119;28.0766506195;28.8737430573
3;469.0;4.0;1951.0;15.0;304.202758789;302.614135742;304.193237305;302.0730896;302.107055664;302.129852295;302.079772949;303.111022949;302.315948486;305.063415527;306.118835449;301.783416748;302.319702148;302.0730896;30.7290000916;30.4903182983;29.6218109131;29.0575752258
4;499.0;5.0;1951.0;15.0;302.333129883;301.403747559;302.932189941;301.269439697;301.241821289;301.239135742;301.304473877;301.360656738;301.538269043;303.644897461;305.475402832;301.007110596;301.494140625;301.269439697;28.8941230774;28.8534660339;28.2508220673;28.2395801544
5;530.0;6.0;1951.0;15.0;299.985046387;299.260559082;300.123931885;299.485290527;299.575592041;299.320465088;299.558990479;299.199798584;299.269958496;300.099151611;301.616241455;299.692871094;299.353759766;299.485290527;26.6021194458;26.578250885;26.0882987976;26.2524261475
6;560.0;7.0;1951.0;15.0;299.366394043;298.446990967;299.324310303;298.743835449;298.938751221;298.664764404;298.815063477;298.766784668;298.601318359;299.28704834;300.429199219;298.810760498;298.652740479;298.743835449;26.0389118195;25.8908061981;25.4378662109;25.5595989227
7;591.0;8.0;1951.0;15.0;299.064331055;298.717041016;299.211700439;298.996307373;299.153564453;298.99697876;299.071228027;298.565246582;298.92288208;299.171020508;300.06338501;298.969024658;298.989532471;298.996307373;25.7663955688;25.7914886475;25.5317134857;25.8593769073
8;622.0;9.0;1951.0;15.0;299.808654785;299.380950928;300.073303223;299.753509521;299.823150635;299.634216309;299.782196045;299.22366333;299.684234619;300.159820557;301.243591309;299.745117188;299.642211914;299.753509521;26.4850883484;26.5069980621;26.2043762207;26.551858902
9;652.0;10.0;1951.0;15.0;301.792266846;301.156219482;302.179473877;301.110229492;300.988006592;300.969482422;301.12677002;301.132904053;301.324371338;302.701446533;303.816741943;300.834747314;301.234741211;301.110229492;28.4464435577;28.4168891907;28.0155162811;28.010931015
