index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;301.371337891;301.597564697;301.272399902;301.66293335;301.643676758;301.487976074;301.651947021;301.260772705;301.657440186;301.053985596;300.94631958;301.779541016;301.632110596;301.66293335;28.1886920929;28.3009662628;28.3245773315;28.4747638702
2;438.0;3.0;1951.0;15.0;302.344512939;303.240356445;302.83303833;302.327880859;302.240936279;302.418670654;302.303405762;302.325714111;302.917602539;302.976348877;303.342224121;302.143737793;302.895996094;302.327880859;29.1883621216;29.5114955902;29.7002906799;29.4644889832
3;469.0;4.0;1951.0;15.0;302.985290527;302.549926758;303.295776367;301.578338623;301.76272583;301.976135254;301.628387451;302.559936523;301.742523193;303.719268799;304.922027588;301.327331543;302.121795654;301.578338623;29.7087955475;29.6811656952;29.3136844635;28.7089176178
4;499.0;5.0;1951.0;15.0;301.871002197;300.744995117;301.981781006;300.594512939;300.644622803;300.771881104;300.610900879;300.846374512;300.72644043;302.645111084;303.535705566;300.226776123;300.861358643;300.594512939;28.4172515869;28.3228721619;27.6321201324;27.5846881866
5;530.0;6.0;1951.0;15.0;299.644805908;299.169830322;300.097961426;299.136566162;299.385192871;299.211730957;299.250396729;298.905517578;299.036102295;300.247680664;302.024291992;299.223327637;299.194091797;299.136566162;26.2754688263;26.3262653351;25.9025230408;26.0405216217
6;560.0;7.0;1951.0;15.0;298.19329834;298.146850586;298.568603516;298.2784729;298.551544189;298.381134033;298.374725342;297.822509766;298.222137451;298.630279541;299.566101074;298.28793335;298.395385742;298.2784729;24.9331760406;25.0267486572;24.8800430298;25.2120876312
7;591.0;8.0;1951.0;15.0;297.581665039;297.524688721;297.734802246;297.568786621;297.775115967;297.687896729;297.647583008;297.228179932;297.604003906;297.739257812;298.250946045;297.444854736;297.717132568;297.568786621;24.3267059326;24.4114685059;24.2690200806;24.5225257874
8;622.0;9.0;1951.0;15.0;297.956359863;298.317657471;298.222076416;298.886566162;298.89730835;298.710174561;298.922302246;297.750335693;298.708068848;298.098175049;298.35446167;298.922485352;298.725921631;298.886566162;24.7451343536;24.934337616;24.9929618835;25.6361675262
9;652.0;10.0;1951.0;15.0;298.112792969;299.091186523;298.944061279;299.819549561;299.718078613;299.538757324;299.830871582;298.264434814;299.717803955;298.967163086;299.453582764;299.812561035;299.626281738;299.819549561;25.0071163177;25.3089332581;25.6928634644;26.5441036224
10;683.0;11.0;1951.0;15.0;299.678039551;301.166809082;300.292114258;301.100250244;301.079956055;301.209136963;301.123779297;299.892272949;301.195648193;300.050994873;300.135223389;301.066741943;301.538696289;301.100250244;26.5910434723;27.0555324554;27.5287895203;28.1203536987
11;713.0;12.0;1951.0;15.0;298.982391357;300.22744751;299.645080566;302.162719727;302.075317383;302.13494873;302.196685791;298.890838623;301.941986084;299.566619873;298.727935791;302.053771973;302.222442627;302.162719727;25.8047637939;26.2743110657;26.7545642853;28.9837436676
12;744.0;1.0;1952.0;15.0;299.769378662;300.379516602;299.897369385;301.28338623;301.232147217;301.131744385;301.280700684;299.960144043;301.047332764;299.847625732;298.928588867;301.335876465;301.179626465;301.28338623;26.6756286621;26.8353805542;27.1432476044;28.0305519104
13;775.0;2.0;1952.0;15.0;301.249603271;301.38494873;301.0;301.155609131;301.081298828;300.972930908;301.127502441;301.244506836;301.246643066;300.798034668;300.52053833;301.201263428;301.129211426;301.155609131;28.0982074738;28.1468410492;28.1657104492;27.9774475098
14;804.0;3.0;1952.0;15.0;301.962219238;302.265258789;302.258331299;301.474975586;301.459228516;301.415130615;301.467254639;301.843109131;301.802825928;302.506744385;302.969238281;301.397003174;301.668121338;301.474975586;28.7763938904;28.9189147949;28.8998355865;28.4354190826
15;835.0;4.0;1952.0;15.0;302.571075439;302.2109375;302.754730225;301.404327393;301.622894287;301.583129883;301.490661621;302.219573975;301.555969238;303.103851318;303.940246582;301.342041016;301.743682861;301.404327393;29.3164520264;29.2933101654;28.9904117584;28.4491767883
16;865.0;5.0;1952.0;15.0;300.774780273;299.884460449;301.243225098;300.194030762;300.246887207;299.900299072;300.242248535;299.869232178;300.028533936;301.718414307;303.42175293;300.455047607;299.953582764;300.194030762;27.3561859131;27.309305191;26.7444705963;26.9109802246
17;896.0;6.0;1952.0;15.0;299.557800293;299.181121826;299.865905762;299.161071777;299.271911621;299.124450684;299.222259521;298.91607666;299.096832275;300.10357666;301.198944092;299.253112793;299.227386475;299.161071777;26.2175064087;26.2743473053;25.9191513062;26.0352725983
18;926.0;7.0;1952.0;15.0;298.101989746;297.804870605;298.458587646;297.874389648;298.060974121;297.94519043;297.93447876;297.606689453;297.837615967;298.470245361;299.857025146;297.782012939;297.985534668;297.874389648;24.8048286438;24.8465042114;24.5817108154;24.7905883789
19;957.0;8.0;1952.0;15.0;297.993469238;297.808258057;298.25894165;298.014526367;298.157287598;297.974914551;298.062957764;297.562194824;297.941314697;298.421264648;299.096588135;298.016967773;297.979736328;298.014526367;24.7152843475;24.7778968811;24.5780658722;24.8571949005
20;988.0;9.0;1952.0;15.0;298.434570312;298.389923096;298.846893311;298.548309326;298.61505127;298.473327637;298.58380127;298.119110107;298.472320557;298.74331665;300.102111816;298.57421875;298.529327393;298.548309326;25.1905345917;25.2684268951;25.1447467804;25.3804759979
21;1018.0;10.0;1952.0;15.0;299.111968994;299.668395996;299.498657227;299.692169189;299.670410156;299.530273438;299.717132568;299.066741943;299.724365234;299.165649414;300.110321045;299.634307861;299.718139648;299.692169189;25.9480609894;26.1582794189;26.292755127;26.5360431671
22;1049.0;11.0;1952.0;15.0;298.936004639;300.447052002;299.60446167;300.963317871;300.972045898;300.928924561;300.947967529;299.04397583;300.843139648;299.299377441;299.390930176;301.002410889;301.047637939;300.963317871;25.8173408508;26.3210773468;26.8005962372;27.8088531494
23;1079.0;12.0;1952.0;15.0;298.891326904;299.422210693;299.032989502;300.433502197;300.354187012;300.022918701;300.456268311;299.085998535;299.989746094;299.021148682;298.222351074;300.564849854;299.922698975;300.433502197;25.7986164093;25.9287414551;26.2069568634;26.980846405
24;1110.0;1.0;1953.0;15.0;299.996826172;300.939300537;300.26159668;301.158538818;300.994262695;301.024017334;301.14730835;300.174804688;301.271240234;300.199493408;299.610076904;301.113067627;301.41885376;301.158538818;26.8991641998;27.1806163788;27.5314483643;28.073841095
25;1141.0;2.0;1953.0;15.0;302.057128906;302.354980469;302.025024414;302.5128479;302.363220215;302.213439941;302.512908936;302.002685547;302.590301514;301.898742676;301.645263672;302.544952393;302.448028564;302.5128479;28.8910598755;29.0120983124;29.0959300995;29.3024291992
