index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;301.219970703;301.820281982;301.347381592;300.841766357;300.986694336;301.321990967;300.872680664;301.082611084;301.577178955;301.333526611;301.369567871;300.194885254;301.667053223;300.841766357;28.0289497375;28.2821941376;28.3576526642;28.173997879
2;438.0;3.0;1951.0;15.0;302.106109619;302.397613525;302.38381958;301.560333252;301.554199219;301.832458496;301.520446777;301.68157959;302.218261719;302.540039062;303.140594482;301.106079102;302.220489502;301.560333252;28.8300170898;29.0589618683;28.9502620697;28.7691707611
3;469.0;4.0;1951.0;15.0;302.272735596;301.479949951;302.517852783;301.268463135;301.141937256;301.178009033;301.264892578;301.407836914;301.456268311;303.014373779;304.201812744;300.890991211;301.362304688;301.268463135;28.866153717;28.8417015076;28.2991638184;28.1576194763
4;499.0;5.0;1951.0;15.0;300.76385498;299.923919678;301.203399658;299.812835693;299.937438965;299.829559326;299.908782959;299.903198242;299.894317627;301.813201904;303.247283936;299.880279541;299.983764648;299.812835693;27.3582324982;27.316286087;26.7619304657;26.7630405426
5;530.0;6.0;1951.0;15.0;299.843170166;299.334075928;300.188110352;299.016876221;299.190216064;299.118713379;299.13293457;299.083282471;299.143554688;300.415527344;301.947052002;299.077575684;299.294494629;299.016876221;26.467590332;26.5125865936;26.0653934479;26.028377533
6;560.0;7.0;1951.0;15.0;298.606140137;298.212310791;298.824920654;297.990936279;298.091827393;297.985656738;298.050506592;297.944122314;298.045013428;298.971221924;300.116363525;298.037231445;298.214385986;297.990936279;25.2597522736;25.3165512085;24.9395084381;24.9394798279
7;591.0;8.0;1951.0;15.0;297.011993408;297.353912354;297.4715271;297.984832764;298.015258789;297.78894043;298.019989014;296.683013916;297.90737915;297.367462158;298.121917725;297.992401123;297.827911377;297.984832764;23.7640857697;23.9827194214;24.0068321228;24.7543487549
8;622.0;9.0;1951.0;15.0;298.269775391;297.809020996;298.473968506;298.205078125;298.21496582;298.005432129;298.221557617;297.564849854;298.173492432;298.7059021;299.456054688;298.269958496;298.083374023;298.205078125;24.910615921;24.9568271637;24.6054191589;24.987947464
9;652.0;10.0;1951.0;15.0;300.039123535;299.295379639;300.152069092;299.210418701;299.243377686;299.137329102;299.263549805;299.306762695;299.259368896;300.601806641;301.32989502;299.047210693;299.24710083;299.210418701;26.6717681885;26.6259918213;26.1457099915;26.0836296082
10;683.0;11.0;1951.0;15.0;301.051208496;300.753692627;301.075653076;300.546875;300.513183594;300.400970459;300.549316406;300.664031982;300.586517334;301.347747803;301.591918945;300.515960693;300.530426025;300.546875;27.7862453461;27.7957344055;27.5505218506;27.375793457
11;713.0;12.0;1951.0;15.0;298.906433105;299.968292236;299.151397705;300.344451904;300.052886963;299.850036621;300.268096924;298.959991455;300.193267822;299.066589355;298.440429688;300.701385498;300.166229248;300.344451904;25.7718276978;26.1321697235;26.4543094635;26.9984226227
12;744.0;1.0;1952.0;15.0;300.165039062;301.165740967;300.206787109;301.150878906;301.081329346;300.957580566;301.138671875;300.332794189;301.076629639;299.940795898;299.266204834;301.647735596;301.278533936;301.150878906;27.0646572113;27.3695106506;27.6843414307;27.9895687103
13;775.0;2.0;1952.0;15.0;300.89630127;301.424560547;300.978546143;301.72442627;301.683563232;301.486022949;301.715637207;300.768798828;301.64263916;300.783569336;300.627624512;301.912384033;301.605560303;301.72442627;27.7083644867;27.9331226349;28.0461940765;28.4838867188
14;804.0;3.0;1952.0;15.0;304.663116455;303.135986328;304.326446533;301.583740234;301.809814453;301.824249268;301.640411377;303.94152832;301.830505371;304.956817627;305.907440186;301.973358154;302.156066895;301.583740234;31.2993659973;30.9727706909;30.1502285004;28.7212810516
15;835.0;4.0;1952.0;15.0;303.337158203;301.469940186;303.401397705;300.653442383;300.841491699;300.723297119;300.710571289;302.193634033;300.790435791;304.378479004;305.954162598;300.929840088;300.924957275;300.653442383;29.8479862213;29.5259666443;28.5219936371;27.651008606
16;865.0;5.0;1952.0;15.0;301.102813721;300.505737305;301.534790039;300.442504883;300.565765381;300.410186768;300.477630615;300.104858398;300.502105713;301.749816895;303.633544922;300.55355835;300.556732178;300.442504883;27.6565570831;27.7409420013;27.200176239;27.3528156281
17;896.0;6.0;1952.0;15.0;299.794891357;299.231384277;300.103393555;299.157745361;299.23727417;299.027160645;299.217010498;299.103149414;299.099060059;300.205871582;301.853759766;299.34475708;299.153686523;299.157745361;26.4394702911;26.4449062347;26.0166873932;25.995059967
18;926.0;7.0;1952.0;15.0;299.914978027;299.386230469;300.117675781;299.007263184;299.283111572;299.303833008;299.123779297;299.373657227;299.159545898;300.235656738;301.506958008;298.778808594;299.431549072;299.007263184;26.6043624878;26.5776615143;26.2056350708;26.1063079834
