index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;301.425140381;301.897064209;301.491424561;301.653991699;301.577789307;301.672241211;301.642456055;301.262115479;302.00579834;301.388641357;301.309509277;301.413208008;301.988525391;301.653991699;28.2267570496;28.4420127869;28.5138587952;28.6677856445
2;438.0;3.0;1951.0;15.0;302.186096191;302.419281006;302.485595703;301.953430176;301.807800293;301.890319824;301.916900635;301.963500977;302.327545166;302.737854004;303.10369873;301.772216797;302.248138428;301.953430176;28.9697799683;29.1184158325;29.0825786591;28.9353408813
3;469.0;4.0;1951.0;15.0;303.332397461;302.218475342;303.509002686;301.684112549;301.723602295;301.753265381;301.698760986;302.51852417;301.83770752;304.177307129;305.39730835;301.475341797;301.912597656;301.684112549;29.9408931732;29.7878932953;29.1413211823;28.6495761871
4;499.0;5.0;1951.0;15.0;301.648498535;300.712860107;302.030639648;300.58883667;300.654785156;300.61138916;300.637115479;300.736175537;300.723022461;302.647277832;304.06741333;300.462310791;300.764190674;300.58883667;28.227640152;28.1670608521;27.5723953247;27.5369110107
5;530.0;6.0;1951.0;15.0;299.768951416;299.216339111;300.071228027;299.219787598;299.380615234;299.196044922;299.319488525;299.023468018;299.146850586;300.184997559;301.727600098;299.348968506;299.259979248;299.219787598;26.3977642059;26.4229469299;25.9838657379;26.0984554291
6;560.0;7.0;1951.0;15.0;298.74206543;298.349273682;298.944000244;298.399414062;298.603668213;298.426269531;298.481994629;298.21987915;298.359741211;298.998596191;300.047454834;298.425964355;298.495574951;298.399414062;25.4372024536;25.4528369904;25.1503334045;25.3100166321
7;591.0;8.0;1951.0;15.0;298.025909424;297.973571777;298.281616211;298.279083252;298.411193848;298.236358643;298.340026855;297.614379883;298.221221924;298.264434814;298.998596191;298.275909424;298.253540039;298.279083252;24.7537002563;24.8572845459;24.7126293182;25.1284389496
8;622.0;9.0;1951.0;15.0;298.664276123;298.506591797;298.924713135;298.882385254;298.927307129;298.76449585;298.907409668;298.198455811;298.823669434;298.981567383;299.725158691;298.85168457;298.800933838;298.882385254;25.3760032654;25.4584083557;25.2733592987;25.68891716
9;652.0;10.0;1951.0;15.0;299.93737793;299.765930176;300.343383789;299.931732178;299.878509521;299.775360107;299.953094482;299.488525391;300.004760742;300.636932373;301.45993042;299.780334473;299.935333252;299.931732178;26.6539421082;26.7265148163;26.5356121063;26.7738189697
10;683.0;11.0;1951.0;15.0;300.705383301;301.146820068;300.906555176;300.952789307;300.909667969;300.913116455;300.944763184;300.472167969;301.125488281;300.909515381;301.065612793;300.926300049;301.183349609;300.952789307;27.4860286713;27.7116146088;27.7340278625;27.8951454163
11;713.0;12.0;1951.0;15.0;299.403717041;300.466308594;299.770324707;301.187988281;301.057830811;300.988433838;301.206573486;299.366027832;301.140838623;299.720367432;299.05368042;301.297058105;301.240631104;301.187988281;26.2420845032;26.6301040649;26.9670753479;28.0078907013
12;744.0;1.0;1952.0;15.0;299.799926758;300.781616211;299.925048828;301.179321289;301.092407227;301.000610352;301.16986084;299.967163086;301.14541626;299.711334229;298.923400879;301.411102295;301.246673584;301.179321289;26.6992416382;26.9974040985;27.3581771851;28.0088348389
13;775.0;2.0;1952.0;15.0;300.974273682;301.605743408;301.016784668;301.646728516;301.592926025;301.490264893;301.621429443;300.97088623;301.695678711;300.813568115;300.516937256;301.805786133;301.659332275;301.646728516;27.8231430054;28.0474338531;28.2209320068;28.478603363
14;804.0;3.0;1952.0;15.0;303.709289551;302.907165527;303.759857178;301.8621521;302.023956299;302.00592041;301.876373291;303.172271729;302.150299072;304.39352417;305.126281738;301.957244873;302.229827881;301.8621521;30.3998222351;30.2751312256;29.7738265991;28.9181671143
15;835.0;4.0;1952.0;15.0;303.138000488;301.843414307;303.277893066;301.32232666;301.484771729;301.376159668;301.375305176;302.275878906;301.433288574;303.963195801;305.282836914;301.3828125;301.52355957;301.32232666;29.7322177887;29.5295085907;28.8136348724;28.2881565094
16;865.0;5.0;1952.0;15.0;301.181640625;300.374969482;301.571777344;300.550842285;300.600250244;300.355529785;300.570251465;300.228424072;300.510681152;301.9503479;303.584777832;300.673980713;300.44720459;300.550842285;27.7488594055;27.7457084656;27.1832027435;27.3422470093
17;896.0;6.0;1952.0;15.0;299.712799072;299.311553955;300.076446533;299.315246582;299.416534424;299.246276855;299.384185791;299.060333252;299.239929199;300.265380859;301.62322998;299.440612793;299.352661133;299.315246582;26.3691329956;26.420507431;26.0562744141;26.1745853424
18;926.0;7.0;1952.0;15.0;298.771728516;298.512908936;299.13168335;298.462005615;298.706298828;298.632781982;298.549926758;298.245056152;298.508087158;299.292114258;300.41607666;298.33102417;298.697998047;298.462005615;25.4653186798;25.5299377441;25.2585449219;25.4571037292
19;957.0;8.0;1952.0;15.0;298.118896484;298.057830811;298.473144531;298.390411377;298.543914795;298.306091309;298.456970215;297.720733643;298.254669189;298.63571167;299.315673828;298.473114014;298.286193848;298.390411377;24.8504810333;24.9471664429;24.7996082306;25.1979541779
20;988.0;9.0;1952.0;15.0;298.851593018;298.749267578;299.189575195;298.945922852;299.012298584;298.840057373;298.985809326;298.460083008;298.873352051;299.240478516;300.205413818;299.027954102;298.910766602;298.945922852;25.585187912;25.6652412415;25.5015411377;25.7702350616
21;1018.0;10.0;1952.0;15.0;300.050750732;299.779815674;300.349151611;299.77130127;299.741973877;299.563415527;299.79574585;299.601715088;299.809692383;300.592590332;301.471740723;299.812561035;299.743652344;299.77130127;26.7672367096;26.8044528961;26.5642776489;26.5925655365
22;1049.0;11.0;1952.0;15.0;299.903594971;300.591888428;300.267181396;300.990783691;300.920166016;300.798309326;300.954589844;299.654022217;300.98336792;300.281494141;300.255462646;301.025115967;300.952331543;300.990783691;26.679265976;26.9972324371;27.123872757;27.7869281769
23;1079.0;12.0;1952.0;15.0;299.997070312;300.715148926;300.118011475;301.081573486;300.95010376;300.863677979;301.075592041;299.985412598;301.03616333;300.154266357;299.347503662;301.106445312;301.060089111;301.081573486;26.8432941437;27.1012229919;27.3193702698;27.8717269897
24;1110.0;1.0;1953.0;15.0;300.457336426;301.528686523;300.513214111;301.261749268;301.124328613;301.18737793;301.237792969;300.606719971;301.467773438;300.387756348;299.503112793;301.386108398;301.640075684;301.261749268;27.3513813019;27.686832428;28.0155391693;28.2391891479
25;1141.0;2.0;1953.0;15.0;302.792663574;303.088562012;302.625366211;302.41003418;302.306610107;302.359771729;302.375610352;302.714019775;302.715240479;302.611724854;302.239227295;302.37298584;302.727600098;302.41003418;29.619392395;29.7472705841;29.7520446777;29.3928756714
