index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;301.618743896;302.182983398;301.384735107;301.955505371;301.785064697;301.714416504;301.87902832;301.242370605;302.271240234;300.989196777;300.718505859;301.950012207;302.048187256;301.955505371;28.3574008942;28.668088913;28.6793842316;28.8308296204
2;10665.0;3.0;1979.0;15.0;303.404205322;302.709411621;303.378570557;301.929870605;301.916107178;301.991394043;301.888916016;302.811706543;302.264770508;303.929595947;304.366394043;301.75;302.264923096;301.929870605;30.07853508;30.0081768036;29.5482788086;28.9463653564
3;10696.0;4.0;1979.0;15.0;302.889862061;301.71786499;303.19543457;301.746520996;301.81640625;301.536621094;301.715606689;302.174346924;301.684844971;304.007293701;305.100830078;301.850006104;301.539642334;301.746520996;29.5274181366;29.3246936798;28.7401676178;28.4935894012
4;10726.0;5.0;1979.0;15.0;300.824523926;299.957550049;301.379638672;300.399200439;300.615234375;300.289123535;300.447540283;300.276641846;300.077148438;302.064453125;303.344726562;300.649932861;300.102478027;300.399200439;27.5115127563;27.3678321838;26.9446125031;27.1114444733
5;10757.0;6.0;1979.0;15.0;299.20904541;298.808776855;299.478881836;299.240936279;299.252624512;298.989746094;299.283294678;298.400177002;299.042205811;299.32635498;300.938049316;299.350006104;299.003723145;299.240936279;25.8193721771;25.9170093536;25.5274772644;25.9539375305
6;10787.0;7.0;1979.0;15.0;298.453979492;298.211303711;298.64654541;298.453521729;298.518920898;298.331420898;298.492797852;297.88684082;298.397460938;298.57522583;299.601043701;298.350036621;298.40725708;298.453521729;25.1359157562;25.2179660797;24.9572696686;25.2748661041
7;10818.0;8.0;1979.0;15.0;298.484771729;298.325286865;298.793518066;298.914916992;299.051391602;298.700897217;298.985687256;298.143829346;298.675567627;298.870239258;299.573883057;299.050018311;298.61026001;298.914916992;25.2333374023;25.2781982422;25.1449642181;25.6223430634
8;10849.0;9.0;1979.0;15.0;298.419616699;298.548980713;298.800537109;299.276641846;299.38659668;299.089874268;299.385375977;298.082519531;298.920013428;298.576812744;299.56652832;299.449920654;299.025665283;299.276641846;25.1696510315;25.3157024384;25.26146698;25.9856376648
9;10879.0;10.0;1979.0;15.0;299.744598389;299.552368164;300.115081787;299.923980713;299.91885376;299.689941406;299.951690674;299.301177979;299.811950684;300.284515381;301.180938721;299.949890137;299.770874023;299.923980713;26.4629077911;26.5262889862;26.3349666595;26.678030014
10;10910.0;11.0;1979.0;15.0;299.807250977;300.088653564;300.141235352;300.77557373;300.68661499;300.389953613;300.744293213;299.33795166;300.507415771;300.065185547;300.628875732;300.949951172;300.416809082;300.77557373;26.5180568695;26.7570552826;26.6967201233;27.3958435059
11;10940.0;12.0;1979.0;15.0;298.272155762;299.57131958;298.558898926;300.652069092;300.387786865;300.095855713;300.541931152;298.344268799;300.428466797;298.32699585;297.397155762;300.75012207;300.171356201;300.652069092;25.1432476044;25.5822544098;26.044670105;27.1884918213
12;10971.0;1.0;1980.0;15.0;300.700927734;301.134429932;300.659820557;301.27557373;301.118927002;301.014434814;301.240020752;300.388122559;301.213165283;300.56350708;300.181427002;301.449859619;301.33972168;301.27557373;27.4580039978;27.7048549652;27.7056388855;28.0757274628
13;11002.0;2.0;1980.0;15.0;302.033111572;302.153137207;301.939788818;302.052062988;301.818847656;301.631378174;301.940155029;301.730987549;302.232086182;302.00189209;301.768188477;302.149902344;301.943572998;302.052062988;28.7934074402;28.9252109528;28.848985672;28.8022556305
14;11031.0;3.0;1980.0;15.0;303.369232178;302.282897949;303.247802734;301.950012207;301.82019043;301.720428467;301.94921875;302.696685791;302.041503906;303.935699463;304.20715332;301.950012207;301.948486328;301.950012207;30.0198421478;29.8348903656;29.265504837;28.7717266083
15;11062.0;4.0;1980.0;15.0;303.624176025;302.078430176;303.736694336;301.888214111;301.88394165;301.725616455;301.852050781;302.71975708;301.906951904;304.586456299;305.744689941;301.850036621;301.830169678;301.888214111;30.2059173584;29.9269161224;29.1565475464;28.6945590973
16;11092.0;5.0;1980.0;15.0;301.061737061;300.082183838;301.57611084;300.179046631;300.217590332;299.983947754;300.183563232;300.537475586;300.076812744;302.509063721;303.557647705;300.25;300.04510498;300.179046631;27.7557792664;27.5650253296;27.1073722839;26.9459323883
17;11123.0;6.0;1980.0;15.0;300.006408691;299.455444336;300.2059021;300.266571045;300.285217285;299.817932129;300.276275635;299.32611084;299.850769043;300.249359131;301.310272217;300.550018311;299.694793701;300.266571045;26.6546916962;26.6612434387;26.3007392883;26.8030986786
18;11153.0;7.0;1980.0;15.0;298.398895264;298.166137695;298.66027832;298.217712402;298.283874512;298.166931152;298.193084717;298.013336182;298.219604492;298.752593994;299.665588379;298.049926758;298.301879883;298.217712402;25.1343708038;25.1663761139;24.9631404877;25.0886459351
19;11184.0;8.0;1980.0;15.0;298.091064453;297.845977783;298.292205811;298.579162598;298.65145874;298.300994873;298.585784912;297.552185059;298.318817139;298.19430542;299.059875488;298.649993896;298.207336426;298.579162598;24.7812156677;24.8543167114;24.6363525391;25.2350692749
20;11215.0;9.0;1980.0;15.0;298.899169922;298.535797119;299.103363037;299.114959717;299.186523438;298.889892578;299.185424805;298.277130127;298.828033447;299.009887695;300.122253418;299.25;298.841552734;299.114959717;25.564781189;25.62068367;25.3195171356;25.8143348694
21;11245.0;10.0;1980.0;15.0;299.222473145;299.01550293;299.58416748;299.782318115;299.72164917;299.312866211;299.814483643;298.709503174;299.436309814;299.739318848;300.544525146;299.949920654;299.294342041;299.782318115;25.9202919006;25.999124527;25.7954902649;26.3507289886
22;11276.0;11.0;1980.0;15.0;299.639770508;299.701293945;299.899505615;300.404785156;300.32043457;299.989929199;300.375915527;298.992034912;300.154937744;299.765533447;300.573760986;300.650024414;300.018737793;300.404785156;26.2977218628;26.5116996765;26.3293399811;27.0169124603
23;11306.0;12.0;1980.0;15.0;298.084960938;298.901672363;298.33392334;299.617401123;299.420043945;299.278808594;299.578765869;297.770690918;299.497680664;297.992919922;298.036529541;299.650085449;299.452667236;299.617401123;24.8414535522;25.2242145538;25.3825454712;26.3206806183
24;11337.0;1.0;1981.0;15.0;298.547515869;300.785064697;299.1199646;300.683685303;300.848510742;301.115997314;300.85534668;299.312591553;300.783172607;299.126647949;297.439056396;300.649993896;301.400146484;300.683685303;25.6231994629;26.1902389526;27.0650405884;27.8804912567
25;11368.0;2.0;1981.0;15.0;302.419586182;303.27633667;302.468597412;302.392852783;302.480895996;302.857543945;302.521728516;302.632873535;302.740112305;302.499237061;301.761779785;302.250061035;303.227844238;302.392852783;29.3324565887;29.5729446411;29.8169403076;29.6628894806
26;11396.0;3.0;1981.0;15.0;304.174194336;303.192199707;304.022491455;302.263641357;302.318634033;302.56930542;302.395629883;303.676330566;302.562591553;304.599578857;304.947601318;302.04989624;302.933105469;302.263641357;30.8765945435;30.6765041351;30.1577472687;29.4474639893
27;11427.0;4.0;1981.0;15.0;304.12286377;302.75982666;304.04019165;301.957061768;302.01739502;302.180419922;302.027648926;303.278594971;302.185211182;304.572570801;305.766540527;301.750061035;302.442626953;301.957061768;30.7227020264;30.4900150299;29.7450771332;29.0488929749
28;11457.0;5.0;1981.0;15.0;301.764587402;301.346282959;301.996551514;300.795288086;300.687469482;300.792266846;300.826812744;301.16217041;301.123443604;302.089935303;303.540344238;300.549957275;301.186981201;300.795288086;28.4358158112;28.465845108;28.0995063782;27.8222427368
29;11488.0;6.0;1981.0;15.0;300.854309082;300.179931641;301.024078369;299.841247559;299.82019043;299.803375244;299.890380859;300.274230957;299.891967773;301.248352051;302.520904541;299.750213623;300.03314209;299.841247559;27.5321178436;27.4651565552;27.0336818695;26.7602539062
30;11518.0;7.0;1981.0;15.0;299.112701416;298.771026611;299.149261475;298.618743896;298.655303955;298.567840576;298.730895996;298.65536499;298.641296387;299.097625732;299.92364502;298.449951172;298.899017334;298.618743896;25.8271312714;25.8412857056;25.5615158081;25.5750694275
31;11549.0;8.0;1981.0;15.0;299.086639404;298.728057861;299.116241455;299.018432617;298.825286865;298.721069336;299.118682861;298.604370117;298.889465332;298.995727539;299.783416748;299.050018311;298.990447998;299.018432617;25.7936553955;25.8096008301;25.5488891602;25.7919559479
32;11580.0;9.0;1981.0;15.0;299.436248779;299.487762451;299.709228516;299.460205078;299.81362915;299.755096436;299.564331055;299.216705322;299.435180664;299.598907471;300.43951416;299.349975586;299.732910156;299.460205078;26.2207832336;26.3043518066;26.2271900177;26.4840869904
33;11610.0;10.0;1981.0;15.0;301.139068604;300.622680664;301.323364258;300.46005249;300.520141602;300.461853027;300.56072998;300.714111328;300.498565674;301.502838135;302.493804932;300.350036621;300.680664062;300.46005249;27.8626918793;27.8057765961;27.4942398071;27.4089870453
34;11641.0;11.0;1981.0;15.0;300.041900635;300.654022217;300.371032715;300.786132812;301.014953613;301.0440979;300.861938477;300.022216797;300.769805908;300.45880127;300.243133545;300.649902344;301.049713135;300.786132812;26.8855857849;27.1087055206;27.2730140686;27.7856674194
35;11671.0;12.0;1981.0;15.0;300.277587891;301.959716797;300.511230469;301.684112549;301.88079834;302.174499512;301.862731934;300.623962402;301.868682861;300.448699951;298.937652588;301.449951172;302.458862305;301.684112549;27.2295341492;27.7233524323;28.2823810577;28.9275112152
36;11702.0;1.0;1982.0;15.0;299.866363525;301.630889893;299.839752197;301.151062012;301.118621826;301.410827637;301.2840271;300.355682373;301.360931396;299.277191162;298.001556396;301.149932861;301.896392822;301.151062012;26.861322403;27.3413619995;27.9581756592;28.3270301819
37;11733.0;2.0;1982.0;15.0;301.721496582;302.692504883;301.841766357;302.021911621;302.278320312;302.479644775;302.156036377;301.952484131;302.316375732;301.763946533;301.14956665;301.949890137;302.700897217;302.021911621;28.6396198273;28.9151725769;29.2137508392;29.25116539
38;11761.0;3.0;1982.0;15.0;303.51461792;303.179901123;303.474517822;302.333099365;302.28503418;302.297393799;302.320068359;303.039398193;302.740936279;303.788574219;304.179779053;302.24987793;302.643920898;302.333099365;30.2237529755;30.2458534241;29.9257183075;29.3443813324
39;11792.0;4.0;1982.0;15.0;303.633392334;302.443450928;303.698364258;301.89276123;302.212097168;302.2550354;302.028686523;302.706573486;302.021850586;304.234375;305.462677002;301.750091553;302.301055908;301.89276123;30.2086772919;30.0618572235;29.3467750549;29.0001335144
40;11822.0;5.0;1982.0;15.0;302.024108887;300.911071777;302.09286499;300.417633057;300.644836426;300.607818604;300.391998291;301.023864746;300.694976807;302.334106445;304.060852051;300.250030518;300.647094727;300.417633057;28.5775966644;28.4795303345;27.7801361084;27.4359493256
