index;time;month;year;day;BEN
0;530.0;6.0;1951.0;15.0;NaN
1;896.0;6.0;1952.0;15.0;141.929840088
2;1261.0;6.0;1953.0;15.0;106.581390381
3;1626.0;6.0;1954.0;15.0;130.830627441
4;1991.0;6.0;1955.0;15.0;118.657554626
5;2357.0;6.0;1956.0;15.0;125.960212708
6;2722.0;6.0;1957.0;15.0;124.024307251
7;3087.0;6.0;1958.0;15.0;149.547225952
8;3452.0;6.0;1959.0;15.0;127.096252441
9;3818.0;6.0;1960.0;15.0;136.075408936
10;4183.0;6.0;1961.0;15.0;131.021820068
11;4548.0;6.0;1962.0;15.0;171.519317627
12;4913.0;6.0;1963.0;15.0;106.181335449
13;5279.0;6.0;1964.0;15.0;62.0154304504
14;5644.0;6.0;1965.0;15.0;118.335968018
15;6009.0;6.0;1966.0;15.0;110.348579407
16;6374.0;6.0;1967.0;15.0;102.654747009
17;6740.0;6.0;1968.0;15.0;123.332199097
18;7105.0;6.0;1969.0;15.0;80.1212005615
19;7470.0;6.0;1970.0;15.0;151.93586731
20;7835.0;6.0;1971.0;15.0;64.2309188843
21;8201.0;6.0;1972.0;15.0;73.0687255859
22;8566.0;6.0;1973.0;15.0;107.296386719
23;8931.0;6.0;1974.0;15.0;138.82913208
24;9296.0;6.0;1975.0;15.0;65.3920516968
25;9662.0;6.0;1976.0;15.0;99.5615310669
26;10027.0;6.0;1977.0;15.0;199.27671814
27;10392.0;6.0;1978.0;15.0;128.157791138
28;10757.0;6.0;1979.0;15.0;110.335708618
29;11123.0;6.0;1980.0;15.0;62.2427444458
30;11488.0;6.0;1981.0;15.0;148.70211792
31;11853.0;6.0;1982.0;15.0;164.667419434
32;12218.0;6.0;1983.0;15.0;116.692886353
33;12584.0;6.0;1984.0;15.0;139.669235229
34;12949.0;6.0;1985.0;15.0;120.460754395
35;13314.0;6.0;1986.0;15.0;148.916320801
36;13679.0;6.0;1987.0;15.0;134.11869812
37;14045.0;6.0;1988.0;15.0;138.840621948
38;14410.0;6.0;1989.0;15.0;96.4803771973
39;14775.0;6.0;1990.0;15.0;73.5324325562
40;15140.0;6.0;1991.0;15.0;91.6849365234
41;15506.0;6.0;1992.0;15.0;100.626869202
42;15871.0;6.0;1993.0;15.0;78.7861251831
43;16236.0;6.0;1994.0;15.0;111.592102051
44;16601.0;6.0;1995.0;15.0;171.124694824
45;16967.0;6.0;1996.0;15.0;80.462310791
46;17332.0;6.0;1997.0;15.0;87.7293701172
