index;time;month;year;day;BEN
0;530.0;6.0;1951.0;15.0;NaN
1;896.0;6.0;1952.0;15.0;101.83441925
2;1261.0;6.0;1953.0;15.0;159.986923218
3;1626.0;6.0;1954.0;15.0;196.899108887
4;1991.0;6.0;1955.0;15.0;102.0210495
5;2357.0;6.0;1956.0;15.0;183.130722046
6;2722.0;6.0;1957.0;15.0;97.6785736084
7;3087.0;6.0;1958.0;15.0;111.658226013
8;3452.0;6.0;1959.0;15.0;91.9404907227
9;3818.0;6.0;1960.0;15.0;121.666305542
10;4183.0;6.0;1961.0;15.0;98.7867126465
11;4548.0;6.0;1962.0;15.0;120.558052063
12;4913.0;6.0;1963.0;15.0;149.199874878
13;5279.0;6.0;1964.0;15.0;144.799026489
14;5644.0;6.0;1965.0;15.0;98.7510299683
15;6009.0;6.0;1966.0;15.0;116.345832825
16;6374.0;6.0;1967.0;15.0;170.11541748
17;6740.0;6.0;1968.0;15.0;122.844390869
18;7105.0;6.0;1969.0;15.0;136.426849365
19;7470.0;6.0;1970.0;15.0;92.5123214722
20;7835.0;6.0;1971.0;15.0;126.376777649
21;8201.0;6.0;1972.0;15.0;163.814758301
22;8566.0;6.0;1973.0;15.0;169.388397217
23;8931.0;6.0;1974.0;15.0;126.329055786
24;9296.0;6.0;1975.0;15.0;216.255432129
25;9662.0;6.0;1976.0;15.0;90.509513855
26;10027.0;6.0;1977.0;15.0;115.202941895
27;10392.0;6.0;1978.0;15.0;127.75680542
28;10757.0;6.0;1979.0;15.0;131.439468384
29;11123.0;6.0;1980.0;15.0;99.7538375854
30;11488.0;6.0;1981.0;15.0;102.714988708
31;11853.0;6.0;1982.0;15.0;164.075836182
32;12218.0;6.0;1983.0;15.0;83.94165802
33;12584.0;6.0;1984.0;15.0;142.800384521
34;12949.0;6.0;1985.0;15.0;140.114852905
35;13314.0;6.0;1986.0;15.0;134.330810547
36;13679.0;6.0;1987.0;15.0;84.3285064697
37;14045.0;6.0;1988.0;15.0;86.6233596802
38;14410.0;6.0;1989.0;15.0;110.072052002
39;14775.0;6.0;1990.0;15.0;156.700363159
40;15140.0;6.0;1991.0;15.0;118.739753723
41;15506.0;6.0;1992.0;15.0;95.0481109619
42;15871.0;6.0;1993.0;15.0;97.7852706909
43;16236.0;6.0;1994.0;15.0;99.29662323
44;16601.0;6.0;1995.0;15.0;93.1531906128
45;16967.0;6.0;1996.0;15.0;132.166885376
46;17332.0;6.0;1997.0;15.0;96.2306442261
47;17697.0;6.0;1998.0;15.0;81.1687240601
48;18062.0;6.0;1999.0;15.0;142.944000244
49;18428.0;6.0;2000.0;15.0;142.484420776
50;18793.0;6.0;2001.0;15.0;101.09287262
51;19158.0;6.0;2002.0;15.0;140.753677368
52;19523.0;6.0;2003.0;15.0;156.349365234
53;19889.0;6.0;2004.0;15.0;103.207954407
54;20254.0;6.0;2005.0;15.0;172.343215942
55;20619.0;6.0;2006.0;15.0;120.367713928
56;20984.0;6.0;2007.0;15.0;130.072296143
57;21350.0;6.0;2008.0;15.0;129.347915649
58;21715.0;6.0;2009.0;15.0;111.453445435
59;22080.0;6.0;2010.0;15.0;112.386169434
60;22445.0;6.0;2011.0;15.0;100.566574097
61;22811.0;6.0;2012.0;15.0;81.2387695312
62;23176.0;6.0;2013.0;15.0;159.106781006
63;23541.0;6.0;2014.0;15.0;121.789741516
64;23906.0;6.0;2015.0;15.0;150.16178894
65;24272.0;6.0;2016.0;15.0;88.1251144409
66;24637.0;6.0;2017.0;15.0;142.387298584
67;25002.0;6.0;2018.0;15.0;120.255020142
68;25367.0;6.0;2019.0;15.0;188.841186523
69;25733.0;6.0;2020.0;15.0;114.965660095
70;26098.0;6.0;2021.0;15.0;130.170806885
71;26463.0;6.0;2022.0;15.0;92.8765945435
72;26828.0;6.0;2023.0;15.0;122.717269897
73;27194.0;6.0;2024.0;15.0;113.789649963
74;27559.0;6.0;2025.0;15.0;123.475357056
75;27924.0;6.0;2026.0;15.0;169.543151855
76;28289.0;6.0;2027.0;15.0;138.010253906
77;28655.0;6.0;2028.0;15.0;167.113845825
78;29020.0;6.0;2029.0;15.0;124.672119141
79;29385.0;6.0;2030.0;15.0;133.223373413
80;29750.0;6.0;2031.0;15.0;163.063690186
81;30116.0;6.0;2032.0;15.0;127.886444092
