index;time;month;year;day;BEN
0;530.0;6.0;1951.0;15.0;NaN
1;896.0;6.0;1952.0;15.0;95.5283203125
2;1261.0;6.0;1953.0;15.0;89.8119430542
3;1626.0;6.0;1954.0;15.0;86.7367706299
4;1991.0;6.0;1955.0;15.0;94.7436676025
5;2357.0;6.0;1956.0;15.0;89.2795333862
6;2722.0;6.0;1957.0;15.0;114.878471375
7;3087.0;6.0;1958.0;15.0;106.275245667
8;3452.0;6.0;1959.0;15.0;88.1773529053
9;3818.0;6.0;1960.0;15.0;79.5400238037
10;4183.0;6.0;1961.0;15.0;91.4756774902
11;4548.0;6.0;1962.0;15.0;106.347610474
12;4913.0;6.0;1963.0;15.0;156.921569824
13;5279.0;6.0;1964.0;15.0;92.1511001587
14;5644.0;6.0;1965.0;15.0;104.132774353
15;6009.0;6.0;1966.0;15.0;91.0722579956
16;6374.0;6.0;1967.0;15.0;94.2860488892
17;6740.0;6.0;1968.0;15.0;102.363204956
18;7105.0;6.0;1969.0;15.0;112.23903656
19;7470.0;6.0;1970.0;15.0;75.9536819458
20;7835.0;6.0;1971.0;15.0;98.6478881836
21;8201.0;6.0;1972.0;15.0;98.6778717041
22;8566.0;6.0;1973.0;15.0;135.26651001
23;8931.0;6.0;1974.0;15.0;102.914085388
24;9296.0;6.0;1975.0;15.0;93.228302002
25;9662.0;6.0;1976.0;15.0;224.710128784
26;10027.0;6.0;1977.0;15.0;90.4404907227
27;10392.0;6.0;1978.0;15.0;89.0274200439
28;10757.0;6.0;1979.0;15.0;74.189453125
29;11123.0;6.0;1980.0;15.0;110.996276855
30;11488.0;6.0;1981.0;15.0;111.547523499
31;11853.0;6.0;1982.0;15.0;116.396339417
32;12218.0;6.0;1983.0;15.0;116.069580078
33;12584.0;6.0;1984.0;15.0;77.0891494751
34;12949.0;6.0;1985.0;15.0;85.2207717896
35;13314.0;6.0;1986.0;15.0;75.929725647
36;13679.0;6.0;1987.0;15.0;84.5396118164
37;14045.0;6.0;1988.0;15.0;118.576133728
38;14410.0;6.0;1989.0;15.0;93.2171401978
39;14775.0;6.0;1990.0;15.0;85.1422805786
40;15140.0;6.0;1991.0;15.0;88.0849227905
41;15506.0;6.0;1992.0;15.0;80.6806716919
42;15871.0;6.0;1993.0;15.0;95.1788864136
43;16236.0;6.0;1994.0;15.0;100.497871399
44;16601.0;6.0;1995.0;15.0;113.225921631
45;16967.0;6.0;1996.0;15.0;101.185050964
46;17332.0;6.0;1997.0;15.0;83.3510055542
47;17697.0;6.0;1998.0;15.0;88.8922958374
48;18062.0;6.0;1999.0;15.0;92.9926681519
49;18428.0;6.0;2000.0;15.0;103.50643158
50;18793.0;6.0;2001.0;15.0;113.407318115
51;19158.0;6.0;2002.0;15.0;109.605781555
52;19523.0;6.0;2003.0;15.0;133.368301392
53;19889.0;6.0;2004.0;15.0;76.9088287354
54;20254.0;6.0;2005.0;15.0;108.129501343
55;20619.0;6.0;2006.0;15.0;93.4595947266
56;20984.0;6.0;2007.0;15.0;118.900428772
57;21350.0;6.0;2008.0;15.0;111.579986572
58;21715.0;6.0;2009.0;15.0;87.7588348389
59;22080.0;6.0;2010.0;15.0;129.022155762
60;22445.0;6.0;2011.0;15.0;118.713546753
61;22811.0;6.0;2012.0;15.0;91.9145050049
62;23176.0;6.0;2013.0;15.0;154.712646484
63;23541.0;6.0;2014.0;15.0;114.442367554
64;23906.0;6.0;2015.0;15.0;93.5816192627
65;24272.0;6.0;2016.0;15.0;79.8120880127
66;24637.0;6.0;2017.0;15.0;105.02557373
67;25002.0;6.0;2018.0;15.0;104.30960083
68;25367.0;6.0;2019.0;15.0;116.772949219
69;25733.0;6.0;2020.0;15.0;132.563400269
70;26098.0;6.0;2021.0;15.0;87.2048950195
71;26463.0;6.0;2022.0;15.0;84.9114608765
72;26828.0;6.0;2023.0;15.0;93.045173645
73;27194.0;6.0;2024.0;15.0;115.367111206
74;27559.0;6.0;2025.0;15.0;187.627670288
75;27924.0;6.0;2026.0;15.0;109.27394104
76;28289.0;6.0;2027.0;15.0;100.063987732
