index;time;month;year;day;BEN
0;530.0;6.0;1951.0;15.0;NaN
1;896.0;6.0;1952.0;15.0;105.358833313
2;1261.0;6.0;1953.0;15.0;119.993011475
3;1626.0;6.0;1954.0;15.0;128.76222229
4;1991.0;6.0;1955.0;15.0;112.877906799
5;2357.0;6.0;1956.0;15.0;118.201873779
6;2722.0;6.0;1957.0;15.0;108.57824707
7;3087.0;6.0;1958.0;15.0;110.767868042
8;3452.0;6.0;1959.0;15.0;101.01638031
9;3818.0;6.0;1960.0;15.0;119.357727051
10;4183.0;6.0;1961.0;15.0;99.5320205688
11;4548.0;6.0;1962.0;15.0;124.368110657
12;4913.0;6.0;1963.0;15.0;130.215515137
13;5279.0;6.0;1964.0;15.0;99.3506088257
14;5644.0;6.0;1965.0;15.0;106.539138794
15;6009.0;6.0;1966.0;15.0;100.077285767
16;6374.0;6.0;1967.0;15.0;118.352165222
17;6740.0;6.0;1968.0;15.0;113.610153198
18;7105.0;6.0;1969.0;15.0;111.756500244
19;7470.0;6.0;1970.0;15.0;102.629119873
20;7835.0;6.0;1971.0;15.0;95.8814544678
21;8201.0;6.0;1972.0;15.0;102.166679382
22;8566.0;6.0;1973.0;15.0;136.930435181
23;8931.0;6.0;1974.0;15.0;125.097953796
24;9296.0;6.0;1975.0;15.0;117.239356995
25;9662.0;6.0;1976.0;15.0;138.802185059
26;10027.0;6.0;1977.0;15.0;124.006462097
27;10392.0;6.0;1978.0;15.0;107.678886414
28;10757.0;6.0;1979.0;15.0;109.412094116
29;11123.0;6.0;1980.0;15.0;96.4215545654
30;11488.0;6.0;1981.0;15.0;110.286766052
31;11853.0;6.0;1982.0;15.0;137.713745117
32;12218.0;6.0;1983.0;15.0;103.69808197
33;12584.0;6.0;1984.0;15.0;114.956878662
34;12949.0;6.0;1985.0;15.0;105.376571655
35;13314.0;6.0;1986.0;15.0;111.435325623
36;13679.0;6.0;1987.0;15.0;102.326126099
37;14045.0;6.0;1988.0;15.0;108.690002441
38;14410.0;6.0;1989.0;15.0;104.37298584
39;14775.0;6.0;1990.0;15.0;105.413337708
40;15140.0;6.0;1991.0;15.0;98.8365249634
41;15506.0;6.0;1992.0;15.0;89.2637252808
42;15871.0;6.0;1993.0;15.0;91.0687332153
43;16236.0;6.0;1994.0;15.0;99.6832275391
44;16601.0;6.0;1995.0;15.0;128.516357422
45;16967.0;6.0;1996.0;15.0;113.624549866
46;17332.0;6.0;1997.0;15.0;90.5999221802
47;17697.0;6.0;1998.0;15.0;123.180274963
48;18062.0;6.0;1999.0;15.0;107.116218567
49;18428.0;6.0;2000.0;15.0;113.211425781
50;18793.0;6.0;2001.0;15.0;127.952339172
51;19158.0;6.0;2002.0;15.0;106.619598389
52;19523.0;6.0;2003.0;15.0;133.959915161
53;19889.0;6.0;2004.0;15.0;97.673034668
54;20254.0;6.0;2005.0;15.0;129.414962769
55;20619.0;6.0;2006.0;15.0;124.094894409
56;20984.0;6.0;2007.0;15.0;111.838813782
57;21350.0;6.0;2008.0;15.0;127.057159424
58;21715.0;6.0;2009.0;15.0;107.714225769
59;22080.0;6.0;2010.0;15.0;136.948120117
60;22445.0;6.0;2011.0;15.0;94.9750442505
61;22811.0;6.0;2012.0;15.0;113.803771973
62;23176.0;6.0;2013.0;15.0;148.509094238
