index;time;month;year;day;BEN
0;10757.0;6.0;1979.0;15.0;NaN
1;11123.0;6.0;1980.0;15.0;83.9215698242
2;11488.0;6.0;1981.0;15.0;83.4686737061
3;11853.0;6.0;1982.0;15.0;98.9893875122
4;12218.0;6.0;1983.0;15.0;73.1784515381
5;12584.0;6.0;1984.0;15.0;92.6159439087
6;12949.0;6.0;1985.0;15.0;92.2789230347
7;13314.0;6.0;1986.0;15.0;76.3625411987
8;13679.0;6.0;1987.0;15.0;83.6429138184
9;14045.0;6.0;1988.0;15.0;112.612724304
10;14410.0;6.0;1989.0;15.0;121.752479553
11;14775.0;6.0;1990.0;15.0;81.2932357788
12;15140.0;6.0;1991.0;15.0;100.155906677
13;15506.0;6.0;1992.0;15.0;90.8962249756
14;15871.0;6.0;1993.0;15.0;104.998626709
15;16236.0;6.0;1994.0;15.0;95.3724365234
16;16601.0;6.0;1995.0;15.0;103.292045593
17;16967.0;6.0;1996.0;15.0;109.739173889
18;17332.0;6.0;1997.0;15.0;77.4121704102
19;17697.0;6.0;1998.0;15.0;88.3128585815
20;18062.0;6.0;1999.0;15.0;118.177742004
21;18428.0;6.0;2000.0;15.0;82.7719650269
22;18793.0;6.0;2001.0;15.0;76.4815216064
23;19158.0;6.0;2002.0;15.0;87.5804138184
24;19523.0;6.0;2003.0;15.0;92.1949081421
25;19889.0;6.0;2004.0;15.0;96.0957183838
26;20254.0;6.0;2005.0;15.0;76.0331878662
27;20619.0;6.0;2006.0;15.0;96.9558258057
28;20984.0;6.0;2007.0;15.0;91.1251296997
29;21350.0;6.0;2008.0;15.0;96.1228942871
30;21715.0;6.0;2009.0;15.0;96.1524581909
31;22080.0;6.0;2010.0;15.0;85.2378616333
32;22445.0;6.0;2011.0;15.0;76.744140625
33;22811.0;6.0;2012.0;15.0;98.8782348633
34;23176.0;6.0;2013.0;15.0;73.3606719971
