"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,201,"SEN","Senegal",1,"Dakar","SN.DK",1,"1","Région","Region","","Cap Vert|Dacar"
2,201,"SEN","Senegal",2,"Diourbel","SN.DB",3,"3","Région","Region","",""
3,201,"SEN","Senegal",3,"Fatick","SN.FK",9,"9","Région","Region","",""
4,201,"SEN","Senegal",4,"Kédougou","SN.KG",13,"13","Région","Region","","Sénégal Oriental"
5,201,"SEN","Senegal",5,"Kaffrine","SN.KF",12,"12","Région","Region","",""
6,201,"SEN","Senegal",6,"Kaolack","SN.KC",6,"6","Région","Region","",""
7,201,"SEN","Senegal",7,"Kolda","SN.KD",10,"10","Région","Region","",""
8,201,"SEN","Senegal",8,"Louga","SN.LG",7,"7","Région","Region","",""
9,201,"SEN","Senegal",8,"Louga","SN.LG",8,"8","Région","Region","",""
10,201,"SEN","Senegal",9,"Matam","SN.MT",11,"11","Région","Region","",""
11,201,"SEN","Senegal",10,"Sédhiou","SN.SD",14,"14","Région","Region","",""
12,201,"SEN","Senegal",11,"Saint-Louis","SN.ST",4,"4","Région","Region","","Fleuve|Vallée du Fleuve"
13,201,"SEN","Senegal",12,"Tambacounda","SN.TB",5,"5","Région","Region","","Sénégal Oriental"
14,201,"SEN","Senegal",13,"Thiès","SN.TH",7,"7","Région","Region","",""
15,201,"SEN","Senegal",14,"Ziguinchor","SN.ZG",2,"2","Région","Region","",""
