"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar","SN.DK.DK",11,"11","Département","Department","",""
2,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye","SN.DK.GD",14,"14","Département","Department","",""
3,201,"SEN","Senegal",1,"Dakar",3,"Pikine","SN.DK.PK",12,"12","Département","Department","",""
4,201,"SEN","Senegal",1,"Dakar",4,"Rufisque","SN.DK.RF",13,"13","Département","Department","","Rufisque-Bargny"
5,201,"SEN","Senegal",2,"Diourbel",5,"Bambey","SN.DB.BB",31,"31","Département","Department","",""
6,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel","SN.DB.DB",32,"32","Département","Department","",""
7,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké","SN.DB.MK",33,"33","Département","Department","","M'Back"
8,201,"SEN","Senegal",3,"Fatick",8,"Fatick","SN.FK.FK",91,"91","Département","Department","",""
9,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne","SN.FK.FD",92,"92","Département","Department","",""
10,201,"SEN","Senegal",3,"Fatick",10,"Gossas","SN.FK.GS",93,"93","Département","Department","",""
11,201,"SEN","Senegal",4,"Kédougou",11,"Kédougou","SN.KG.KG",131,"131","Département","Department","",""
12,201,"SEN","Senegal",4,"Kédougou",12,"Salémata","SN.KG.SM",132,"132","Département","Department","",""
13,201,"SEN","Senegal",4,"Kédougou",13,"Saraya","SN.KG.SY",133,"133","Département","Department","",""
14,201,"SEN","Senegal",5,"Kaffrine",14,"Birkilane","SN.KF.BR",122,"122","Département","Department","",""
15,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine","SN.KF.KF",121,"121","Département","Department","",""
16,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul","SN.KC.KU",123,"123","Département","Department","",""
17,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar","SN.KF.MH",124,"124","Département","Department","",""
18,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo","SN.KC.GG",63,"63","Département","Department","",""
19,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack","SN.KC.KL",61,"61","Département","Department","",""
20,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip","SN.KC.NR",62,"62","Département","Department","","Nioro-Du-Rip|Nioro"
21,201,"SEN","Senegal",7,"Kolda",21,"Kolda","SN.KO.KD",101,"101","Département","Department","",""
22,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula","SN.KO.YF",103,"103","Département","Department","",""
23,201,"SEN","Senegal",7,"Kolda",23,"Vélingara","SN.KO.VL",102,"102","Département","Department","",""
24,201,"SEN","Senegal",8,"Louga",24,"Kébémer","SN.LG.KB",NA,"","Département","Department","",""
25,201,"SEN","Senegal",8,"Louga",24,"Kébémer","SN.LG.KB",81,"81","Département","Department","",""
26,201,"SEN","Senegal",8,"Louga",25,"Linguère","SN.LG.LN",82,"82","Département","Department","",""
27,201,"SEN","Senegal",8,"Louga",26,"Louga","SN.LG.LG",83,"83","Département","Department","",""
28,201,"SEN","Senegal",9,"Matam",27,"Kanel","SN.MT.KN",112,"112","Département","Department","",""
29,201,"SEN","Senegal",9,"Matam",28,"Matam","SN.MT.MT",111,"111","Département","Department","",""
30,201,"SEN","Senegal",9,"Matam",29,"Ranérou Ferlo","SN.MT.RN",113,"113","Département","Department","","Ranerou"
31,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling","SN.SD.BL",142,"142","Département","Department","",""
32,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp","SN.SD.GP",143,"143","Département","Department","",""
33,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou","SN.SD.SD",141,"141","Département","Department","",""
34,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana","SN.ST.DG",41,"41","Département","Department","",""
35,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor","SN.ST.PD",42,"42","Département","Department","",""
36,201,"SEN","Senegal",11,"Saint-Louis",35,"Saint-Louis","SN.ST.SL",43,"43","Département","Department","",""
37,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel","SN.TB.BK",51,"51","Département","Department","",""
38,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry","SN.TB.GY",53,"53","Département","Department","",""
39,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum","SN.TB.KP",54,"54","Département","Department","","Koumpentoum"
40,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda","SN.TB.TC",52,"52","Département","Department","",""
41,201,"SEN","Senegal",13,"Thiès",40,"Mbour","SN.TH.MR",71,"71","Département","Department","","M'Bour"
42,201,"SEN","Senegal",13,"Thiès",41,"Thiès","SN.TH.TH",72,"72","Département","Department","",""
43,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane","SN.TH.TV",73,"73","Département","Department","",""
44,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona","SN.ZG.BG",21,"21","Département","Department","",""
45,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye","SN.ZG.OU",22,"22","Département","Department","",""
46,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor","SN.ZG.ZG",23,"23","Département","Department","",""
