"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",113013,"113013","Arrondissment","Arrondissement","",""
2,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",113011,"113011","Arrondissment","Arrondissement","",""
3,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",113012,"113012","Arrondissment","Arrondissement","",""
4,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",113012,"113012","Arrondissment","Arrondissement","",""
5,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",113014,"113014","Arrondissment","Arrondissement","",""
6,201,"SEN","Senegal",1,"Dakar",2,"Guédiawaye",5,"Guediawaye",143011,"143011","Arrondissment","Arrondissement","",""
7,201,"SEN","Senegal",1,"Dakar",3,"Pikine",6,"Niayes",123011,"123011","Arrondissment","Arrondissement","",""
8,201,"SEN","Senegal",1,"Dakar",3,"Pikine",7,"Pikine Dagoudane",123012,"123012","Arrondissment","Arrondissement","",""
9,201,"SEN","Senegal",1,"Dakar",3,"Pikine",8,"Thiaroye",123013,"123013","Arrondissment","Arrondissement","",""
10,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",132010,"132010","Arrondissment","Arrondissement","",""
11,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",133011,"133011","Arrondissment","Arrondissement","",""
12,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",312010,"312010","Arrondissment","Arrondissement","",""
13,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",312020,"312020","Arrondissment","Arrondissement","",""
14,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",312030,"312030","Arrondissment","Arrondissement","",""
