"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
1,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",1,"Mermoz/ Sacre -Coeur","",113013,"1130134","Commune","Commune"
2,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",2,"Ngor","",113013,"1130132","Commune","Commune"
3,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",3,"Ouakam","",113013,"1130131","Commune","Commune"
4,201,"SEN","Senegal",1,"Dakar",1,"Dakar",1,"Almadies",4,"Yoff","",113013,"1130133","Commune","Commune"
5,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",5,"Îles des Madeleines","Sarpan|Le Parc National des Iles de la Madeleine",113012,"","Parc National","National Park"
6,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",6,"Fann/Point E/ Amitie","",113011,"1130115","Commune","Commune"
7,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",7,"Goree","",113011,"1130111","Commune","Commune"
8,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",8,"Gueule Tapee/Colobane/Fass","",113011,"1130114","Commune","Commune"
9,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",9,"Medina","",113011,"1130113","Commune","Commune"
10,201,"SEN","Senegal",1,"Dakar",1,"Dakar",2,"Dakar Plateau",10,"Plateau","",113011,"1130112","Commune","Commune"
11,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",11,"Biscuiterie","",113012,"1130122","Commune","Commune"
12,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",12,"Dieuppeul Derkle","",113012,"1130126","Commune","Commune"
13,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",13,"Grand Dakar","",113012,"1130121","Commune","Commune"
14,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",14,"Hann/ Bel Air","",113012,"1130124","Commune","Commune"
15,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",15,"Hlm","",113012,"1130123","Commune","Commune"
16,201,"SEN","Senegal",1,"Dakar",1,"Dakar",3,"Grand Dakar",16,"Sicap Liberte","",113012,"1130125","Commune","Commune"
17,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",17,"Camberene","",113014,"1130144","Commune","Commune"
18,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",18,"Grand Yoff","",113014,"1130141","Commune","Commune"
19,201,"SEN","Senegal",1,"Dakar",1,"Dakar",4,"Parcelles Assainies",19,"Parcelles Assainies","",113014,"1130143","Commune","Commune"
