index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;438.0;3.0;1951.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;469.0;4.0;1951.0;15.0;0.0;0.0;0.105472385883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105472385883;0.0;0.0214812550694;0.0;0.0547169074416;0.0;0.0;0.0;0.105472385883
4;499.0;5.0;1951.0;15.0;0.555746138096;0.68405264616;4.33294630051;0.555746138096;0.0587844476104;4.38247203827;0.272525370121;1.60910618305;0.562515079975;0.68405264616;0.528288781643;0.290867775679;4.33294630051;0.1444375664;1.41830539703;0.109212882817;1.63730430603;0.0159002598375;0.555746138096;0.68405264616;4.33294630051
5;530.0;6.0;1951.0;15.0;13.7398376465;0.0;22.481754303;13.7398376465;1.89733660221;21.3210163116;0.0;0.0;2.4500746727;0.0;0.0250779036433;0.0746610984206;22.481754303;5.06321001053;8.45276641846;0.0;16.8335819244;4.49921321869;13.7398376465;0.0;22.481754303
6;560.0;7.0;1951.0;15.0;30.4501361847;2.67131447792;30.0518913269;30.4501361847;10.1575632095;34.3524551392;5.43603754044;16.7003479004;18.4338703156;2.67131447792;10.4753856659;9.9075345993;30.0518913269;16.6693286896;20.073348999;5.01652193069;26.2617893219;22.5309848785;30.4501361847;2.67131447792;30.0518913269
7;591.0;8.0;1951.0;15.0;46.108215332;22.0845108032;111.402534485;46.108215332;23.5540847778;86.7800216675;31.7571411133;22.462928772;46.2516670227;22.0845108032;20.3008937836;27.8364944458;111.402534485;24.100769043;47.5992088318;22.7757320404;59.3557777405;33.6301002502;46.108215332;22.0845108032;111.402534485
8;622.0;9.0;1951.0;15.0;31.3057594299;18.8339099884;97.7421035767;31.3057594299;13.7995004654;74.5684967041;43.7815246582;16.1829681396;15.8759183884;18.8339099884;12.1667985916;15.1525812149;97.7421035767;18.2838802338;38.1217422485;10.2854423523;64.9737930298;17.6920661926;31.3057594299;18.8339099884;97.7421035767
9;652.0;10.0;1951.0;15.0;15.2764024734;13.8322086334;17.9553451538;15.2764024734;16.5458183289;19.9283790588;19.1921272278;9.69378376007;24.4953575134;13.8322086334;16.7930145264;16.0617733002;17.9553451538;18.5322494507;17.7908744812;19.4908733368;18.237821579;17.1326961517;15.2764024734;13.8322086334;17.9553451538
