index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;309.434356689;308.961090088;311.201049805;309.434356689;311.293609619;310.116210938;304.607910156;309.793609619;311.27923584;308.961090088;310.392028809;310.811248779;311.201049805;311.520080566;310.701904297;310.774597168;311.417022705;309.453338623;309.434356689;308.961090088;311.201049805;35.45911026
2;438.0;3.0;1951.0;15.0;314.019744873;313.176086426;315.145629883;314.019744873;315.45022583;314.744293213;306.885406494;316.135253906;316.85043335;313.176086426;315.268127441;315.333648682;315.145629883;315.93258667;315.558624268;314.911834717;316.137115479;313.773834229;314.019744873;313.176086426;315.145629883;39.5107803345
3;469.0;4.0;1951.0;15.0;315.794158936;313.990966797;315.661773682;315.794158936;316.668792725;315.831726074;307.790039062;316.313842773;317.205169678;313.990966797;316.08392334;316.600830078;315.661773682;316.617584229;316.24041748;315.692749023;316.532104492;315.816009521;315.794158936;313.990966797;315.661773682;40.306678772
4;499.0;5.0;1951.0;15.0;313.534484863;312.417510986;315.390686035;313.534484863;314.999725342;314.925354004;306.592773438;320.34866333;319.014068604;312.417510986;316.988342285;315.361846924;315.390686035;316.379547119;316.684051514;314.343566895;317.254150391;311.992553711;313.534484863;312.417510986;315.390686035;38.7849197388
5;530.0;6.0;1951.0;15.0;307.667175293;308.86932373;310.436218262;307.667175293;309.66796875;308.988983154;305.605407715;313.737365723;313.444702148;308.86932373;312.206390381;309.735107422;310.436218262;311.607879639;311.368682861;310.935638428;311.907928467;306.475921631;307.667175293;308.86932373;310.436218262;35.4113578796
6;560.0;7.0;1951.0;15.0;307.311920166;308.709289551;307.295715332;307.311920166;310.715332031;307.231842041;304.786224365;314.091217041;313.104949951;308.709289551;312.321136475;310.064361572;307.295715332;311.934143066;310.368164062;310.966827393;308.89831543;306.549346924;307.311920166;308.709289551;307.295715332;35.2116546631
7;591.0;8.0;1951.0;15.0;307.211791992;308.100402832;307.088104248;307.211791992;310.332397461;307.113250732;303.864227295;313.322784424;313.059753418;308.100402832;311.586395264;309.562164307;307.088104248;311.94329834;310.455535889;309.837677002;310.6222229;306.572631836;307.211791992;308.100402832;307.088104248;34.5741424561
8;622.0;9.0;1951.0;15.0;308.000671387;309.537017822;307.705413818;308.000671387;311.102142334;308.3644104;304.014312744;315.125518799;315.035705566;309.537017822;313.531158447;310.937896729;307.705413818;312.994812012;311.941955566;312.193023682;312.223205566;307.110809326;308.000671387;309.537017822;307.705413818;35.9172554016
9;652.0;10.0;1951.0;15.0;307.489227295;308.796508789;308.640777588;307.489227295;308.55670166;308.109527588;306.698852539;313.907745361;311.528808594;308.796508789;312.222503662;308.901153564;308.640777588;309.74420166;310.213043213;309.66494751;309.496063232;307.640014648;307.489227295;308.796508789;308.640777588;35.4042282104
