index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;312.30267334;311.622436523;313.114440918;312.30267334;313.652648926;313.077331543;312.462341309;312.779876709;314.659332275;311.622436523;313.350982666;313.123504639;313.114440918;314.605285645;313.51550293;313.005187988;314.276580811;310.891937256;312.30267334;311.622436523;313.114440918;38.563709259
2;438.0;3.0;1951.0;15.0;313.528533936;313.468475342;314.225463867;313.528533936;315.073608398;314.382995605;314.761077881;315.250549316;316.434112549;313.468475342;315.345153809;315.303375244;314.225463867;315.71572876;315.21282959;314.944366455;315.761871338;313.351501465;313.528533936;313.468475342;314.225463867;40.4371147156
3;469.0;4.0;1951.0;15.0;313.737792969;312.719177246;314.43371582;313.737792969;314.730316162;314.665374756;315.968841553;315.737030029;316.761199951;312.719177246;315.105895996;314.750854492;314.43371582;315.535339355;315.266784668;314.18157959;315.836151123;313.524383545;313.737792969;312.719177246;314.43371582;39.8690834045
4;499.0;5.0;1951.0;15.0;313.551269531;312.349060059;314.914093018;313.551269531;314.812347412;314.59463501;306.91027832;316.716217041;317.280181885;312.349060059;316.077453613;314.245880127;314.914093018;315.981781006;315.563446045;315.053253174;316.117553711;311.114807129;313.551269531;312.349060059;314.914093018;38.66147995
5;530.0;6.0;1951.0;15.0;311.344451904;313.094482422;311.996337891;311.344451904;312.808227539;312.055755615;307.162017822;318.264953613;316.737304688;313.094482422;316.479431152;312.777770996;311.996337891;313.866210938;314.472839355;315.068359375;313.926971436;310.019470215;311.344451904;313.094482422;311.996337891;39.3059692383
6;560.0;7.0;1951.0;15.0;309.893676758;309.173034668;310.28237915;309.893676758;310.976074219;309.944244385;306.374267578;314.932403564;314.181671143;309.173034668;312.195037842;310.568267822;310.28237915;312.150787354;311.858673096;310.602905273;311.546325684;309.283569336;309.893676758;309.173034668;310.28237915;35.7941551208
7;591.0;8.0;1951.0;15.0;310.379516602;307.847839355;310.039306641;310.379516602;309.482391357;311.475769043;304.10824585;313.521728516;312.779815674;307.847839355;312.430236816;308.947967529;310.039306641;311.553741455;311.477172852;310.335357666;311.660400391;309.151855469;310.379516602;307.847839355;310.039306641;34.3262252808
8;622.0;9.0;1951.0;15.0;309.569000244;310.171722412;309.313659668;309.569000244;310.236541748;310.091186523;305.572021484;315.30859375;312.320220947;310.171722412;313.061981201;310.41204834;309.313659668;310.484161377;311.325897217;311.166137695;310.360473633;309.478027344;309.569000244;310.171722412;309.313659668;36.5553512573
9;652.0;10.0;1951.0;15.0;312.107421875;313.74407959;311.372650146;312.107421875;312.348052979;311.966278076;313.416992188;315.454650879;314.522613525;313.74407959;314.29864502;313.072906494;311.372650146;312.497314453;313.249237061;313.013519287;312.536224365;312.454284668;312.107421875;313.74407959;311.372650146;40.5297431946
10;683.0;11.0;1951.0;15.0;310.083740234;311.721801758;311.243438721;310.083740234;310.525115967;310.592559814;312.70401001;313.027526855;312.447906494;311.721801758;312.719299316;310.476470947;311.243438721;311.154022217;311.647644043;311.573974609;311.510253906;308.824462891;310.083740234;311.721801758;311.243438721;38.5767364502
11;713.0;12.0;1951.0;15.0;308.561523438;309.388641357;310.27130127;308.561523438;310.401428223;308.959350586;309.353240967;310.798736572;312.054077148;309.388641357;311.122894287;309.998565674;310.27130127;311.356018066;310.745666504;310.456512451;311.477783203;308.135437012;308.561523438;309.388641357;310.27130127;36.2153968811
12;744.0;1.0;1952.0;15.0;309.42401123;309.210693359;310.765289307;309.42401123;310.924377441;309.802246094;308.132110596;308.818023682;310.790161133;309.210693359;309.871154785;310.454284668;310.765289307;311.017822266;310.345367432;310.367340088;311.338745117;309.279571533;309.42401123;309.210693359;310.765289307;35.983253479
13;775.0;2.0;1952.0;15.0;311.485626221;311.753479004;312.797912598;311.485626221;313.284057617;312.15222168;313.444244385;312.469482422;314.167510986;311.753479004;312.720184326;313.25402832;312.797912598;313.641143799;313.059173584;312.614837646;313.768218994;311.553771973;311.485626221;311.753479004;312.797912598;38.7642936707
14;804.0;3.0;1952.0;15.0;313.008789062;312.576629639;313.747650146;313.008789062;313.717926025;313.641876221;313.651733398;313.577362061;314.884552002;312.576629639;313.458465576;313.921630859;313.747650146;314.095245361;313.938964844;313.140441895;314.577514648;312.976501465;313.008789062;312.576629639;313.747650146;39.5395774841
15;835.0;4.0;1952.0;15.0;314.655914307;313.540039062;315.421508789;314.655914307;315.952606201;315.537414551;311.953735352;316.268676758;318.626800537;313.540039062;315.782592773;315.764038086;315.421508789;316.889648438;316.389678955;315.402313232;317.368499756;313.834533691;314.655914307;313.540039062;315.421508789;40.2812805176
16;865.0;5.0;1952.0;15.0;314.320343018;312.360473633;315.206176758;314.320343018;315.824371338;315.273254395;310.983612061;317.666870117;318.731262207;312.360473633;316.340423584;315.999389648;315.206176758;316.859954834;316.413726807;315.335021973;316.964172363;313.146850586;314.320343018;312.360473633;315.206176758;39.124206543
17;896.0;6.0;1952.0;15.0;312.642059326;312.019012451;313.141357422;312.642059326;315.802490234;312.90032959;306.605621338;316.681884766;317.369415283;312.019012451;315.719390869;315.33581543;313.141357422;316.116912842;315.020019531;315.184661865;314.981262207;310.567108154;312.642059326;312.019012451;313.141357422;38.4557228088
18;926.0;7.0;1952.0;15.0;311.126953125;311.037078857;311.570953369;311.126953125;311.891418457;310.843139648;304.515869141;316.574554443;315.492034912;311.037078857;313.965515137;311.910705566;311.570953369;313.137329102;313.040924072;312.672790527;311.996490479;310.697967529;311.126953125;311.037078857;311.570953369;37.3091087341
19;957.0;8.0;1952.0;15.0;309.002471924;309.573181152;307.794433594;309.002471924;310.708862305;308.602661133;305.472290039;311.491668701;310.760467529;309.573181152;310.917816162;310.814910889;307.794433594;310.8309021;309.780273438;311.520477295;308.596435547;307.87588501;309.002471924;309.573181152;307.794433594;36.081829071
20;988.0;9.0;1952.0;15.0;311.497436523;310.860839844;309.381500244;311.497436523;312.627471924;309.757202148;307.024230957;314.808746338;312.057159424;310.860839844;312.942230225;312.748687744;309.381500244;311.627471924;311.590789795;311.936828613;310.317443848;311.320678711;311.497436523;310.860839844;309.381500244;37.4045410156
21;1018.0;10.0;1952.0;15.0;310.975402832;313.671966553;310.600860596;310.975402832;312.457855225;310.763641357;313.162597656;314.662384033;313.369720459;313.671966553;313.899932861;313.739501953;310.600860596;312.6434021;312.678436279;313.269805908;312.130218506;311.602264404;310.975402832;313.671966553;310.600860596;40.4573020935
22;1049.0;11.0;1952.0;15.0;309.798095703;311.830566406;310.697174072;309.798095703;311.272064209;310.182189941;313.286346436;312.484649658;312.83984375;311.830566406;312.113494873;311.761993408;310.697174072;311.562011719;311.671569824;311.824310303;311.807678223;309.488769531;309.798095703;311.830566406;310.697174072;38.8021011353
