index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;310.343139648;309.794006348;310.545898438;310.343139648;311.441955566;310.794342041;308.895812988;309.11541748;311.140380859;309.794006348;310.001708984;311.54510498;310.545898438;311.479034424;310.744232178;310.588439941;311.490753174;311.570068359;310.343139648;309.794006348;310.545898438;36.6023788452
2;438.0;3.0;1951.0;15.0;313.242950439;311.702484131;311.988952637;313.242950439;314.024200439;312.724395752;312.270294189;312.542755127;314.170715332;311.702484131;312.912994385;313.605895996;311.988952637;314.04598999;313.188232422;313.015075684;313.490600586;313.298858643;313.242950439;311.702484131;311.988952637;38.6121177673
3;469.0;4.0;1951.0;15.0;313.930664062;314.83984375;314.018615723;313.930664062;316.387664795;314.144805908;313.453521729;316.795043945;317.037353516;314.83984375;316.668518066;316.193756104;314.018615723;316.487182617;315.764831543;316.71182251;315.52822876;313.647033691;313.930664062;314.83984375;314.018615723;41.5295257568
4;499.0;5.0;1951.0;15.0;311.46875;313.595367432;312.452850342;311.46875;313.377716064;312.47253418;309.668487549;318.82623291;316.53717041;313.595367432;317.482391357;313.59942627;312.452850342;314.537322998;314.885192871;315.752380371;314.221466064;309.958557129;311.46875;313.595367432;312.452850342;40.0041732788
5;530.0;6.0;1951.0;15.0;309.847503662;307.338378906;311.083831787;309.847503662;310.405334473;311.219055176;305.115783691;313.737304688;313.620605469;307.338378906;311.330871582;309.484008789;311.083831787;311.80581665;311.64654541;309.889953613;312.322296143;307.545318604;309.847503662;307.338378906;311.083831787;33.9992256165
6;560.0;7.0;1951.0;15.0;309.847503662;307.338378906;311.083831787;309.847503662;310.405334473;311.219055176;305.115783691;313.737304688;313.620605469;307.338378906;311.330871582;309.484008789;311.083831787;311.80581665;311.64654541;309.889953613;312.322296143;307.545318604;309.847503662;307.338378906;311.083831787;33.9992256165
7;591.0;8.0;1951.0;15.0;306.799468994;307.478210449;305.627838135;306.799468994;308.439117432;305.891723633;306.151489258;311.32611084;310.432739258;307.478210449;310.129669189;308.550354004;305.627838135;308.667480469;308.500549316;309.426971436;307.435211182;307.427001953;306.799468994;307.478210449;305.627838135;34.198184967
8;622.0;9.0;1951.0;15.0;306.323852539;307.659698486;305.390930176;306.323852539;308.347473145;305.838195801;307.121765137;312.643280029;310.599334717;307.659698486;310.830566406;307.907348633;305.390930176;309.536499023;308.676635742;308.807250977;307.395904541;306.163787842;306.323852539;307.659698486;305.390930176;34.3940505981
9;652.0;10.0;1951.0;15.0;308.81451416;312.586547852;307.699981689;308.81451416;310.914611816;308.553436279;314.724273682;313.426239014;311.277954102;312.586547852;311.70211792;311.605041504;307.699981689;310.484008789;310.549468994;311.183044434;309.624053955;309.448547363;308.81451416;312.586547852;307.699981689;39.6054916382
10;683.0;11.0;1951.0;15.0;308.949249268;311.858459473;308.63104248;308.949249268;310.910644531;308.721221924;311.149230957;311.797546387;311.503753662;311.858459473;311.843688965;311.765991211;308.63104248;310.845550537;310.704925537;311.743438721;310.267120361;310.557189941;308.949249268;311.858459473;308.63104248;38.6478500366
11;713.0;12.0;1951.0;15.0;307.471313477;308.706542969;309.923278809;307.471313477;309.905822754;308.126342773;307.946929932;309.380615234;310.944519043;308.706542969;309.829986572;309.683959961;309.923278809;310.301879883;309.796813965;309.742431641;310.596923828;307.329528809;307.471313477;308.706542969;309.923278809;35.4854621887
12;744.0;1.0;1952.0;15.0;309.026733398;309.225158691;311.362884521;309.026733398;311.062957764;309.804504395;308.103210449;310.16708374;311.855804443;309.225158691;310.675994873;310.759613037;311.362884521;311.603149414;310.951568604;310.705413818;311.864318848;309.525115967;309.026733398;309.225158691;311.362884521;35.9914360046
