index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;310.992523193;309.038330078;311.383270264;310.992523193;313.027709961;310.858581543;305.356445312;312.394714355;314.363891602;309.038330078;312.247650146;311.582458496;311.383270264;313.611724854;312.279449463;311.701049805;312.645965576;310.02243042;310.992523193;309.038330078;311.383270264;35.5666732788
2;438.0;3.0;1951.0;15.0;313.384033203;311.21875;313.323364258;313.384033203;314.084197998;313.333221436;308.47543335;312.767181396;315.04510498;311.21875;312.993560791;313.400085449;313.323364258;314.537231445;313.734283447;312.999816895;314.743377686;312.197418213;313.384033203;311.21875;313.323364258;37.8426361084
3;469.0;4.0;1951.0;15.0;313.242675781;309.833526611;313.689300537;313.242675781;313.896484375;313.814025879;307.935028076;313.783538818;316.290252686;309.833526611;313.17477417;312.976074219;313.689300537;314.818969727;314.156433105;312.508453369;315.374328613;311.791503906;313.242675781;309.833526611;313.689300537;36.5459594727
4;499.0;5.0;1951.0;15.0;314.301971436;312.019134521;314.650482178;314.301971436;314.955108643;315.475341797;307.114685059;317.572174072;318.349517822;312.019134521;316.081085205;313.723999023;314.650482178;316.267791748;315.92956543;315.175872803;316.499298096;310.553588867;314.301971436;312.019134521;314.650482178;38.4003334045
5;530.0;6.0;1951.0;15.0;310.726898193;313.460693359;312.009643555;310.726898193;313.21395874;312.261169434;309.045074463;316.593719482;316.023101807;313.460693359;315.390228271;313.164428711;312.009643555;313.756591797;314.017303467;314.778167725;313.827056885;308.854980469;310.726898193;313.460693359;312.009643555;39.8582763672
6;560.0;7.0;1951.0;15.0;306.817443848;308.549102783;307.410400391;306.817443848;309.025482178;307.233581543;307.569030762;312.093994141;311.556640625;308.549102783;310.449951172;308.85760498;307.410400391;309.329711914;309.353881836;308.855560303;308.75668335;305.892730713;306.817443848;308.549102783;307.410400391;35.3125
7;591.0;8.0;1951.0;15.0;308.517791748;307.341217041;308.326568604;308.517791748;309.924743652;308.755493164;308.391693115;311.061553955;310.353118896;307.341217041;309.928894043;309.268463135;308.326568604;311.449432373;309.556304932;309.743255615;309.010345459;308.600982666;308.517791748;307.341217041;308.326568604;34.3012886047
8;622.0;9.0;1951.0;15.0;305.856536865;306.87298584;306.857513428;305.856536865;307.914978027;305.74520874;306.360717773;309.600769043;309.321960449;306.87298584;309.233428955;307.261474609;306.857513428;308.459899902;307.827453613;307.850158691;307.190368652;304.59664917;305.856536865;306.87298584;306.857513428;33.6181564331
9;652.0;10.0;1951.0;15.0;307.496643066;308.818939209;308.757049561;307.496643066;310.666290283;307.273406982;307.538085938;311.976806641;312.300567627;308.818939209;311.316436768;310.084350586;308.757049561;310.704345703;310.284729004;310.585144043;310.302612305;306.79800415;307.496643066;308.818939209;308.757049561;35.5031166077
10;683.0;11.0;1951.0;15.0;308.505096436;309.620941162;309.497741699;308.505096436;310.016571045;308.969390869;307.753082275;312.916137695;312.740692139;309.620941162;311.672943115;310.092407227;309.497741699;310.470184326;310.82723999;310.462738037;310.554534912;308.67276001;308.505096436;309.620941162;309.497741699;36.2623558044
11;713.0;12.0;1951.0;15.0;307.437988281;307.220123291;308.923614502;307.437988281;308.448394775;308.060913086;307.60559082;310.279785156;311.471557617;307.220123291;309.3203125;308.075378418;308.923614502;308.889465332;309.266265869;307.591308594;309.504516602;306.578887939;307.437988281;307.220123291;308.923614502;34.079498291
12;744.0;1.0;1952.0;15.0;308.274047852;307.704345703;310.557922363;308.274047852;309.235351562;309.277374268;305.468780518;309.817840576;311.432556152;307.704345703;310.159179688;308.750152588;310.557922363;309.698913574;309.988677979;309.386535645;310.64541626;307.177337646;308.274047852;307.704345703;310.557922363;34.3281478882
13;775.0;2.0;1952.0;15.0;309.947998047;308.738189697;313.270568848;309.947998047;310.320922852;311.34954834;308.520812988;311.024841309;313.497680664;308.738189697;310.58996582;310.187255859;313.270568848;310.655059814;311.789855957;309.85168457;313.487823486;309.471130371;309.947998047;308.738189697;313.270568848;35.5472488403
14;804.0;3.0;1952.0;15.0;312.447357178;310.558258057;314.197113037;312.447357178;312.61340332;313.214172363;307.686248779;313.509216309;315.245910645;310.558258057;312.927001953;312.529266357;314.197113037;312.89453125;313.663024902;312.541931152;314.82119751;311.700073242;312.447357178;310.558258057;314.197113037;37.145526886
15;835.0;4.0;1952.0;15.0;312.377349854;310.421813965;313.383087158;312.377349854;313.082855225;313.153930664;307.837310791;313.393829346;315.277496338;310.421813965;312.965057373;312.771728516;313.383087158;313.491577148;313.547790527;312.70135498;314.415893555;311.597320557;312.377349854;310.421813965;313.383087158;37.0538635254
16;865.0;5.0;1952.0;15.0;312.949737549;311.132293701;313.858612061;312.949737549;313.637084961;313.734466553;307.828735352;317.33883667;317.490264893;311.132293701;315.537963867;313.518249512;313.858612061;314.216308594;314.982299805;313.86505127;315.015380859;312.092132568;312.949737549;311.132293701;313.858612061;37.6894073486
17;896.0;6.0;1952.0;15.0;310.491394043;309.562011719;310.384460449;310.491394043;310.955230713;310.03137207;306.375;316.582855225;315.138458252;309.562011719;313.548034668;310.807556152;310.384460449;311.664306641;312.450531006;312.055419922;311.966827393;308.247039795;310.491394043;309.562011719;310.384460449;36.1233253479
18;926.0;7.0;1952.0;15.0;310.865234375;308.991546631;309.603851318;310.865234375;312.075164795;310.075561523;307.011962891;314.449737549;314.532470703;308.991546631;311.881744385;311.510009766;309.603851318;312.466491699;311.938842773;312.137298584;311.4190979;310.609405518;310.865234375;308.991546631;309.603851318;35.7145996094
19;957.0;8.0;1952.0;15.0;308.931182861;308.941741943;308.475585938;308.931182861;309.946655273;308.868255615;306.910461426;312.806030273;312.151611328;308.941741943;310.884460449;309.481872559;308.475585938;310.822845459;310.361846924;310.869476318;309.686096191;309.083129883;308.931182861;308.941741943;308.475585938;35.5651092529
20;988.0;9.0;1952.0;15.0;307.189941406;308.659088135;306.620269775;307.189941406;308.255859375;307.154205322;309.334899902;313.521636963;311.427703857;308.659088135;311.499755859;308.494445801;306.620269775;308.898529053;309.488891602;309.382629395;308.415985107;307.041046143;307.189941406;308.659088135;306.620269775;35.510723114
21;1018.0;10.0;1952.0;15.0;310.268005371;312.403320312;309.353485107;310.268005371;312.207702637;310.498077393;311.299377441;314.333740234;313.383666992;312.403320312;313.527160645;312.500213623;309.353485107;312.103088379;312.131439209;313.137939453;311.583374023;309.63494873;310.268005371;312.403320312;309.353485107;39.1334266663
22;1049.0;11.0;1952.0;15.0;308.492858887;311.64440918;308.763641357;308.492858887;311.857391357;309.797668457;311.061279297;312.597961426;312.834350586;311.64440918;312.412475586;312.164123535;308.763641357;312.624603271;311.601226807;312.314880371;312.0652771;308.788757324;308.492858887;311.64440918;308.763641357;38.4689445496
23;1079.0;12.0;1952.0;15.0;306.802337646;309.689025879;308.605285645;306.802337646;309.567352295;307.49887085;309.006469727;309.427520752;310.599822998;309.689025879;310.179779053;309.762634277;308.605285645;310.349243164;309.450592041;310.592010498;309.684783936;306.727813721;306.802337646;309.689025879;308.605285645;36.4842453003
24;1110.0;1.0;1953.0;15.0;310.146820068;310.596740723;311.424041748;310.146820068;312.283111572;311.10723877;307.504058838;311.988677979;314.066894531;310.596740723;312.666656494;311.89151001;311.424041748;312.989593506;312.373931885;312.299591064;313.150482178;309.809082031;310.146820068;310.596740723;311.424041748;37.1775512695
25;1141.0;2.0;1953.0;15.0;311.83581543;308.731048584;313.30368042;311.83581543;313.755706787;312.812774658;306.491210938;312.859924316;315.946655273;308.731048584;312.942138672;312.43850708;313.30368042;314.628173828;313.558135986;312.459838867;314.645385742;310.737670898;311.83581543;308.731048584;313.30368042;35.4268417358
26;1169.0;3.0;1953.0;15.0;313.864685059;313.101867676;315.02520752;313.864685059;315.589904785;314.673522949;309.577178955;315.521453857;317.488128662;313.101867676;315.865875244;315.00100708;315.02520752;316.558563232;315.783966064;315.396911621;316.674346924;313.151550293;313.864685059;313.101867676;315.02520752;39.6032104492
27;1200.0;4.0;1953.0;15.0;314.10269165;310.984008789;314.172180176;314.10269165;315.059112549;314.992797852;308.074859619;315.639312744;317.375;310.984008789;314.822692871;313.66317749;314.172180176;316.343139648;315.34072876;313.785614014;316.537536621;311.84564209;314.10269165;310.984008789;314.172180176;37.5827827454
28;1230.0;5.0;1953.0;15.0;312.368835449;311.510070801;313.352233887;312.368835449;314.549346924;314.007629395;307.875457764;318.698242188;318.751251221;311.510070801;316.7684021;313.741760254;313.352233887;316.145172119;315.679412842;314.408905029;315.682830811;310.63861084;312.368835449;311.510070801;313.352233887;37.9668006897
29;1261.0;6.0;1953.0;15.0;312.093933105;310.550567627;312.774749756;312.093933105;313.107086182;314.131530762;306.499938965;317.434875488;317.294311523;310.550567627;315.446533203;311.775909424;312.774749756;314.792633057;314.666534424;313.243682861;314.938415527;309.323791504;312.093933105;310.550567627;312.774749756;36.9301223755
30;1291.0;7.0;1953.0;15.0;310.261871338;308.835479736;309.911712646;310.261871338;310.151824951;311.186065674;306.328948975;314.972686768;313.836486816;308.835479736;313.153961182;309.470855713;309.911712646;311.621032715;311.913574219;311.053222656;311.664245605;308.610656738;310.261871338;308.835479736;309.911712646;35.4065284729
31;1322.0;8.0;1953.0;15.0;307.406677246;305.730163574;306.336273193;307.406677246;307.363800049;308.215789795;305.098937988;311.525665283;309.320404053;305.730163574;308.95135498;306.563201904;306.336273193;308.330352783;308.237854004;307.648071289;307.663452148;305.881225586;307.406677246;305.730163574;306.336273193;32.505355835
32;1353.0;9.0;1953.0;15.0;310.843780518;310.371398926;309.182891846;310.843780518;311.504180908;310.910522461;310.582641602;313.680603027;313.802093506;310.371398926;312.705413818;311.366973877;309.182891846;311.983551025;311.836639404;311.69619751;311.303741455;310.016418457;310.843780518;310.371398926;309.182891846;37.222820282
33;1383.0;10.0;1953.0;15.0;312.473327637;310.324523926;312.047637939;312.473327637;312.420196533;312.191436768;308.812530518;314.540374756;315.172119141;310.324523926;312.627288818;311.666137695;312.047637939;313.834381104;313.131561279;311.458557129;313.632446289;309.936859131;312.473327637;310.324523926;312.047637939;37.0821685791
34;1414.0;11.0;1953.0;15.0;309.857971191;309.709381104;309.370849609;309.857971191;310.820770264;310.468200684;309.054504395;312.546173096;312.69430542;309.709381104;311.135925293;310.586181641;309.370849609;312.158416748;311.233734131;310.070587158;311.609069824;308.971191406;309.857971191;309.709381104;309.370849609;36.5251197815
35;1444.0;12.0;1953.0;15.0;309.300415039;306.411773682;311.396057129;309.300415039;309.970123291;310.392303467;305.988464355;307.068817139;309.903015137;306.411773682;307.688476562;308.720977783;311.396057129;311.004333496;309.641082764;307.521636963;311.765319824;308.091125488;309.300415039;306.411773682;311.396057129;33.2481269836
36;1475.0;1.0;1954.0;15.0;309.130371094;306.725769043;309.95123291;309.130371094;309.730682373;309.809204102;306.684661865;307.353851318;309.233795166;306.725769043;307.500366211;308.635986328;309.95123291;309.94732666;309.054077148;307.759613037;310.503967285;307.959625244;309.130371094;306.725769043;309.95123291;33.5838012695
37;1506.0;2.0;1954.0;15.0;312.700439453;310.435211182;312.516479492;312.700439453;313.512817383;313.212158203;307.494995117;311.909759521;314.526885986;310.435211182;312.155487061;312.578491211;312.516479492;313.985717773;313.032318115;312.335784912;313.891967773;311.450469971;312.700439453;310.435211182;312.516479492;37.0290985107
38;1534.0;3.0;1954.0;15.0;314.683380127;310.910705566;314.616760254;314.683380127;314.667449951;315.719696045;307.676971436;314.417114258;316.590240479;310.910705566;314.053314209;313.306793213;314.616760254;315.894287109;315.060974121;313.406402588;316.503540039;312.220947266;314.683380127;310.910705566;314.616760254;37.4660873413
39;1565.0;4.0;1954.0;15.0;315.723754883;310.806518555;315.539428711;315.723754883;315.787445068;316.610931396;307.945800781;314.304138184;317.354278564;310.806518555;313.6796875;314.131286621;315.539428711;316.509063721;315.532012939;313.654663086;317.04284668;312.884216309;315.723754883;310.806518555;315.539428711;37.4380912781
40;1595.0;5.0;1954.0;15.0;313.043487549;310.623657227;314.045684814;313.043487549;314.36315918;314.6769104;307.123077393;315.312988281;316.602630615;310.623657227;313.358856201;313.300170898;314.045684814;315.167236328;314.619384766;313.247924805;315.858520508;310.471588135;313.043487549;310.623657227;314.045684814;37.2127342224
41;1626.0;6.0;1954.0;15.0;312.294708252;311.676116943;312.427307129;312.294708252;315.07131958;313.386352539;307.037597656;316.010681152;316.035766602;311.676116943;314.735351562;314.184783936;312.427307129;315.221466064;314.312225342;314.591369629;314.372741699;310.041137695;312.294708252;311.676116943;312.427307129;38.1494178772
42;1656.0;7.0;1954.0;15.0;309.568267822;307.686767578;310.261322021;309.568267822;310.265350342;310.768157959;305.838592529;311.911132812;313.01965332;307.686767578;310.749542236;309.407073975;310.261322021;311.569152832;311.101745605;310.680358887;311.753723145;308.17086792;309.568267822;307.686767578;310.261322021;34.3720283508
43;1687.0;8.0;1954.0;15.0;308.027648926;312.144775391;307.210327148;308.027648926;310.328552246;308.002441406;309.660430908;313.586883545;311.190856934;312.144775391;312.857971191;311.126861572;307.210327148;310.419372559;310.222076416;312.535797119;308.369567871;307.678131104;308.027648926;312.144775391;307.210327148;38.7194328308
44;1718.0;9.0;1954.0;15.0;309.204071045;309.15145874;308.719696045;309.204071045;309.713104248;309.748413086;307.491516113;314.145111084;312.898864746;309.15145874;312.361358643;309.166931152;308.719696045;310.554412842;310.91305542;310.506866455;310.099243164;308.168945312;309.204071045;309.15145874;308.719696045;35.7831611633
45;1748.0;10.0;1954.0;15.0;310.91809082;311.601470947;309.509552002;310.91809082;313.476257324;311.804626465;309.639648438;314.524169922;314.050720215;311.601470947;313.646606445;312.744689941;309.509552002;314.136657715;312.766174316;314.112365723;312.629394531;309.597076416;310.91809082;311.601470947;309.509552002;38.2527770996
