index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;310.768157959;309.853973389;311.561157227;310.768157959;312.354003906;311.211608887;307.830627441;311.020904541;312.860717773;309.853973389;311.498077393;311.765563965;311.561157227;312.804016113;311.810272217;311.517303467;312.457580566;310.484436035;310.768157959;309.853973389;311.561157227;36.5479698181
2;438.0;3.0;1951.0;15.0;313.543823242;312.391448975;313.67086792;313.543823242;314.658050537;313.796234131;310.598052979;314.173919678;315.625091553;312.391448975;314.129974365;314.410766602;313.67086792;315.057891846;314.423492432;313.967773438;315.03326416;313.155395508;313.543823242;312.391448975;313.67086792;39.1006660461
3;469.0;4.0;1951.0;15.0;314.176330566;312.84588623;314.450836182;314.176330566;315.420806885;314.613983154;311.286865234;315.65737915;316.823516846;312.84588623;315.258270264;315.130371094;314.450836182;315.864746094;315.357116699;314.773651123;315.817687988;313.694732666;314.176330566;312.84588623;314.450836182;39.5628128052
4;499.0;5.0;1951.0;15.0;313.214111328;312.595245361;314.352020264;313.214111328;314.536224365;314.366973877;307.571533203;318.365814209;317.795227051;312.595245361;316.657318115;314.232788086;314.352020264;315.791595459;315.765563965;315.081268311;316.023101807;310.904876709;313.214111328;312.595245361;314.352020264;38.9627151489
5;530.0;6.0;1951.0;15.0;309.896484375;310.690734863;311.381500244;309.896484375;311.523864746;311.131256104;306.732086182;315.583343506;314.956420898;310.690734863;313.851715088;311.290313721;311.381500244;312.759124756;312.876342773;312.668029785;312.996063232;308.223937988;309.896484375;310.690734863;311.381500244;37.1437110901
6;560.0;7.0;1951.0;15.0;308.46762085;308.442443848;309.018066406;308.46762085;310.280548096;308.907165527;305.961334229;313.7137146;313.115966797;308.442443848;311.574249268;309.743560791;309.018066406;311.305114746;310.80682373;310.078826904;310.38092041;307.317749023;308.46762085;308.442443848;309.018066406;35.0793800354
7;591.0;8.0;1951.0;15.0;308.227142334;307.691925049;307.770477295;308.227142334;309.544677734;308.309051514;305.628936768;312.308044434;311.656341553;307.691925049;311.018798828;309.082244873;307.770477295;310.903503418;309.997406006;309.83581543;309.682037354;307.938110352;308.227142334;307.691925049;307.770477295;34.3499641418
8;622.0;9.0;1951.0;15.0;307.437530518;308.56036377;307.316864014;307.437530518;309.400299072;307.509765625;305.767181396;313.169555664;311.81930542;308.56036377;311.664306641;309.129669189;307.316864014;310.368835449;309.942993164;310.004119873;309.292480469;306.837310791;307.437530518;308.56036377;307.316864014;35.1212005615
9;652.0;10.0;1951.0;15.0;308.976959229;310.98651123;309.117614746;308.976959229;310.621398926;308.975646973;310.594573975;313.691345215;312.407470703;310.98651123;312.384918213;310.915863037;309.117614746;310.857452393;311.074127197;311.111663818;310.489746094;309.085205078;308.976959229;310.98651123;309.117614746;37.7606430054
10;683.0;11.0;1951.0;15.0;308.704528809;310.550720215;309.637573242;308.704528809;310.106750488;309.15335083;309.782836914;312.54385376;311.999847412;310.550720215;311.927093506;310.400634766;309.637573242;310.590881348;310.8387146;310.851318359;310.624420166;308.93951416;308.704528809;310.550720215;309.637573242;37.2988510132
11;713.0;12.0;1951.0;15.0;307.649139404;308.369140625;309.897277832;307.649139404;309.554992676;308.287628174;307.974975586;310.003631592;311.306030273;308.369140625;309.994415283;309.246002197;309.897277832;310.165924072;309.885162354;309.264373779;310.564971924;307.290924072;307.649139404;308.369140625;309.897277832;35.1730613708
12;744.0;1.0;1952.0;15.0;308.893859863;308.457824707;310.805908203;308.893859863;310.486663818;309.654205322;306.785308838;309.79486084;311.512176514;308.457824707;310.33013916;309.990966797;310.805908203;310.938049316;310.498474121;310.187774658;311.381195068;308.621032715;308.893859863;308.457824707;310.805908203;35.1641235352
13;775.0;2.0;1952.0;15.0;310.537322998;310.013427734;312.333007812;310.537322998;311.770507812;311.435699463;309.185302734;311.303314209;312.994415283;310.013427734;311.341552734;311.664703369;312.333007812;312.063415527;311.96484375;311.117370605;312.956665039;310.651153564;310.537322998;310.013427734;312.333007812;36.7974853516
14;804.0;3.0;1952.0;15.0;313.660919189;312.568603516;314.265594482;313.660919189;314.442230225;314.209320068;310.709899902;314.438720703;315.90524292;312.568603516;314.246124268;314.339385986;314.265594482;314.887786865;314.675842285;313.940368652;315.45135498;313.363800049;313.660919189;312.568603516;314.265594482;39.2565498352
15;835.0;4.0;1952.0;15.0;313.624176025;312.847015381;314.63494873;313.624176025;315.003417969;314.57434082;310.421508789;315.334594727;316.966552734;312.847015381;314.911651611;314.803894043;314.63494873;315.610473633;315.265686035;314.654296875;316.070220947;312.543609619;313.624176025;312.847015381;314.63494873;39.493473053
16;865.0;5.0;1952.0;15.0;314.273529053;312.079833984;314.330200195;314.273529053;315.142364502;314.864868164;308.62399292;317.541748047;317.726165771;312.079833984;315.719207764;314.983673096;314.330200195;315.820678711;315.719543457;314.789978027;316.028411865;312.887268066;314.273529053;312.079833984;314.330200195;38.6459960938
17;896.0;6.0;1952.0;15.0;310.191619873;310.213378906;310.387420654;310.191619873;312.034576416;310.581451416;306.941375732;316.462554932;315.104064941;310.213378906;314.08493042;311.895111084;310.387420654;312.864105225;312.74420166;312.566833496;312.089630127;308.635375977;310.191619873;310.213378906;310.387420654;36.76902771
18;926.0;7.0;1952.0;15.0;309.980865479;309.982299805;309.871246338;309.980865479;311.358856201;309.907897949;306.337432861;316.138031006;314.953094482;309.982299805;313.4090271;311.310028076;309.871246338;312.266693115;312.260528564;312.248413086;311.29083252;309.171691895;309.980865479;309.982299805;309.871246338;36.5149497986
19;957.0;8.0;1952.0;15.0;307.931427002;308.935882568;307.195617676;307.931427002;309.51739502;307.609893799;305.797027588;312.034667969;311.111297607;308.935882568;311.071166992;309.472076416;307.195617676;310.316741943;309.519287109;310.789855957;308.340087891;307.279785156;307.931427002;308.935882568;307.195617676;35.4838790894
20;988.0;9.0;1952.0;15.0;308.004364014;308.787902832;306.955841064;308.004364014;309.408630371;307.350952148;307.026794434;312.89944458;311.121032715;308.787902832;311.127929688;309.412841797;306.955841064;309.78024292;309.604827881;309.735168457;308.633361816;307.973114014;308.004364014;308.787902832;306.955841064;35.4599609375
21;1018.0;10.0;1952.0;15.0;309.305053711;312.181427002;308.972900391;309.305053711;311.372894287;309.424041748;311.481201172;313.370635986;312.413970947;312.181427002;312.433563232;312.027160645;308.972900391;311.408691406;311.276672363;312.068969727;310.644622803;309.198547363;309.305053711;312.181427002;308.972900391;38.9560699463
22;1049.0;11.0;1952.0;15.0;308.618499756;311.263336182;309.005523682;308.618499756;310.978240967;309.081237793;311.099822998;312.024932861;312.313354492;311.263336182;311.763763428;311.395874023;309.005523682;311.242614746;310.942443848;311.516845703;310.918518066;308.665649414;308.618499756;311.263336182;309.005523682;38.1001548767
23;1079.0;12.0;1952.0;15.0;307.563446045;308.520721436;309.424346924;307.563446045;309.669006348;308.123748779;307.796234131;309.05581665;310.635345459;308.520721436;309.543426514;309.453033447;309.424346924;310.191650391;309.545196533;309.594940186;310.271240234;307.460510254;307.563446045;308.520721436;309.424346924;35.3198394775
24;1110.0;1.0;1953.0;15.0;309.412506104;309.092163086;310.866271973;309.412506104;310.940917969;310.119934082;307.027832031;309.74130249;311.506317139;309.092163086;310.399932861;310.50479126;310.866271973;311.342285156;310.717041016;310.549987793;311.621643066;309.243377686;309.412506104;309.092163086;310.866271973;35.7796478271
25;1141.0;2.0;1953.0;15.0;310.982025146;308.769348145;311.960723877;310.982025146;312.011169434;311.609039307;306.57800293;310.648895264;313.006134033;308.769348145;311.027587891;311.449005127;311.960723877;312.418426514;311.783447266;311.050018311;312.738830566;310.881835938;310.982025146;308.769348145;311.960723877;35.4620361328
26;1169.0;3.0;1953.0;15.0;314.225494385;313.53894043;314.593292236;314.225494385;316.360046387;314.606079102;309.154144287;315.41204834;317.215240479;313.53894043;315.787506104;316.008880615;314.593292236;316.68927002;315.71572876;315.871917725;316.270965576;313.736358643;314.225494385;313.53894043;314.593292236;40.0130958557
27;1200.0;4.0;1953.0;15.0;314.332397461;313.052124023;314.87487793;314.332397461;315.701843262;315.152404785;310.769439697;316.462615967;317.875061035;313.052124023;315.71887207;315.348876953;314.87487793;316.510070801;315.980560303;315.080291748;316.76965332;313.111328125;314.332397461;313.052124023;314.87487793;39.7174110413
28;1230.0;5.0;1953.0;15.0;314.109130859;312.749572754;314.610443115;314.109130859;316.087554932;315.076812744;308.03717041;318.66317749;318.836639404;312.749572754;316.888916016;315.640167236;314.610443115;317.002075195;316.43081665;315.776092529;316.614532471;311.948425293;314.109130859;312.749572754;314.610443115;39.1940155029
29;1261.0;6.0;1953.0;15.0;310.291015625;310.799072266;311.20892334;310.291015625;311.461669922;311.520599365;307.119781494;317.309143066;315.909454346;310.799072266;314.866485596;311.245910645;311.20892334;313.005767822;313.436126709;312.962554932;313.215423584;308.752593994;310.291015625;310.799072266;311.20892334;37.2476882935
30;1291.0;7.0;1953.0;15.0;309.709777832;308.891448975;309.914764404;309.709777832;310.096099854;310.205322266;306.037597656;314.932495117;313.321990967;308.891448975;312.640106201;309.761230469;309.914764404;311.089080811;311.526123047;310.965393066;311.110900879;308.357391357;309.709777832;308.891448975;309.914764404;35.4554481506
31;1322.0;8.0;1953.0;15.0;307.43927002;307.2394104;307.197814941;307.43927002;308.375030518;307.772888184;305.085449219;312.306732178;310.636413574;307.2394104;310.257873535;308.064605713;307.197814941;308.953979492;309.161254883;308.735626221;308.692382812;306.86227417;307.43927002;307.2394104;307.197814941;33.8764343262
32;1353.0;9.0;1953.0;15.0;309.349090576;309.791229248;308.578308105;309.349090576;310.201293945;309.239685059;307.867889404;313.668365479;312.479919434;309.791229248;312.335693359;310.334533691;308.578308105;310.619018555;310.879211426;310.870941162;310.137786865;308.888031006;309.349090576;309.791229248;308.578308105;36.4371490479
33;1383.0;10.0;1953.0;15.0;310.175537109;310.654968262;310.335479736;310.175537109;310.816558838;310.363037109;309.214324951;314.749267578;313.934143066;310.654968262;313.14932251;310.709747314;310.335479736;311.724945068;312.043792725;311.220245361;311.701568604;309.096252441;310.175537109;310.654968262;310.335479736;37.3246231079
34;1414.0;11.0;1953.0;15.0;309.166931152;310.52230835;309.258209229;309.166931152;310.351226807;309.358825684;310.33404541;312.207855225;312.164031982;310.52230835;311.62979126;310.545135498;309.258209229;311.011230469;310.845031738;311.049377441;310.702301025;308.863494873;309.166931152;310.52230835;309.258209229;37.3307342529
