index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;310.306304932;310.726623535;312.42300415;310.306304932;312.849334717;310.878479004;308.697021484;313.967498779;316.20513916;310.726623535;313.685638428;312.6144104;312.42300415;313.86706543;313.333679199;312.914825439;313.673309326;310.383728027;310.306304932;310.726623535;312.42300415;37.4116592407
2;10665.0;3.0;1979.0;15.0;310.942321777;311.189483643;314.179290771;310.942321777;313.813964844;311.615203857;308.118988037;315.603149414;317.653289795;311.189483643;315.095581055;313.760223389;314.179290771;315.669799805;314.763763428;314.075866699;315.522155762;311.411315918;310.942321777;311.189483643;314.179290771;37.781085968
3;10696.0;4.0;1979.0;15.0;313.468231201;314.478027344;316.053161621;313.468231201;315.254882812;315.011993408;311.833404541;318.452758789;319.50479126;314.478027344;317.290466309;315.054412842;316.053161621;316.562347412;316.874847412;315.978210449;317.598114014;311.991821289;313.468231201;314.478027344;316.053161621;41.0264625549
4;10726.0;5.0;1979.0;15.0;312.870544434;312.230102539;315.237945557;312.870544434;314.649871826;314.102050781;309.41418457;317.268554688;317.679077148;312.230102539;315.540527344;313.968078613;315.237945557;315.457794189;315.482727051;314.58581543;315.96270752;310.879486084;312.870544434;312.230102539;315.237945557;38.8300094604
5;10757.0;6.0;1979.0;15.0;314.722381592;310.800079346;312.251739502;314.722381592;314.86517334;314.512054443;308.23449707;317.464202881;317.399963379;310.800079346;315.736541748;313.517089844;312.251739502;315.783691406;315.129272461;314.292144775;315.017028809;312.413513184;314.722381592;310.800079346;312.251739502;37.4123535156
6;10787.0;7.0;1979.0;15.0;310.594116211;309.058258057;311.898162842;310.594116211;311.818328857;311.460845947;307.256072998;315.454040527;314.906951904;309.058258057;313.374969482;310.872955322;311.898162842;312.996398926;312.843383789;311.750274658;312.933563232;309.24420166;310.594116211;309.058258057;311.898162842;35.7506217957
7;10818.0;8.0;1979.0;15.0;308.305023193;308.174316406;310.968841553;308.305023193;309.77355957;308.1640625;306.775054932;311.710876465;312.602935791;308.174316406;311.173095703;309.402191162;310.968841553;310.586456299;310.485778809;310.647735596;310.059234619;308.140136719;308.305023193;308.174316406;310.968841553;34.890247345
8;10849.0;9.0;1979.0;15.0;309.150054932;311.463562012;310.412139893;309.150054932;311.964691162;309.923095703;310.647155762;315.314910889;315.254882812;311.463562012;314.016723633;311.226165771;310.412139893;313.126068115;312.532592773;312.591278076;311.766113281;308.503936768;309.150054932;311.463562012;310.412139893;38.1629180908
9;10879.0;10.0;1979.0;15.0;311.465789795;311.358551025;311.045318604;311.465789795;312.706176758;311.040985107;309.665008545;315.4034729;315.071624756;311.358551025;313.786773682;312.58203125;311.045318604;312.98526001;312.917022705;312.969512939;312.11630249;310.735931396;311.465789795;311.358551025;311.045318604;38.0821609497
