index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;298.327148438;296.120178223;301.446502686;298.327148438;298.943115234;299.565460205;294.480804443;297.411590576;299.690246582;296.120178223;297.831817627;298.218688965;301.446502686;299.430084229;299.198242188;297.882446289;300.737609863;297.820556641;298.327148438;296.120178223;301.446502686;25.2314910889;26.0105018616;25.6667232513;26.0897731781;25.9883346558;24.9236888885;25.6489715576;25.2788410187;24.8084259033;26.9558639526;25.1277809143;25.6489715576;26.1482925415;25.5866336823;23.9186325073;28.2934265137;25.8498268127;25.9557151794
2;438.0;3.0;1951.0;15.0;300.743713379;297.823394775;304.281707764;300.743713379;301.132263184;302.710693359;295.539886475;301.489135742;303.749633789;297.823394775;301.159576416;300.18838501;304.281707764;302.45892334;302.399475098;300.298675537;304.198577881;299.200683594;300.743713379;297.823394775;304.281707764;28.6764736176;29.4279308319;29.3831710815;29.0305995941;28.8817424774;26.8180770874;28.1509742737;29.0957355499;27.8883266449;30.0852394104;28.2675285339;28.1509742737;29.2762107849;29.6552066803;25.7292976379;31.1290855408;29.4552936554;29.4204540253
3;469.0;4.0;1951.0;15.0;302.352478027;298.956848145;305.470672607;302.352478027;302.404876709;304.489135742;297.137420654;303.382781982;305.871582031;298.956848145;302.491912842;301.492828369;305.470672607;304.076629639;304.04901123;301.308013916;306.065643311;300.573699951;302.352478027;298.956848145;305.470672607;30.3620510101;31.1621456146;31.1351127625;30.7160625458;30.6013412476;28.3091526031;29.7814044952;30.8878154755;29.2171154022;31.8033847809;29.6424846649;29.7814044952;30.5508232117;31.6833648682;26.9673633575;32.3175849915;31.3872642517;31.2761497498
4;499.0;5.0;1951.0;15.0;301.545562744;299.782745361;304.432891846;301.545562744;301.980529785;303.381866455;298.463348389;304.868347168;306.717651367;299.782745361;303.220855713;301.644012451;304.432891846;303.563354492;304.088134766;301.668121338;305.51751709;300.141174316;301.545562744;299.782745361;304.432891846;31.1128005981;31.4294433594;31.9278144836;29.880405426;29.5978298187;27.6921596527;28.9261226654;31.8725185394;29.7553195953;31.344039917;29.9862937927;28.9261226654;30.5630111694;32.7988739014;27.4902915955;31.2795562744;32.2311973572;31.7870922089
5;530.0;6.0;1951.0;15.0;300.505096436;300.185974121;301.673370361;300.505096436;301.03616333;301.219482422;299.802947998;302.999176025;303.685394287;300.185974121;301.870849609;301.071166992;301.673370361;301.753387451;302.051086426;301.20489502;302.448364258;299.95916748;300.505096436;300.185974121;301.673370361;29.2939491272;29.2410583496;29.6857318878;28.091676712;27.8225898743;27.0821170807;27.5616378784;29.7333145142;28.5331020355;28.9219493866;28.6124515533;27.5616378784;28.6417121887;30.2529010773;27.4559078217;28.5211677551;29.8615531921;29.5534896851
6;560.0;7.0;1951.0;15.0;300.59072876;300.960144043;300.610687256;300.59072876;301.582946777;300.581451416;300.415374756;304.02053833;303.517486572;300.960144043;302.8125;301.435791016;300.610687256;301.992279053;302.005279541;301.841094971;301.47833252;300.274932861;300.59072876;300.960144043;300.610687256;29.8174190521;29.2999668121;30.0371742249;27.9187355042;27.4345855713;27.2828578949;27.3546524048;30.2691459656;29.3943862915;28.4193267822;29.3219261169;27.3546524048;28.7670612335;30.5817584991;28.0212249756;27.4587955475;29.8754482269;29.6218662262
7;591.0;8.0;1951.0;15.0;300.02734375;300.737701416;299.931793213;300.02734375;301.048461914;299.978179932;300.456665039;303.391937256;302.819000244;300.737701416;302.36541748;301.042694092;299.931793213;301.548522949;301.457214355;301.467956543;300.900726318;300.009796143;300.02734375;300.737701416;299.931793213;29.2649822235;28.7484264374;29.4562778473;27.3794765472;26.8452301025;26.8696498871;26.849237442;29.6743221283;28.9414653778;27.8873138428;28.8838233948;26.849237442;28.2253074646;29.9111232758;27.7281494141;26.7794342041;29.2686290741;29.0548458099
8;622.0;9.0;1951.0;15.0;299.740509033;300.665374756;299.581970215;299.740509033;300.57925415;299.732879639;300.613037109;303.083679199;302.512390137;300.665374756;301.787536621;300.684509277;299.581970215;300.821533203;301.116333008;300.981658936;300.692108154;299.769470215;299.740509033;300.665374756;299.581970215;28.8710956573;28.3836517334;29.0235137939;26.958864212;26.5856075287;26.6060009003;26.5946216583;29.2764492035;28.3993167877;27.553768158;28.2767753601;26.5946216583;27.7409362793;29.6050033569;27.5254802704;26.4295120239;29.0079975128;28.6801509857
9;652.0;10.0;1951.0;15.0;299.901977539;300.101379395;300.063262939;299.901977539;300.142547607;300.056976318;300.416778564;302.399688721;301.468139648;300.101379395;300.92880249;300.299438477;300.063262939;300.160919189;300.753845215;300.174530029;300.653808594;299.966156006;299.901977539;300.101379395;300.063262939;28.109703064;27.844877243;28.0671920776;26.9074249268;26.8534622192;26.7845611572;26.8440761566;28.3959407806;27.6306686401;27.3413295746;27.4804477692;26.8440761566;27.4275436401;28.712430954;27.0627613068;26.9108982086;28.0566673279;27.8004684448
10;683.0;11.0;1951.0;15.0;298.897766113;299.318359375;299.822357178;298.897766113;299.628326416;299.347686768;298.611724854;300.679290771;300.966430664;299.318359375;300.582702637;299.715423584;299.822357178;300.328094482;300.190185547;299.847015381;300.313598633;299.330718994;298.897766113;299.318359375;299.822357178;27.3743076324;27.2962970734;27.6359329224;26.4336738586;26.0425395966;25.9660873413;26.0790653229;27.6069889069;27.2219772339;27.0477390289;27.2758140564;26.0790653229;27.1226234436;27.6972522736;26.3326282501;26.6704597473;27.4983329773;27.4197063446
11;713.0;12.0;1951.0;15.0;297.456634521;297.228485107;299.894683838;297.456634521;298.460144043;298.028778076;296.361083984;298.219421387;299.460388184;297.228485107;298.333129883;298.22543335;299.894683838;298.920684814;298.813354492;297.987915039;299.637145996;298.030609131;297.456634521;297.228485107;299.894683838;25.4707603455;25.7947540283;25.780046463;25.0573253632;24.6819458008;24.5959281921;24.7341213226;25.58385849;25.1626701355;26.121307373;25.3033714294;24.7341213226;25.8156051636;25.7912254333;24.523147583;26.7432765961;25.8791904449;25.8527107239
12;744.0;1.0;1952.0;15.0;297.62588501;296.400665283;300.075317383;297.62588501;298.327056885;298.139801025;295.20513916;297.018493652;298.545349121;296.400665283;297.48449707;297.89251709;300.075317383;298.525421143;298.335906982;297.552642822;299.374603271;297.821685791;297.62588501;296.400665283;300.075317383;24.6402606964;25.1663970947;24.8961277008;25.0070323944;24.8129673004;24.575044632;24.7771930695;24.6120853424;24.4347553253;25.8394184113;24.6281661987;24.7771930695;25.3852920532;24.7557849884;23.9215450287;26.9237422943;24.9802970886;25.0771694183
13;775.0;2.0;1952.0;15.0;298.959777832;297.113311768;301.882202148;298.959777832;299.923126221;299.972473145;295.424407959;299.038024902;300.895385742;297.113311768;299.207977295;299.249450684;301.882202148;300.487182617;300.16986084;298.919616699;301.420532227;298.75869751;298.959777832;297.113311768;301.882202148;26.5328617096;27.1096801758;26.9521465302;26.7719917297;26.4736347198;25.7101249695;26.2510967255;26.6585102081;26.1049175262;27.7627754211;26.3761329651;26.2510967255;27.1425037384;26.9683570862;24.9279975891;28.7300109863;27.0143795013;27.0938892365
14;804.0;3.0;1952.0;15.0;300.905944824;298.912261963;303.776885986;300.905944824;301.516326904;302.495544434;297.178283691;302.300476074;303.846466064;298.912261963;301.751190186;300.921783447;303.776885986;302.597167969;302.56362915;300.807342529;303.852935791;299.75668335;300.905944824;298.912261963;303.776885986;29.1448669434;29.6295604706;29.7130508423;29.0221481323;28.7969093323;27.178861618;28.2319297791;29.5588054657;28.4654178619;29.9936580658;28.7249469757;28.2319297791;29.423248291;30.0515861511;26.6686229706;30.624584198;29.7441825867;29.6721496582
