index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;300.047088623;297.23324585;302.828125;300.047088623;300.325195312;301.360961914;295.578063965;299.956756592;302.28805542;297.23324585;299.904052734;299.430267334;302.828125;301.352935791;301.152557373;299.327301025;302.746612549;299.057678223;300.047088623;297.23324585;302.828125;27.4281368256;28.1303577423;28.017364502;27.9126548767;27.757686615;26.3999576569;27.2801856995;27.6834468842;26.7376880646;28.8165836334;27.0853767395;27.2801856995;27.9395446777;28.1629505157;25.0815849304;29.6758670807;28.1616744995;28.1727256775
2;438.0;3.0;1951.0;15.0;301.722412109;299.938354492;303.938415527;301.722412109;302.578735352;303.274963379;297.611602783;302.640625;304.274017334;299.938354492;302.530395508;301.942657471;303.938415527;303.538513184;303.174713135;301.961364746;304.340301514;300.532012939;301.722412109;299.938354492;303.938415527;29.753370285;30.2279472351;30.3051109314;29.8655109406;29.5891857147;27.9753932953;29.0197792053;30.0808525085;29.2872200012;30.6607131958;29.592048645;29.0197792053;29.9513263702;30.4414348602;27.6659679413;30.7857837677;30.286108017;30.3116512299
3;469.0;4.0;1951.0;15.0;301.84954834;298.067993164;305.363525391;301.84954834;301.46395874;303.848327637;296.74609375;300.664550781;303.691375732;298.067993164;300.487640381;300.735137939;305.363525391;302.629547119;302.674530029;300.011016846;304.919219971;300.3699646;301.84954834;298.067993164;305.363525391;28.3938961029;29.4780540466;29.0383415222;29.8286457062;30.0080890656;27.9569740295;29.2890853882;28.6189403534;27.4362239838;30.6629505157;27.8756580353;29.2890853882;29.3183727264;29.2771759033;26.1608543396;32.2102165222;29.4558982849;29.4634284973
4;499.0;5.0;1951.0;15.0;302.322021484;297.856689453;305.503173828;302.322021484;301.829620361;304.36920166;296.089569092;302.318054199;305.800262451;297.856689453;301.461853027;300.741424561;305.503173828;303.538238525;303.612976074;300.523986816;305.996582031;299.714691162;302.322021484;297.856689453;305.503173828;29.6755886078;30.6698570251;30.6147537231;30.472360611;30.5118331909;27.8605556488;29.492143631;30.2173461914;28.268863678;31.5421562195;28.7778129578;29.492143631;29.9532413483;31.1971073151;26.0386104584;32.3498191833;31.1178760529;30.9412784576
5;530.0;6.0;1951.0;15.0;301.795684814;301.324188232;302.971496582;301.795684814;302.764801025;302.584503174;299.706085205;305.644348145;306.246795654;301.324188232;304.202423096;302.32699585;302.971496582;303.888977051;304.022247314;303.029998779;304.530181885;300.885375977;301.795684814;301.324188232;302.971496582;31.5869083405;31.459072113;32.1379203796;29.7060031891;29.1624965668;28.1892223358;28.7939739227;32.2385826111;30.7054290771;30.8979949951;30.8294410706;28.7939739227;30.5516872406;32.8489151001;28.5989742279;29.8189430237;32.1478004456;31.8030128479
6;560.0;7.0;1951.0;15.0;300.519012451;300.427612305;300.950531006;300.519012451;301.424804688;300.895080566;299.946380615;302.674194336;303.523529053;300.427612305;301.904602051;301.182739258;300.950531006;301.987762451;301.902374268;301.383514404;302.159240723;300.219665527;300.519012451;300.427612305;300.950531006;29.2329330444;29.1351585388;29.6135921478;28.0365638733;27.6154823303;27.2199249268;27.4748420715;29.5902862549;28.6282253265;28.8180847168;28.7156429291;27.4748420715;28.3657646179;30.0209560394;27.6260089874;27.7988376617;29.7769889832;29.5469818115
7;591.0;8.0;1951.0;15.0;300.687316895;300.706298828;299.824493408;300.687316895;301.071136475;300.81539917;300.531494141;302.975952148;302.975097656;300.706298828;302.080566406;300.904937744;299.824493408;301.677520752;301.598693848;301.401123047;301.398040771;300.35269165;300.687316895;300.706298828;299.824493408;29.1687850952;28.8459033966;29.4054584503;27.9335975647;27.621263504;27.3694286346;27.5129795074;29.5225219727;28.7195720673;28.2181873322;28.7397632599;27.5129795074;28.0134124756;29.8275203705;27.6502151489;26.6735439301;29.3884773254;29.177728653
8;622.0;9.0;1951.0;15.0;300.810302734;301.602722168;300.723693848;300.810302734;301.294952393;301.108123779;300.936584473;304.216827393;303.04675293;301.602722168;302.98614502;301.336608887;300.723693848;301.675567627;302.045257568;302.084564209;301.496154785;300.42175293;300.810302734;301.602722168;300.723693848;29.7698745728;29.2510986328;29.8687572479;28.0855751038;27.8554840088;27.4653644562;27.7048072815;30.2008800507;29.4940643311;28.3440303802;29.3689403534;27.7048072815;28.916015625;30.3887519836;28.3002700806;27.5713844299;29.6189727783;29.350725174
9;652.0;10.0;1951.0;15.0;302.638183594;302.331298828;302.439758301;302.638183594;302.828277588;302.826385498;301.435333252;305.336242676;305.138244629;302.331298828;304.221801758;302.574615479;302.439758301;303.35848999;303.676361084;303.144714355;303.50958252;301.917999268;302.638183594;302.331298828;302.439758301;31.2740478516;30.9198951721;31.5581264496;29.8167152405;29.6111526489;29.1253223419;29.392829895;31.7327327728;30.7668609619;30.180934906;30.707567215;29.392829895;30.3464298248;32.0733146667;29.2649021149;29.2871227264;31.4473400116;31.1438598633
10;683.0;11.0;1951.0;15.0;300.014312744;299.24130249;301.104431152;300.014312744;300.080810547;300.582946777;298.318481445;301.053436279;301.692108154;299.24130249;300.946960449;299.66204834;301.104431152;300.751312256;300.866607666;300.218444824;301.269165039;299.359985352;300.014312744;299.24130249;301.104431152;27.8296203613;27.8972759247;28.1912155151;27.3623275757;27.2365665436;26.5346221924;26.9713687897;28.1117858887;27.5880832672;27.766828537;27.656835556;26.9713687897;27.8591785431;28.274728775;26.2597198486;27.9524974823;28.0687141418;27.9542160034
11;713.0;12.0;1951.0;15.0;298.207672119;296.957946777;300.22567749;298.207672119;298.915252686;298.771453857;295.559875488;299.061828613;300.361541748;296.957946777;299.01751709;298.11114502;300.22567749;299.562103271;299.392181396;298.424804688;300.287078857;297.49407959;298.207672119;296.957946777;300.22567749;26.1292495728;26.4492206573;26.5784721375;25.7666549683;25.4269809723;24.6979312897;25.1469154358;26.3944587708;25.7745246887;26.6742191315;25.9458465576;25.1469154358;26.3553066254;26.6675872803;24.3075084686;27.0738964081;26.5539131165;26.5192260742
12;744.0;1.0;1952.0;15.0;298.259765625;297.453338623;299.23348999;298.259765625;298.956817627;298.205841064;295.969299316;297.366546631;298.387573242;297.453338623;297.995941162;298.606048584;299.23348999;298.797180176;298.412261963;298.316314697;298.920715332;298.498718262;298.259765625;297.453338623;299.23348999;24.9422225952;25.2421207428;25.0527000427;25.2718009949;25.0748806;25.2304592133;25.1458969116;24.8213024139;24.9726829529;25.7189292908;25.103012085;25.1458969116;25.3478965759;24.8091335297;24.795747757;26.0828876495;25.0556049347;25.2002182007
