index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;298.265533447;295.810943604;300.102478027;298.265533447;298.337402344;299.140899658;294.72164917;295.695404053;297.562652588;295.810943604;296.481231689;297.860687256;300.102478027;298.341766357;297.931365967;296.970367432;299.144714355;297.828094482;298.265533447;295.810943604;300.102478027;23.7388954163;24.5200576782;23.9043598175;25.5187492371;25.6890792847;24.8974590302;25.429063797;23.5289344788;23.6236457825;25.6580905914;23.9016113281;25.429063797;24.8012580872;23.6305751801;23.6058864594;26.94962883;24.0727729797;24.3473758698
2;438.0;3.0;1951.0;15.0;299.459686279;296.44921875;301.874908447;299.459686279;299.851501465;300.906463623;294.978820801;298.49432373;301.169525146;296.44921875;298.719573975;299.020263672;301.874908447;300.712799072;300.256835938;298.470977783;301.975616455;298.581787109;299.459686279;296.44921875;301.874908447;26.3215961456;27.1594562531;26.8692207336;27.3642978668;27.2573451996;25.8694458008;26.786523819;26.4487075806;25.6936187744;28.1297206879;26.0911178589;26.786523819;26.8504810333;26.90092659;24.4869213104;28.7218666077;27.107635498;27.2201156616
3;469.0;4.0;1951.0;15.0;301.127685547;297.033874512;305.209106445;301.127685547;301.022705078;303.591033936;295.091918945;302.037597656;305.46383667;297.033874512;301.081329346;299.870147705;305.209106445;302.977142334;303.132476807;299.815155029;305.693878174;298.833648682;301.127685547;297.033874512;305.209106445;29.2462291718;30.2678050995;30.256275177;29.6750965118;29.5905227661;26.8251399994;28.582036972;29.8802509308;27.7980613708;31.0951633453;28.3077354431;28.582036972;29.6063556671;30.8835735321;25.1858558655;32.0557365417;30.6873207092;30.4786529541
4;499.0;5.0;1951.0;15.0;301.229400635;298.229492188;305.623931885;301.229400635;301.269256592;303.729858398;296.464202881;303.123321533;305.526519775;298.229492188;301.825561523;300.46987915;305.623931885;303.070831299;303.535766602;300.62600708;305.840423584;299.113189697;301.229400635;298.229492188;305.623931885;29.7921733856;30.6603336334;30.6403465271;29.7895488739;29.716588974;27.0167484283;28.7481193542;30.4585323334;28.4688148499;31.2882785797;28.881483078;28.7481193542;30.2175655365;31.3753204346;26.1013641357;32.469455719;30.9692726135;30.7142715454
5;530.0;6.0;1951.0;15.0;301.642028809;299.388580322;302.850494385;301.642028809;301.510375977;302.54473877;298.320098877;302.686218262;304.948883057;299.388580322;301.721191406;300.816314697;302.850494385;302.863525391;302.871612549;301.024780273;304.396820068;300.013214111;301.642028809;299.388580322;302.850494385;29.5965099335;30.093963623;30.2845420837;29.3019752502;29.0825214386;27.6733646393;28.5090312958;30.0798473358;28.4654178619;30.378446579;28.8066425323;28.5090312958;29.0290298462;30.8558635712;26.8913555145;29.696893692;30.7267932892;30.4801063538
6;560.0;7.0;1951.0;15.0;300.650299072;299.91229248;300.430725098;300.650299072;301.697296143;300.544372559;299.217376709;302.470672607;303.336975098;299.91229248;301.785003662;300.968048096;300.430725098;302.218597412;301.63482666;301.240997314;301.599365234;299.970001221;300.650299072;299.91229248;300.430725098;29.0852298737;28.8946647644;29.4583415985;27.9950084686;27.4310092926;27.1581401825;27.2723674774;29.4215164185;28.5653419495;28.4959163666;28.6897926331;27.2723674774;28.0833625793;29.8269004822;27.2473545074;27.2782535553;29.5267791748;29.4143886566
7;591.0;8.0;1951.0;15.0;299.234893799;299.837402344;298.620849609;299.234893799;300.187011719;298.965515137;299.530456543;302.095367432;301.70098877;299.837402344;301.266174316;300.164001465;298.620849609;300.401092529;300.342773438;300.499664307;299.66607666;299.359436035;299.234893799;299.837402344;298.620849609;28.1739730835;27.6105003357;28.3472976685;26.3701763153;25.9086799622;26.14868927;25.9865055084;28.5131950378;27.8885040283;26.7348918915;27.7871742249;25.9865055084;27.0406990051;28.7177085876;26.8358631134;25.4687232971;28.1922607422;27.9610691071
8;622.0;9.0;1951.0;15.0;299.391204834;299.879638672;299.126190186;299.391204834;300.033905029;299.360351562;299.306549072;302.328399658;302.465942383;299.879638672;301.472473145;300.077423096;299.126190186;300.49130249;300.725463867;300.568603516;300.324157715;299.429901123;299.391204834;299.879638672;299.126190186;28.5191802979;28.0284290314;28.8502674103;26.6062335968;26.2211494446;26.2612056732;26.2364349365;28.9417572021;28.0222969055;27.153011322;27.9453830719;26.2364349365;27.3683738708;29.2606716156;26.8051490784;25.9741001129;28.8182029724;28.4559249878
9;652.0;10.0;1951.0;15.0;300.342376709;300.595214844;298.557525635;300.342376709;300.821105957;299.659973145;300.058898926;302.920562744;302.352600098;300.595214844;301.594696045;300.83001709;298.557525635;300.754608154;300.904052734;300.434875488;300.265228271;300.440155029;300.342376709;300.595214844;298.557525635;28.7737846375;28.1913700104;28.8486118317;27.0412425995;26.7453250885;27.2413425446;26.8854732513;29.104675293;28.277135849;27.3018913269;28.0794963837;26.8854732513;27.2115573883;29.4433898926;27.5326728821;25.405796051;28.8646888733;28.5561408997
10;683.0;11.0;1951.0;15.0;299.020782471;299.330871582;298.916534424;299.020782471;300.019256592;299.007873535;298.848571777;300.081573486;300.5987854;299.330871582;300.160644531;299.98336792;298.916534424;300.162353516;299.873321533;299.851898193;299.996643066;299.481750488;299.020782471;299.330871582;298.916534424;27.0481452942;26.9851398468;27.2425556183;26.2582874298;25.8625850677;26.1035652161;25.9842529297;27.1569328308;26.9575843811;26.8746814728;26.9740829468;25.9842529297;26.5043830872;27.2326278687;26.4768791199;25.7649364471;27.2035961151;27.1563816071
11;713.0;12.0;1951.0;15.0;297.504425049;297.455474854;298.933227539;297.504425049;298.737792969;297.580841064;296.406646729;298.248413086;299.403106689;297.455474854;298.555633545;298.533691406;298.933227539;299.003295898;298.711090088;298.459594727;299.380371094;298.044311523;297.504425049;297.455474854;298.933227539;25.5623664856;25.7821731567;25.8535919189;24.9035243988;24.4049263;24.6265239716;24.5318012238;25.6448764801;25.3906955719;26.0246219635;25.5153770447;24.5318012238;25.557138443;25.7693309784;24.7827796936;25.7821788788;25.8760719299;25.8700904846
12;744.0;1.0;1952.0;15.0;297.95880127;296.822357178;300.439880371;297.95880127;298.758544922;298.434387207;295.683654785;296.967987061;298.749816895;296.822357178;297.65914917;298.334869385;300.439880371;298.847900391;298.593566895;297.942352295;299.674926758;298.121398926;297.95880127;296.822357178;300.439880371;24.8108844757;25.3871421814;25.0864696503;25.3198776245;25.1208209991;24.8913497925;25.0828208923;24.7357711792;24.6613445282;26.1689987183;24.8686599731;25.0828208923;25.6374835968;24.8531627655;24.3553371429;27.2890014648;25.2263507843;25.3419113159
13;775.0;2.0;1952.0;15.0;297.927642822;296.764282227;299.874755859;297.927642822;298.58026123;298.918060303;296.151580811;297.040130615;298.648803711;296.764282227;297.533233643;298.151885986;299.874755859;298.829162598;298.468048096;297.688262939;299.444122314;297.608306885;297.927642822;296.764282227;299.874755859;24.6967487335;25.2460327148;24.9752979279;25.5142211914;25.4266586304;24.6196956635;25.1780033112;24.6759414673;24.5412998199;25.984128952;24.7594070435;25.1780033112;25.3342113495;24.825969696;24.2620353699;26.7221508026;25.1343917847;25.2681007385
14;804.0;3.0;1952.0;15.0;300.035125732;298.299285889;302.438079834;300.035125732;300.446136475;301.505767822;296.845031738;300.205078125;302.233581543;298.299285889;300.213592529;299.97555542;302.438079834;301.303833008;301.234436035;299.810455322;302.623138428;299.17401123;300.035125732;298.299285889;302.438079834;27.5949821472;28.1944179535;28.1358356476;27.9547786713;27.8483181;26.4535121918;27.3781204224;27.8381195068;27.0369510651;28.7958812714;27.3186702728;27.3781204224;27.9672241211;28.2359790802;25.9048442841;29.2856006622;28.3237457275;28.2828674316
15;835.0;4.0;1952.0;15.0;301.565948486;299.171386719;303.588806152;301.565948486;301.365509033;303.047393799;297.636322021;301.952392578;304.102722168;299.171386719;301.241851807;300.81729126;303.588806152;302.172821045;302.551727295;300.29498291;303.998321533;300.002502441;301.565948486;299.171386719;303.588806152;28.9932174683;29.5447559357;29.6118297577;29.2626075745;29.3858375549;27.6307201385;28.731967926;29.3899707794;28.0431003571;29.9922161102;28.2419929504;28.731967926;29.0461578369;30.0561695099;26.7575149536;30.4354019165;30.0015258789;29.7631721497
16;865.0;5.0;1952.0;15.0;302.264831543;299.044403076;304.74118042;302.264831543;302.298919678;303.698974609;297.21697998;304.161315918;306.54989624;299.044403076;302.787261963;301.606292725;304.74118042;303.837982178;304.080352783;301.554473877;305.794219971;300.615081787;302.264831543;299.044403076;304.74118042;30.8364105225;31.3596839905;31.6345767975;30.2738456726;30.0534172058;28.2856731415;29.3851013184;31.4648857117;29.4373435974;31.5907020569;29.784702301;29.3851013184;30.4304447174;32.4048881531;27.0683002472;31.5879020691;31.9523448944;31.6438674927
17;896.0;6.0;1952.0;15.0;300.758972168;300.821807861;301.764404297;300.758972168;301.996002197;301.088592529;299.558837891;304.912841797;304.928741455;300.821807861;303.263061523;302.026092529;301.764404297;302.522155762;302.939239502;302.316497803;303.150787354;300.711975098;300.758972168;300.821807861;301.764404297;30.662399292;30.3652000427;30.9979972839;28.3569164276;27.82462883;27.5871315002;27.7575054169;31.212015152;29.8120288849;29.6819953918;29.7977867126;27.7575054169;29.5037479401;31.7772083282;28.2076587677;28.61170578;30.987279892;30.5911540985
18;926.0;7.0;1952.0;15.0;299.672821045;301.230133057;300.0831604;299.672821045;300.801757812;299.487335205;300.680541992;303.17880249;302.736938477;301.230133057;302.254272461;301.220458984;300.0831604;300.903564453;301.306732178;301.675048828;300.677642822;299.930755615;299.672821045;301.230133057;300.0831604;29.1522903442;28.5615100861;29.3614940643;26.8658275604;26.4013500214;26.6546669006;26.5000400543;29.5472717285;28.8142414093;27.6325340271;28.6633262634;26.5000400543;28.2217845917;29.7751731873;28.0552082062;26.931350708;29.297504425;28.9185676575
19;957.0;8.0;1952.0;15.0;299.635894775;300.564727783;299.486999512;299.635894775;300.436462402;299.509796143;300.656951904;302.226898193;301.539001465;300.564727783;301.347259521;300.559753418;299.486999512;300.633026123;300.692199707;300.790679932;300.312072754;299.683654785;299.635894775;300.564727783;299.486999512;28.2326145172;27.8567733765;28.2996959686;26.7746486664;26.4033603668;26.5110492706;26.4372959137;28.515291214;28.0218009949;27.252286911;27.9350891113;26.4372959137;27.4408912659;28.6787624359;27.4191112518;26.3345146179;28.2019386292;28.025390625
