index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;298.729705811;296.402526855;300.253723145;298.729705811;298.905944824;298.74786377;295.55859375;296.950469971;299.037658691;296.402526855;297.41116333;298.327362061;300.253723145;299.042236328;298.663909912;297.512268066;299.813262939;298.401031494;298.729705811;296.402526855;300.253723145;24.8387947083;25.4606933594;25.1239852905;25.6960487366;25.5917243958;25.4144020081;25.5037746429;24.7588443756;24.4883270264;26.3023586273;24.7234077454;25.5037746429;25.4155769348;25.0145244598;24.1486930847;27.1014099121;25.3780288696;25.5044460297
2;438.0;3.0;1951.0;15.0;301.20880127;298.760620117;302.941345215;301.20880127;301.352233887;301.981628418;297.217346191;300.441101074;302.884643555;298.760620117;300.632720947;300.765258789;302.941345215;302.121063232;301.840393066;300.323486328;303.337615967;300.09979248;301.20880127;298.760620117;302.941345215;28.1206569672;28.7985439301;28.6777153015;28.7060585022;28.5646705627;27.5018100739;28.1478729248;28.2954235077;27.5410785675;29.5508041382;27.8584728241;28.1478729248;28.4203681946;28.7130184174;26.5199604034;29.7886219025;28.9377784729;28.9467792511
3;469.0;4.0;1951.0;15.0;301.632141113;297.164550781;304.802825928;301.632141113;301.083435059;303.172149658;295.713500977;300.757537842;304.180847168;297.164550781;300.222106934;300.02255249;304.802825928;302.587463379;302.53918457;299.38381958;305.076782227;299.730712891;301.632141113;297.164550781;304.802825928;28.3849620819;29.5156955719;29.1729164124;29.475112915;29.4899654388;27.5267391205;28.7389717102;28.7423801422;27.1339607239;30.6517524719;27.6293964386;28.7389717102;28.9322299957;29.6013278961;25.3444519043;31.6492404938;29.6767730713;29.6203327179
4;499.0;5.0;1951.0;15.0;301.25692749;297.364379883;304.72946167;301.25692749;300.855651855;303.136291504;295.478759766;303.284545898;305.941619873;297.364379883;301.68963623;299.737091064;304.72946167;303.003875732;303.324798584;299.959686279;305.582977295;298.9140625;301.25692749;297.364379883;304.72946167;29.8428077698;30.610534668;30.7961807251;29.5183029175;29.337141037;26.9299507141;28.4146232605;30.6159667969;28.2657146454;31.0010681152;28.7025909424;28.4146232605;29.7732982635;31.6843070984;25.2960910797;31.5758457184;31.1373977661;30.8251667023
5;530.0;6.0;1951.0;15.0;301.104522705;300.27053833;302.064971924;301.104522705;302.104217529;301.637054443;298.591522217;303.628082275;304.788238525;300.27053833;302.761657715;301.647613525;302.064971924;302.97668457;302.78036499;302.121398926;303.184112549;300.255310059;301.104522705;300.27053833;302.064971924;30.1538505554;30.0920352936;30.687538147;28.8283939362;28.303276062;27.5299720764;27.9942455292;30.6314601898;29.4095134735;29.7506866455;29.5961914062;27.9942455292;29.3276500702;31.1561450958;27.7225379944;28.9115276337;30.7668190002;30.5367584229
6;560.0;7.0;1951.0;15.0;299.501342773;300.678405762;299.391235352;299.501342773;300.803985596;299.357177734;300.467651367;302.571838379;302.440734863;300.678405762;301.7550354;300.87298584;299.391235352;301.156738281;300.971984863;301.026153564;300.525512695;299.190246582;299.501342773;300.678405762;299.391235352;28.6945304871;28.2495479584;28.9697914124;26.8593158722;26.2571697235;26.1985225677;26.2021617889;29.0960178375;28.4106769562;27.5415267944;28.3550033569;26.2021617889;27.6444969177;29.3483715057;27.6163578033;26.2389163971;28.9515247345;28.7197799683
7;591.0;8.0;1951.0;15.0;299.506744385;300.021026611;298.932800293;299.506744385;300.31036377;299.287536621;300.406707764;302.099700928;301.585540771;300.021026611;301.090789795;300.323425293;298.932800293;300.518798828;300.427001953;300.360656738;299.847930908;299.3934021;299.506744385;300.021026611;298.932800293;28.0953407288;27.6244983673;28.2047119141;26.6109104156;26.2132892609;26.3009376526;26.2211589813;28.4118404388;27.789478302;26.8989887238;27.6983585358;26.2211589813;27.064207077;28.6536254883;27.0375423431;25.7806167603;28.1352996826;27.9472885132
8;622.0;9.0;1951.0;15.0;298.113067627;299.510284424;298.017883301;298.113067627;299.128845215;298.075317383;299.770721436;301.265655518;300.654510498;299.510284424;300.251037598;299.296936035;298.017883301;299.256164551;299.489929199;299.423492432;299.062652588;298.198242188;298.113067627;299.510284424;298.017883301;27.1743011475;26.717092514;27.3174247742;25.3401031494;24.9386901855;25.0078258514;24.9676780701;27.5391693115;26.8940639496;25.9750823975;26.731180191;24.9676780701;26.1944351196;27.7634487152;26.2709655762;24.8656673431;27.2858695984;26.9965133667
9;652.0;10.0;1951.0;15.0;299.888122559;300.366821289;300.268096924;299.888122559;300.96963501;299.788116455;299.812805176;302.862060547;302.862731934;300.366821289;301.953460693;300.756561279;300.268096924;301.253082275;301.390441895;301.074615479;301.31036377;299.678497314;299.888122559;300.366821289;300.268096924;28.9962081909;28.6785297394;29.2868442535;27.1647529602;26.6728973389;26.6328659058;26.6352939606;29.4059104919;28.5847263336;28.064447403;28.507106781;26.6352939606;28.1180877686;29.7159233093;27.3853378296;27.1159706116;29.2325763702;28.955411911
10;683.0;11.0;1951.0;15.0;299.83404541;299.348449707;299.999053955;299.83404541;299.962188721;300.107116699;299.245147705;301.032592773;301.448425293;299.348449707;300.55758667;299.813659668;299.999053955;300.342834473;300.490386963;299.591491699;300.618560791;299.799438477;299.83404541;299.348449707;299.999053955;27.6411514282;27.5551586151;27.8808193207;26.9768257141;26.8627872467;26.6668987274;26.808057785;27.8823070526;27.2749576569;27.2843036652;27.2359962463;26.808057785;27.1798706055;28.1267032623;26.4207496643;26.8471794128;27.8944416046;27.7228908539
11;713.0;12.0;1951.0;15.0;296.478607178;295.724029541;297.999572754;296.478607178;296.398498535;296.756866455;296.172637939;296.829345703;297.447143555;295.724029541;296.60836792;296.19052124;297.999572754;296.536529541;296.975158691;295.638946533;297.445098877;296.553253174;296.478607178;295.724029541;297.999572754;23.7000293732;23.8519706726;23.9040756226;23.468252182;23.5109195709;23.3677082062;23.4843139648;23.8424358368;23.4129657745;23.9239864349;23.3263759613;23.4843139648;24.023349762;24.0397052765;22.819562912;24.8480415344;23.9656867981;23.824010849
12;744.0;1.0;1952.0;15.0;296.746276855;295.19644165;299.135681152;296.746276855;296.311431885;297.325500488;294.713653564;296.548828125;297.741394043;295.19644165;296.51184082;295.966827393;299.135681152;296.526275635;297.235839844;295.780548096;298.125762939;296.408416748;296.746276855;295.19644165;299.135681152;23.6915416718;24.047454834;24.0141334534;23.7694416046;23.975566864;23.4271183014;23.7911548615;23.8442783356;23.2890987396;24.3306674957;23.2808094025;23.7911548615;24.4270172119;24.0926418304;22.4014358521;25.9843997955;24.1005897522;23.9234600067
