index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;298.842376709;296.391723633;301.157714844;298.842376709;299.127929688;299.703796387;295.084777832;297.503540039;299.64465332;296.391723633;297.907073975;298.459259033;301.157714844;299.541748047;299.23651123;297.923065186;300.610534668;298.276824951;298.842376709;296.391723633;301.157714844;25.3093280792;26.0304031372;25.678106308;26.3043060303;26.2567043304;25.4088745117;25.9654960632;25.3125152588;24.9145202637;26.9332275391;25.2095432281;25.9654960632;26.076166153;25.5986690521;24.1886978149;28.0050811768;25.8655738831;25.9950656891
2;438.0;3.0;1951.0;15.0;300.783660889;298.242889404;303.259094238;300.783660889;301.228668213;302.218414307;296.33694458;300.766296387;303.019470215;298.242889404;300.760559082;300.479125977;303.259094238;302.207824707;301.91784668;300.26361084;303.463043213;299.60357666;300.783660889;298.242889404;303.259094238;28.2180194855;28.9034671783;28.808801651;28.7416152954;28.5732364655;27.0411834717;28.0262889862;28.4801750183;27.6025543213;29.6066169739;27.9522857666;28.0262889862;28.6245937347;28.9276447296;26.1005363464;30.1063423157;28.9467029572;28.9747486115
3;469.0;4.0;1951.0;15.0;301.740447998;297.80581665;305.211517334;301.740447998;301.493743896;303.775177002;296.172241211;301.710632324;304.8019104;297.80581665;301.070739746;300.530151367;305.211517334;303.067687988;303.098815918;300.129486084;305.438873291;299.87701416;301.740447998;297.80581665;305.211517334;29.096786499;30.1059265137;29.9006614685;29.9237289429;29.9224777222;27.6544971466;29.0978736877;29.5323486328;27.8963394165;31.0533123016;28.363817215;29.0978736877;29.6019439697;30.3613643646;25.9146327972;32.0581932068;30.3018169403;30.2096443176
4;499.0;5.0;1951.0;15.0;301.588470459;298.308319092;305.072357178;301.588470459;301.483764648;303.654296875;296.623962402;303.39855957;305.996520996;298.308319092;302.049468994;300.648101807;305.072357178;303.294067383;303.640441895;300.69442749;305.734375;299.47076416;301.588470459;298.308319092;305.072357178;30.105840683;30.842540741;30.9947757721;29.9151535034;29.7908496857;27.3748531342;28.8952503204;30.7910919189;28.6896800995;31.2938842773;29.0870437622;28.8952503204;30.1267795563;31.7639026642;26.2315921783;31.9186687469;31.3639373779;31.0669536591
5;530.0;6.0;1951.0;15.0;301.261810303;300.292327881;302.390075684;301.261810303;301.853881836;301.996429443;299.105163574;303.739471436;304.917327881;300.292327881;302.639038086;301.465515137;302.390075684;302.870635986;302.931335449;301.845275879;303.639892578;300.278259277;301.261810303;300.292327881;302.390075684;30.1578063965;30.2215328217;30.6989345551;28.9820079803;28.592716217;27.6186676025;28.2147197723;30.6708030701;29.2783699036;29.9872684479;29.4611854553;28.2147197723;29.3875217438;31.2784538269;27.6671905518;29.2371273041;30.8757381439;30.59333992
6;560.0;7.0;1951.0;15.0;300.315368652;300.494598389;300.345794678;300.315368652;301.377258301;300.344512939;300.011688232;302.934326172;303.204681396;300.494598389;302.064300537;301.114898682;300.345794678;301.83883667;301.628601074;301.372955322;301.440612793;299.913726807;300.315368652;300.494598389;300.345794678;29.2075328827;28.8948383331;29.5197315216;27.7024097443;27.1845645905;26.9648685455;27.0760097504;29.594247818;28.7496585846;28.3187141418;28.7705936432;27.0760097504;28.2151756287;29.9445056915;27.6277351379;27.1937065125;29.5326938629;29.325761795
7;591.0;8.0;1951.0;15.0;299.864074707;300.325622559;299.327484131;299.864074707;300.65423584;299.761657715;300.231323242;302.64074707;302.270172119;300.325622559;301.700744629;300.608764648;299.327484131;301.036499023;300.956420898;300.932342529;300.453186035;299.778839111;299.864074707;300.325622559;299.327484131;28.6757698059;28.2073326111;28.8534355164;27.0735416412;26.6471195221;26.6721801758;26.6424732208;29.0304679871;28.3347549438;27.4348449707;28.2772789001;26.6424732208;27.5859050751;29.2774925232;27.3129482269;26.1755752563;28.7461662292;28.5352325439
8;622.0;9.0;1951.0;15.0;299.513763428;300.414489746;299.362426758;299.513763428;300.259246826;299.569152832;300.156707764;302.723632812;302.169891357;300.414489746;301.624298096;300.348876953;299.362426758;300.561126709;300.844238281;300.764587402;300.393768311;299.454864502;299.513763428;300.414489746;299.362426758;28.5836105347;28.0950679779;28.7649879456;26.7476882935;26.4002285004;26.3350944519;26.3758792877;28.9895610809;28.2024345398;27.2564754486;28.0805664062;26.3758792877;27.55493927;29.2544651031;27.2254676819;26.2101688385;28.6827583313;28.3708267212
9;652.0;10.0;1951.0;15.0;300.692657471;300.84866333;300.33215332;300.692657471;301.19039917;300.582855225;300.430938721;303.379638672;302.955444336;300.84866333;302.174682617;301.115142822;300.33215332;301.381774902;301.681182861;301.207183838;301.434753418;300.500701904;300.692657471;300.84866333;300.33215332;29.288433075;28.9086666107;29.4401912689;27.7325344086;27.4707069397;27.446018219;27.439414978;29.6598129272;28.8148460388;28.2221508026;28.6936531067;27.439414978;28.2759056091;29.9862613678;27.8114128113;27.1799507141;29.4003162384;29.1139698029
10;683.0;11.0;1951.0;15.0;299.441741943;299.309753418;299.960601807;299.441741943;299.922637939;299.761413574;298.756011963;300.711730957;301.176422119;299.309753418;300.561981201;299.793609619;299.960601807;300.396148682;300.355133057;299.877197266;300.549499512;299.492980957;299.441741943;299.309753418;299.960601807;27.4733028412;27.433467865;27.7376289368;26.7577838898;26.501127243;26.3177928925;26.4606895447;27.6895008087;27.2606487274;27.2433872223;27.2856826782;26.4606895447;27.1665153503;27.8328266144;26.3724918365;26.8087711334;27.666267395;27.5632953644
11;713.0;12.0;1951.0;15.0;297.411834717;296.841491699;299.263305664;297.411834717;298.127929688;297.784484863;296.125030518;298.089752197;299.168060303;296.841491699;298.128662109;297.765197754;299.263305664;298.505645752;298.472930908;297.627807617;299.187408447;297.530548096;297.411834717;296.841491699;299.263305664;25.2156028748;25.4695301056;25.5290489197;24.7989368439;24.506193161;24.322019577;24.4742870331;25.3664112091;24.9352149963;25.6860313416;25.0227432251;24.4742870331;25.4378509521;25.5669670105;24.1082496643;26.1118469238;25.5687198639;25.5165119171
12;744.0;1.0;1952.0;15.0;297.647674561;296.468200684;299.721099854;297.647674561;298.088470459;298.026367188;295.392944336;296.975463867;298.356048584;296.468200684;297.412872314;297.700073242;299.721099854;298.174194336;298.14440918;297.397979736;299.024017334;297.712585449;297.647674561;296.468200684;299.721099854;24.5212287903;24.9607791901;24.7623577118;24.8420372009;24.7460594177;24.5309963226;24.6992664337;24.5033588409;24.3394699097;25.514503479;24.470161438;24.6992664337;25.199420929;24.6276817322;23.8685207367;26.5700054169;24.840713501;24.8856906891
13;775.0;2.0;1952.0;15.0;299.221710205;297.473175049;301.426574707;299.221710205;299.812103271;300.155090332;295.93838501;298.913269043;300.612030029;297.473175049;299.165252686;299.22442627;301.426574707;300.178253174;300.01852417;299.004241943;301.092102051;298.737670898;299.221710205;297.473175049;301.426574707;26.4018917084;26.9064216614;26.7822761536;26.8025913239;26.6832790375;25.8290958405;26.4007968903;26.5010547638;26.0623970032;27.487154007;26.2752571106;26.4007968903;26.9326095581;26.7513504028;25.1081199646;28.2742290497;26.8553256989;26.8978939056
