index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
0;10606.0;1.0;1979.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;10637.0;2.0;1979.0;15.0;298.429260254;297.800018311;300.877624512;298.429260254;299.76852417;299.183410645;296.375610352;299.772491455;301.804779053;297.800018311;299.83190918;299.348236084;300.877624512;300.403900146;300.213165283;299.389373779;300.958648682;298.362976074;298.429260254;297.800018311;300.877624512;27.1312675476;27.3406829834;27.7289123535;26.2839488983;25.77409935;25.2462768555;25.6294136047;27.4234333038;26.5986785889;27.448764801;26.7873401642;25.6294136047;27.1057853699;27.8051681519;25.3438282013;27.7253036499;27.8825111389;27.7285671234
2;10665.0;3.0;1979.0;15.0;298.69744873;297.774902344;303.72857666;298.69744873;300.514038086;300.072479248;295.892669678;300.414215088;303.136749268;297.774902344;300.451751709;300.08782959;303.72857666;301.781402588;301.571563721;300.089813232;303.446014404;299.164886475;298.69744873;297.774902344;303.72857666;28.0033092499;28.7306957245;28.7263660431;27.2024536133;26.4498596191;25.7810611725;26.3374156952;28.3233394623;27.2186813354;29.4236946106;27.6265220642;26.3374156952;28.6322822571;28.8488349915;25.6729373932;30.5762500763;28.9515953064;28.8737735748
3;10696.0;4.0;1979.0;15.0;301.541442871;299.169799805;305.350219727;301.541442871;302.198303223;303.848144531;297.301147461;303.509552002;306.066711426;299.169799805;302.828948975;301.384307861;305.350219727;303.933654785;303.972259521;301.68560791;305.836761475;299.849700928;301.541442871;299.169799805;305.350219727;30.4903736115;31.1632575989;31.3969974518;30.2077484131;29.9021129608;27.541847229;29.0756168365;31.1121768951;29.4545536041;31.6034603119;29.8514938354;29.0756168365;30.7024803162;31.8495159149;27.0252246857;32.1973876953;31.5859413147;31.390619278
4;10726.0;5.0;1979.0;15.0;302.344512939;299.423736572;304.868652344;302.344512939;302.377655029;304.022491455;297.807159424;303.925231934;306.511077881;299.423736572;302.629272461;301.689849854;304.868652344;304.014099121;304.115234375;301.831604004;305.861175537;300.48034668;302.344512939;299.423736572;304.868652344;30.7377243042;31.3315410614;31.540769577;30.4920043945;30.2930679321;28.2573852539;29.5279197693;31.3321285248;29.3384189606;31.6796207428;29.7707614899;29.5279197693;30.3892707825;32.2843475342;27.3150730133;31.7153358459;31.9948482513;31.7194290161
5;10757.0;6.0;1979.0;15.0;301.353790283;300.90612793;301.683929443;301.353790283;301.832733154;301.719970703;300.279266357;304.541137695;305.193878174;300.90612793;303.11114502;301.548217773;301.683929443;302.765777588;302.967254639;301.932250977;303.146881104;300.626251221;301.353790283;300.90612793;301.683929443;30.5834445953;30.3337459564;31.0681400299;28.8475055695;28.4433822632;27.837972641;28.1932029724;31.1600418091;29.6783275604;29.6584644318;29.7297019958;28.1932029724;29.3817863464;31.7760810852;28.047082901;28.5314998627;31.2183818817;30.8260612488
6;10787.0;7.0;1979.0;15.0;300.393798828;300.697662354;300.974578857;300.393798828;301.353363037;300.32144165;300.251190186;303.190093994;303.605377197;300.697662354;302.473327637;301.177154541;300.974578857;302.016723633;301.92175293;301.489898682;301.765686035;300.216003418;300.393798828;300.697662354;300.974578857;29.5291919708;29.2061710358;29.923784256;27.7714958191;27.1965389252;27.1546878815;27.1625099182;29.9571895599;29.0780658722;28.562620163;29.0814971924;27.1625099182;28.7131252289;30.2840938568;27.7637729645;27.8225345612;29.8949260712;29.6427707672
7;10818.0;8.0;1979.0;15.0;300.020782471;300.555938721;299.861907959;300.020782471;300.968933105;299.900238037;300.348846436;302.725494385;302.662384033;300.555938721;301.804412842;300.895599365;299.861907959;301.188110352;301.220275879;301.386932373;300.785644531;299.959625244;300.020782471;300.555938721;299.861907959;28.9017887115;28.4589195251;29.1104621887;27.2205810547;26.792131424;26.8406066895;26.7965106964;29.2397460938;28.4758472443;27.730222702;28.434709549;26.7965106964;27.8643093109;29.5410995483;27.5662937164;26.7095813751;29.1075649261;28.8451957703
8;10849.0;9.0;1979.0;15.0;300.094329834;301.019592285;300.295379639;300.094329834;301.067138672;300.131622314;300.848876953;303.348052979;303.116577148;301.019592285;302.259399414;300.917785645;300.295379639;301.412811279;301.606994629;301.476989746;301.276306152;299.984069824;300.094329834;301.019592285;300.295379639;29.3181800842;28.8824291229;29.5653514862;27.4140071869;26.9691295624;26.8888206482;26.9339199066;29.7412376404;28.8688831329;28.094543457;28.7840652466;26.9339199066;28.3105373383;30.0663471222;27.8164978027;27.1426181793;29.5638904572;29.2447814941
9;10879.0;10.0;1979.0;15.0;300.534820557;301.310180664;300.883361816;300.534820557;301.668579102;300.571350098;301.05368042;303.710266113;303.82711792;301.310180664;302.698455811;301.721557617;300.883361816;302.027984619;302.152587891;302.087249756;301.851074219;300.669677734;300.534820557;301.310180664;300.883361816;29.8632030487;29.4415168762;30.1479549408;27.9143619537;27.4093112946;27.4529323578;27.4377403259;30.2633571625;29.331653595;28.7022285461;29.2912330627;27.4377403259;28.810218811;30.6313304901;28.3529510498;27.7308368683;30.1927833557;29.8701686859
