index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;530;6;1951;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;896;6;1952;15;107.762693045;39.0135865224;87.5933621364;37.0027183932;52.4444206616;41.2734953493;34.7763945595;42.2851456751;41.1995247161;123.068707245;40.5872257975;62.7539084134;38.0995963982;63.9448171582;126.25987376;107.762687683;34.7763938904;123.068702698;107.762687683;34.7763938904;123.068702698
2;1261;6;1953;15;258.215429411;204.108456102;207.814892062;116.141107922;46.4022890072;100.7269784;165.699536806;130.090865796;190.572522677;106.631129838;163.204048447;138.029839743;164.423319168;122.39135608;307.601609461;258.215423584;165.699539185;106.631126404;258.215423584;165.699539185;106.631126404
3;1626;6;1954;15;132.589864027;68.3133823622;118.956811583;72.2285404442;43.4646040878;68.3647923314;76.5991752222;63.4518207534;89.1387903574;107.450965921;67.8480222705;82.5218653995;98.3392595886;81.5639582751;167.34324328;132.589859009;76.5991744995;107.450965881;132.589859009;76.5991744995;107.450965881
4;1991;6;1955;15;83.2957016898;60.5882803499;93.5712645971;45.0638973446;55.4428036782;62.9682097094;51.48695919;50.5658257056;57.5260666061;157.535172155;51.4926116981;81.5903432022;56.7186884109;108.47091019;110.203882013;83.2957000732;51.4869613647;157.535171509;83.2957000732;51.4869613647;157.535171509
5;2357;6;1956;15;167.655104453;122.932427666;179.145127095;111.101620426;87.9010328784;168.14594074;102.577183264;168.429124135;132.018440829;210.075980281;182.683443394;161.155027583;123.560342228;172.48554605;198.196690729;167.655105591;102.577178955;210.075973511;167.655105591;102.577178955;210.075973511
6;2722;6;1957;15;146.863032013;120.537201526;158.704757118;99.8889426096;109.994932672;116.870243375;93.5702957644;110.379643196;105.030384981;115.290218648;150.688754815;116.15209608;93.1437162823;98.8824060906;129.736216888;146.863037109;93.5702972412;115.290214539;146.863037109;93.5702972412;115.290214539
7;3087;6;1958;15;158.753330283;90.1915081719;171.05131497;51.8929417805;62.2945011426;134.302404193;56.6404100843;99.4054094616;85.5824854413;123.495940867;183.503892027;129.842397468;98.4800337593;172.991557343;138.574755113;158.753326416;56.640411377;123.495941162;158.753326416;56.640411377;123.495941162
8;3452;6;1959;15;114.733820579;128.978728583;147.488993585;86.0278717579;64.5785976103;61.7289018945;82.7847427826;57.769796901;107.959851308;126.859840733;93.0628434295;90.8464940889;90.4449122291;89.2369881306;143.355469767;114.733818054;82.7847442627;126.859840393;114.733818054;82.7847442627;126.859840393
9;3818;6;1960;15;90.8158955042;73.8388320812;95.6917544776;40.3643056293;66.2024173055;109.373072803;43.6537695677;48.0680356691;64.4072378224;179.118627893;65.5253128403;100.416349129;48.4542445385;145.798806416;118.287589733;90.8158950806;43.6537704468;179.118621826;90.8158950806;43.6537704468;179.118621826
10;4183;6;1961;15;180.2342228;230.834269486;178.083551043;223.797651385;81.1921786032;126.472967086;259.800812838;116.039194378;298.834793984;235.265709301;205.617858922;171.049997241;316.01082153;171.87285989;207.335183644;180.234222412;259.800811768;235.265716553;180.234222412;259.800811768;235.265716553
11;4548;6;1962;15;81.2184361059;94.4639084363;89.2332617179;74.606933454;112.804319857;115.271500953;76.2046718329;61.4835552276;89.8707151967;117.908909786;96.9972551483;104.963694254;81.1983157687;140.480418525;82.2263962888;81.2184371948;76.2046737671;117.908912659;81.2184371948;76.2046737671;117.908912659
12;4913;6;1963;15;75.6923343473;42.0290018948;67.4305062052;46.6331534569;77.1709068309;138.717926316;43.7944419902;81.4708249982;46.1579431823;102.46147041;58.0258880708;94.632617431;45.6475359853;129.489038152;93.8923498297;75.6923370361;43.7944412231;102.461471558;75.6923370361;43.7944412231;102.461471558
13;5279;6;1964;15;76.2856582298;59.7858726863;112.207558644;51.3182341721;43.5260291789;59.6093238755;59.8262927471;49.4285229652;65.7801646057;114.19559165;57.0571676612;73.0608655428;53.4960354682;85.772567835;111.520655691;76.28565979;59.8262939453;114.195594788;76.28565979;59.8262939453;114.195594788
14;5644;6;1965;15;100.097727193;66.028815458;110.756125887;60.183183761;91.3854692937;117.590862045;68.6630711447;119.679455975;67.3073478918;111.8596792;103.998088766;109.200804196;75.4331983512;133.171856365;93.649442249;100.097724915;68.6630706787;111.859680176;100.097724915;68.6630706787;111.859680176
15;6009;6;1966;15;57.7636315143;74.7253261209;49.7913694016;64.7025916665;32.2323183836;94.4963493311;78.0439897385;91.2446810323;87.3295580566;66.7771845458;98.5216916953;75.8067506043;98.4789138892;80.148884996;78.5663878519;57.7636299133;78.0439910889;66.7771835327;57.7636299133;78.0439910889;66.7771835327
16;6374;6;1967;15;216.033917591;111.326409764;240.880643304;48.0544114709;68.713186782;120.797334937;56.131657438;148.782341752;98.250321477;181.343235486;168.152000521;151.651408671;95.7609754641;177.216929641;253.290665605;216.033920288;56.1316566467;181.343231201;216.033920288;56.1316566467;181.343231201
17;6740;6;1968;15;95.3147556778;53.0708255369;69.8044861696;39.3136986374;76.6633890138;99.0386469689;42.6314823338;59.1806048297;55.3132926004;82.8298118322;41.1196985785;75.5997664886;37.3624069298;86.2177134612;103.676002695;95.3147583008;42.6314811707;82.8298110962;95.3147583008;42.6314811707;82.8298110962
18;7105;6;1969;15;134.965872742;109.47791294;110.31645655;61.0626031388;59.5706518323;81.9866863975;61.0866529446;49.6333999727;97.9021317901;125.025166506;104.018314983;99.0076863182;60.0552982655;126.841779465;218.372213365;134.965866089;61.0866508484;125.025161743;134.965866089;61.0866508484;125.025161743
19;7470;6;1970;15;150.596641172;117.911375102;232.268360304;493.591529577;105.151434062;83.56144912;291.99067455;81.0656904995;147.223500928;204.181731705;142.628775111;144.108739513;190.521993761;160.637847655;102.633859132;150.59664917;291.990661621;204.181732178;150.59664917;291.990661621;204.181732178
20;7835;6;1971;15;125.571612573;113.625559036;131.812829884;107.865076067;70.2986824393;126.1957881;138.029576879;125.05769635;116.138430696;206.133947531;126.279479542;132.18575124;170.833864206;145.922125949;113.212696278;125.571609497;138.029571533;206.13394165;125.571609497;138.029571533;206.13394165
21;8201;6;1972;15;137.726962254;107.851885981;140.750532219;70.7099467074;49.5135345274;170.578854594;65.5943667227;65.451563074;96.1991912266;182.389726325;126.220514473;130.632701457;74.2006188828;173.63063443;178.605506448;137.726959229;65.594367981;182.389724731;137.726959229;65.594367981;182.389724731
22;8566;6;1973;15;104.565983834;41.9315264563;118.780947231;30.8722167145;35.1991446942;133.066200737;46.2762219416;75.5502697205;44.3639542339;87.4407936219;54.584270479;79.4098296677;56.5815682899;66.4032489387;116.696032039;104.565986633;46.276222229;87.4407958984;104.565986633;46.276222229;87.4407958984
23;8931;6;1974;15;86.4522360061;66.1110840308;69.7973885779;46.4547221069;35.1296635484;53.5973854208;46.8820560613;40.4693758482;74.4986554464;97.3245848244;53.1798403048;61.2769205933;54.6727679304;67.016167343;96.926494341;86.4522323608;46.8820571899;97.3245849609;86.4522323608;46.8820571899;97.3245849609
24;9296;6;1975;15;275.457351219;86.1230420792;214.686752467;100.73051526;80.1383203946;157.339200273;83.4658285653;119.077044169;85.2731161113;189.896114518;110.20712931;140.079540546;65.9281287169;116.762344158;301.807442413;275.457336426;83.4658279419;189.896118164;275.457336426;83.4658279419;189.896118164
25;9662;6;1976;15;64.4197913631;95.0048459496;166.961262454;121.238563971;67.9950028367;113.419549989;96.7041303267;87.8774792689;110.737250853;191.935857303;112.739154908;130.630710964;122.34390899;199.399642485;67.4623233732;64.4197921753;96.7041320801;191.935852051;64.4197921753;96.7041320801;191.935852051
26;10027;6;1977;15;128.423359499;250.102433265;226.361031107;102.353591934;47.7232069439;124.578881176;118.838106228;75.2920211662;209.281161496;338.679138516;212.720466594;166.925596641;121.856680753;219.123729626;99.834092862;128.423355103;118.838104248;338.679138184;128.423355103;118.838104248;338.679138184
