index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;530;6;1951;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;896;6;1952;15;69.7186485464;78.2442029967;169.738313561;108.126574723;385.467358974;435.995593496;120.130692539;229.999421963;103.866013362;248.982380059;124.130711869;259.820782883;120.027631232;308.030450262;154.258548844;69.7186508179;120.130691528;248.982376099;69.7186508179;120.130691528;248.982376099
2;1261;6;1953;15;173.371948665;119.766692718;195.548804803;58.6189870891;56.0113090724;97.1567329022;79.512891825;73.3698276968;121.875945418;235.74459326;113.724726643;125.61049846;84.677005374;144.55011796;166.584042655;173.371948242;79.5128936768;235.744598389;173.371948242;79.5128936768;235.744598389
3;1626;6;1954;15;165.537017006;123.033401192;170.082658505;58.0347605543;36.0555050769;106.63602943;73.2422401963;47.440883722;133.440258903;233.337857309;188.300487241;122.479994845;80.6153527977;143.054071677;128.115007424;165.537017822;73.2422409058;233.337860107;165.537017822;73.2422409058;233.337860107
4;1991;6;1955;15;193.498684706;151.37189682;208.764376502;177.579987045;36.9096517403;162.06550498;149.093743874;65.3104056396;156.389811409;228.275275737;133.802628117;156.919604199;106.988987662;210.299997457;271.315337881;193.498687744;149.09375;228.275283813;193.498687744;149.09375;228.275283813
5;2357;6;1956;15;77.6287014769;103.233897244;173.403266522;65.2336464114;118.35578552;102.327355094;75.1314691197;182.936168619;107.519653142;124.881827294;139.258917839;122.463831791;116.951089293;101.861940971;118.923905605;77.6287002563;75.1314697266;124.881828308;77.6287002563;75.1314697266;124.881828308
6;2722;6;1957;15;368.860140419;379.822792591;285.136011899;395.995199873;61.0218379661;121.339066686;294.598567218;97.2943171997;455.004414461;205.615087468;177.390681985;192.328276188;201.209829951;136.916395651;661.335804306;368.860137939;294.598571777;205.615081787;368.860137939;294.598571777;205.615081787
7;3087;6;1958;15;232.167892329;215.476327015;143.266684001;364.100536263;119.176162421;202.917513071;299.305631401;107.90758922;394.093455374;185.756789204;113.827638838;186.340002168;208.302737389;202.807092661;279.08222464;232.167892456;299.305633545;185.756790161;232.167892456;299.305633545;185.756790161
8;3452;6;1959;15;102.067509466;171.652114699;150.525848933;273.95963006;54.7605637042;77.6879243677;241.788463121;134.537961876;196.297418847;163.582589852;206.121986659;138.62009752;195.19030741;144.382424695;220.268083037;102.067512512;241.788467407;163.582595825;102.067512512;241.788467407;163.582595825
9;3818;6;1960;15;119.5838356;213.507542083;111.729854076;110.685443393;121.128454229;63.4692908081;108.114893432;72.7674633014;215.247294082;203.8435733;128.33708939;114.596483349;148.680285776;91.0933442956;166.8095285;119.583839417;108.114891052;203.843566895;119.583839417;108.114891052;203.843566895
10;4183;6;1961;15;101.495852225;175.86931815;137.150271649;211.376932559;88.5959744197;186.404493466;205.702319444;147.232072105;190.601140757;136.560012043;182.110545603;156.940641676;201.85142128;178.656230008;111.884008327;101.495849609;205.702316284;136.560012817;101.495849609;205.702316284;136.560012817
11;4548;6;1962;15;109.040825594;66.9005646271;264.105524239;17.4757154584;53.8727356833;106.780954463;32.0117289597;43.9850225145;61.8559298497;192.611519409;68.8627960427;115.583897544;43.0229895049;159.052673677;139.42561714;109.04082489;32.0117301941;192.61151123;109.04082489;32.0117301941;192.61151123
12;4913;6;1963;15;74.7960444274;45.5240705835;107.729035677;19.2233544252;153.96765659;70.013500047;24.3320691926;56.736585773;35.410735103;104.056584198;37.7925669368;82.2785618522;21.1251278223;94.2269619918;93.327969202;74.796043396;24.332069397;104.05657959;74.796043396;24.332069397;104.05657959
13;5279;6;1964;15;250.427792058;217.691685596;141.164807117;109.695130201;42.8293063816;92.5338127625;141.105862679;59.8053597644;304.891589323;198.06971741;113.100645687;132.327072645;103.306094546;98.7183867683;531.902407124;250.427780151;141.105865479;198.069717407;250.427780151;141.105865479;198.069717407
14;5644;6;1965;15;165.88718595;275.055369606;251.977182395;142.841789052;106.5720543;247.716669889;184.13040801;146.979755407;306.240464462;148.548579392;266.886046986;217.942771843;278.191304207;291.724737426;172.091490889;165.887191772;184.13041687;148.548583984;165.887191772;184.13041687;148.548583984
15;6009;6;1966;15;101.965112405;98.6452897916;239.080157332;113.724098756;223.688701416;172.637497414;89.1322868734;58.8789852026;110.619144898;234.040667749;105.964424204;167.739484692;83.4716776921;222.725510283;143.202319763;101.965110779;89.1322860718;234.040664673;101.965110779;89.1322860718;234.040664673
16;6374;6;1967;15;249.588097732;155.908510834;321.045271784;80.7781878215;182.683455206;441.273910738;112.213547787;85.9529520298;207.77593276;149.946244405;209.298675499;230.199728884;89.8737660606;259.256309451;178.895138706;249.588104248;112.213546753;149.946243286;249.588104248;112.213546753;149.946243286
17;6740;6;1968;15;42.0682573073;35.4584761804;112.74742845;5.18423444277;78.7132731902;83.7127538395;20.3363752295;85.5452918181;41.7832124747;217.750115173;204.658726946;108.801010335;139.017385763;134.522200992;42.9053842759;42.0682563782;20.3363761902;217.750106812;42.0682563782;20.3363761902;217.750106812
18;7105;6;1969;15;55.0481623777;75.8293774853;67.5571443745;69.2185629454;67.9511110115;113.847605349;78.7257510551;66.8861082757;91.6986698412;113.153159674;56.9787038844;98.4400358034;103.324476578;156.96639798;60.0686645639;55.0481643677;78.7257537842;113.153160095;55.0481643677;78.7257537842;113.153160095
19;7470;6;1970;15;64.4610066927;110.263261198;100.404855253;153.708861833;73.4341050265;128.346597163;156.72311278;217.273991005;127.743039201;213.725497066;188.718464769;145.463853215;201.166294643;149.310450048;79.8245984726;64.4610061646;156.723114014;213.725494385;64.4610061646;156.723114014;213.725494385
20;7835;6;1971;15;58.7821386693;47.4261081268;67.4130176504;11.848070366;43.5626097469;41.1004407141;25.8176919;45.4621592731;40.2576940237;302.697576697;36.6898601867;80.0503308126;48.0955417104;101.296993861;73.1456192844;58.7821388245;25.817691803;302.697570801;58.7821388245;25.817691803;302.697570801
21;8201;6;1972;15;147.787911918;101.799903425;471.987798906;56.0348618499;79.1313311251;86.2533201638;93.8773938297;66.361044113;134.775367602;137.689267053;76.4429053191;152.684848975;128.045417497;234.90915414;98.9437283471;147.787918091;93.8773956299;137.68927002;147.787918091;93.8773956299;137.68927002
22;8566;6;1973;15;112.979147653;170.11905793;154.150995278;86.0861448878;482.347573948;254.061506885;91.0615690111;146.434127919;159.641437089;242.162140212;197.220401073;202.810817713;54.3932111682;147.364205683;118.856995415;112.979148865;91.0615692139;242.162139893;112.979148865;91.0615692139;242.162139893
23;8931;6;1974;15;113.999042587;80.8464257828;149.999934119;71.7529769481;108.432827235;143.243498076;121.025960019;155.31112743;74.0647295091;117.282709135;210.468658361;159.38268288;134.510889853;253.485863773;95.3042557259;113.999038696;121.0259552;117.282707214;113.999038696;121.0259552;117.282707214
24;9296;6;1975;15;122.877762375;80.8753740283;146.961910986;37.0565624305;44.4251626701;213.627294355;28.6922032189;73.4942039912;53.7587692083;218.057984841;171.600036186;135.983520462;44.0084580339;173.034007463;123.523994106;122.877761841;28.6922035217;218.057983398;122.877761841;28.6922035217;218.057983398
25;9662;6;1976;15;97.2478862638;45.9626211069;156.152328934;95.2055252851;53.3826869652;62.7970513955;106.377337407;74.8192400055;67.154304492;168.049603904;42.4980303734;88.2291037716;62.504566088;90.2793796422;110.348829475;97.2478866577;106.377342224;168.049606323;97.2478866577;106.377342224;168.049606323
26;10027;6;1977;15;235.471352959;115.820549101;118.316364683;75.3581125452;94.0662722078;193.099541283;70.0426917174;85.0623893836;123.289855114;87.8705816151;95.7366510188;140.797443681;63.513508194;187.050254683;297.192780233;235.471359253;70.0426940918;87.8705825806;235.471359253;70.0426940918;87.8705825806
27;10392;6;1978;15;343.101291455;203.388668734;587.166340679;398.224471012;103.955228366;81.3874063497;224.056882627;53.0747785142;229.735187625;310.72797648;219.397738084;189.356096747;99.8116953097;152.105054403;249.905088105;343.101287842;224.056884766;310.727966309;343.101287842;224.056884766;310.727966309
28;10757;6;1979;15;170.004537694;88.0491776595;123.001121135;30.7961604623;45.2672992174;61.2168653123;37.4818216444;36.4004470108;37.4174762392;120.990708278;90.560522318;77.1223790685;44.3684882185;90.5302086308;73.872205879;170.00453186;37.4818191528;120.990707397;170.00453186;37.4818191528;120.990707397
29;11123;6;1980;15;96.0586626667;38.8527383958;96.4617872317;25.7045880458;85.0399957372;112.316621699;61.1521490877;69.8522102654;42.0787256801;94.8806086369;53.1526115386;82.5539157039;26.7927137289;93.2523722629;51.0918044699;96.0586624146;61.1521492004;94.880607605;96.0586624146;61.1521492004;94.880607605
30;11488;6;1981;15;111.8395832;103.754996316;112.121519863;37.6064619183;98.8692132907;190.039802093;49.2898689489;96.3997904459;93.2221585009;168.272391195;110.71537696;138.623739691;67.8181617614;198.418974017;104.823366709;111.839584351;49.2898674011;168.272384644;111.839584351;49.2898674011;168.272384644
31;11853;6;1982;15;54.8093114869;38.1339856048;122.123364176;27.4464888453;27.3489637506;40.9017106162;53.07335864;35.9353842889;39.4267614117;171.540041731;69.4380294898;85.5109188904;49.2665977394;164.008074124;41.5918685745;54.8093109131;53.0733604431;171.540039062;54.8093109131;53.0733604431;171.540039062
