index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;530;6;1951;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;896;6;1952;15;113.973664084;99.7555873619;92.5076100266;44.9907969096;47.8970622851;54.3912281385;59.9553610204;48.9523959326;101.726820407;94.386192847;75.8975788643;75.2357144632;68.6659835315;77.5861518658;174.201900792;113.97366333;59.9553604126;94.3861923218;113.97366333;59.9553604126;94.3861923218
2;1261;6;1953;15;72.8374305206;66.162747454;68.7130580125;55.2580709472;60.2777938016;80.7359769054;48.2356335765;52.5312667663;73.7550478477;86.2447718555;59.7650554006;71.8234625284;55.4204710894;75.3120881789;148.077075543;72.8374328613;48.2356338501;86.2447738647;72.8374328613;48.2356338501;86.2447738647
3;1626;6;1954;15;76.1568921313;48.1161626422;75.9398720533;13.4882642014;24.2210555079;54.2011536952;31.8671761791;35.8129201712;51.2797063158;95.2073016206;57.2285707772;57.4735140002;38.4106762332;67.6621246302;91.5296222521;76.1568908691;31.8671760559;95.2072982788;76.1568908691;31.8671760559;95.2072982788
4;1991;6;1955;15;77.6004264042;78.1195719804;99.0112931872;48.4330263622;38.5195566024;69.6902755884;55.7949199832;49.6894038652;79.9869295001;107.158089505;75.5450623669;72.5049062343;72.1247371711;78.4703782241;87.9495769241;77.6004257202;55.7949180603;107.158088684;77.6004257202;55.7949180603;107.158088684
5;2357;6;1956;15;84.1654765448;77.3678616025;89.5727374242;25.1273734894;74.1686355145;80.410844077;45.915167302;59.3270709392;75.4234203828;94.0374612337;66.0280047171;75.8459088202;68.1559667032;75.6240424245;98.3058880364;84.165473938;45.9151687622;94.0374603271;84.165473938;45.9151687622;94.0374603271
6;2722;6;1957;15;121.028642536;105.504577342;140.703090991;1742.77199731;325.858657251;78.7762381701;840.988336668;339.856936053;279.582062138;121.746250054;103.641627851;205.35385989;243.753469906;106.541718608;276.214498702;121.028640747;840.988342285;121.746246338;121.028640747;840.988342285;121.746246338
7;3087;6;1958;15;75.7983092968;66.0486081003;98.5084649684;64.1427690013;47.5898021036;79.2920847397;73.6557494603;62.3611390615;73.007761948;126.574522478;75.541241438;83.1590220732;67.0126591271;99.8832916644;103.811977688;75.7983093262;73.65574646;126.574523926;75.7983093262;73.65574646;126.574523926
8;3452;6;1959;15;84.1176583538;77.0233323985;82.3765124085;105.47383296;60.5044491574;66.4719138288;85.3874645705;72.5146495906;86.1783323638;95.4001883885;83.3945933381;77.5668825478;67.0774084524;77.2095741066;114.755765233;84.1176605225;85.3874664307;95.4001922607;84.1176605225;85.3874664307;95.4001922607
9;3818;6;1960;15;88.7360744585;66.9457259777;80.0454726396;35.8104741701;23.9500787228;69.2372209664;46.0426403181;44.6953620188;69.5534648009;89.1168055931;64.4119711335;63.9683581727;56.5232153304;68.127257471;102.069133091;88.736076355;46.042640686;89.1168060303;88.736076355;46.042640686;89.1168060303
10;4183;6;1961;15;92.9732853968;63.6970133282;70.4190210029;20.3912010303;37.0000953127;49.6296046873;48.098602902;38.3267103691;67.0228409769;83.9709627975;54.0004085848;61.2441189065;53.4734369453;72.3348719996;112.206853907;92.9732818604;48.0986022949;83.9709625244;92.9732818604;48.0986022949;83.9709625244
11;4548;6;1962;15;103.184931486;66.2155602086;88.6204843453;62.918081787;34.1431398822;64.696034764;51.2226844031;44.8333442017;82.739000735;94.6524120995;61.242932896;71.5439628793;51.4650397238;79.993502852;175.998817317;103.184928894;51.2226829529;94.6524124146;103.184928894;51.2226829529;94.6524124146
12;4913;6;1963;15;154.81645872;104.958481731;112.810402581;168.653286818;80.001140686;80.7232146174;162.364112868;119.536781751;133.081760619;108.969560338;101.005359866;107.467655614;129.011615825;86.923854258;233.345192872;154.816452026;162.364120483;108.969558716;154.816452026;162.364120483;108.969558716
13;5279;6;1964;15;99.3957274261;85.5405381535;86.4109716005;117.532974785;103.618503461;112.29284149;101.71343874;111.69248548;98.9424904593;109.019806771;82.8358152943;101.23752965;99.1841368464;88.7575168802;150.661292004;99.3957290649;101.713439941;109.019805908;99.3957290649;101.713439941;109.019805908
14;5644;6;1965;15;84.2908549682;68.3714185053;93.2714534837;95.1668774414;58.0625928365;90.900937829;105.820608938;81.1943151129;80.3884569115;136.597404103;88.2573601892;94.9040647449;86.196449782;116.534264579;86.7973919559;84.2908554077;105.820610046;136.597412109;84.2908554077;105.820610046;136.597412109
15;6009;6;1966;15;115.598349726;79.7988227819;88.6074446922;109.407844515;79.5189565475;81.3204099758;101.000872053;82.543068246;101.759659801;87.4402734246;77.50827892;85.4526541386;93.8791554324;73.7625069392;137.745618488;115.598350525;101.000869751;87.4402770996;115.598350525;101.000869751;87.4402770996
16;6374;6;1967;15;75.8988149376;50.4995859823;77.2180081996;43.4177708302;29.2774556336;60.6513540981;56.7721373749;46.8968815403;52.5176441722;102.906612534;50.5896355799;65.1280238959;56.942941797;81.4180174559;88.60904281;75.8988113403;56.7721366882;102.906608582;75.8988113403;56.7721366882;102.906608582
17;6740;6;1968;15;118.441482359;87.3587406585;89.5080234407;684.092795579;100.836137979;79.9768700305;293.845786073;127.466237561;130.87116848;121.426951824;77.0836007298;113.410516866;93.2166659815;100.241749758;187.963495242;118.441482544;293.845794678;121.426948547;118.441482544;293.845794678;121.426948547
18;7105;6;1969;15;112.408376609;89.9424311976;92.2942822283;104.907303848;34.9096262733;58.0111867516;69.3999437784;46.1870861926;87.1760191258;92.0467662368;73.4811604052;71.388249702;72.0871769404;73.407788618;140.937547111;112.408378601;69.3999404907;92.0467681885;112.408378601;69.3999404907;92.0467681885
19;7470;6;1970;15;112.928968367;68.6245090003;101.562025936;52.6257939848;62.2870604882;58.6693305591;86.6155395575;64.7614454573;73.0239798838;98.0616444558;73.8942298477;76.1507735892;82.823666433;68.9433823506;130.678587221;112.928970337;86.6155395508;98.0616455078;112.928970337;86.6155395508;98.0616455078
20;7835;6;1971;15;208.386864298;148.93396729;129.510535344;89.6280406361;98.4277361901;94.7064424475;140.800482042;102.662434819;196.989289883;130.079456866;111.076329025;128.38459944;142.169009191;112.966326426;385.525011738;208.386856079;140.800476074;130.079452515;208.386856079;140.800476074;130.079452515
21;8201;6;1972;15;133.327607608;96.6310850463;117.30033744;60.2098106337;63.3984593017;72.7281751549;132.295632981;97.3370554893;89.2831507909;123.105893527;107.030550162;102.069120126;101.344810958;114.087647565;146.229820155;133.327606201;132.295623779;123.105895996;133.327606201;132.295623779;123.105895996
22;8566;6;1973;15;92.2071770556;70.607715112;83.4747575588;75.1393237709;49.8455741922;69.9123525305;75.8180360782;55.5518405263;85.7424211316;127.002270347;75.4868098164;78.6295772818;75.2048082486;86.3773554257;103.794876114;92.2071762085;75.8180389404;127.00227356;92.2071762085;75.8180389404;127.00227356
23;8931;6;1974;15;266.786451146;188.440778639;148.619049165;44.5082440521;76.1178596672;101.987905392;137.246314137;120.475788741;152.261611742;97.5037251848;174.279912836;122.414979392;127.531366235;87.5830308123;241.693028554;266.786437988;137.246322632;97.5037231445;266.786437988;137.246322632;97.5037231445
24;9296;6;1975;15;90.3109004582;62.2687392864;84.9773599956;100.659624725;50.4910448976;48.1038009077;66.934776393;51.1716588769;64.8177846077;94.9926444319;61.4394350644;68.0170067155;53.3718042858;71.8518399138;142.487977754;90.3108978271;66.9347763062;94.9926452637;90.3108978271;66.9347763062;94.9926452637
