index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;530;6;1951;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;896;6;1952;15;105.922308699;72.6163413908;141.008579561;37.3073218441;21.5796426329;46.4707698575;46.7853317124;34.8661528917;63.2134291183;151.3738927;80.5763409257;78.4801458947;49.7572807505;99.9597235589;137.89365635;105.922309875;46.7853317261;151.373901367;105.922309875;46.7853317261;151.373901367
2;1261;6;1953;15;73.5153878429;64.803368649;54.1969253327;106.698054811;67.6472803236;89.0718883481;98.1162222073;117.950214255;79.5938363652;136.636035082;66.9001484915;89.9281421816;84.0167397744;90.9216441844;94.1580743795;73.5153884888;98.1162185669;136.636032104;73.5153884888;98.1162185669;136.636032104
3;1626;6;1954;15;84.7353375538;65.6325221535;102.628667011;85.3834823414;19.7181851914;86.9127147267;68.1484643641;41.4847598214;74.5877798577;125.152545564;65.2633592577;95.3271500675;69.3079394446;178.962806197;99.1972310388;84.7353363037;68.1484680176;125.152542114;84.7353363037;68.1484680176;125.152542114
4;1991;6;1955;15;130.346945043;145.743152815;118.326367345;84.6493543766;127.967654834;192.39102739;114.865293892;173.407204157;234.962844744;294.045306912;102.46295889;164.659250476;86.4527297546;156.965660875;152.870023943;130.346939087;114.86529541;294.045318604;130.346939087;114.86529541;294.045318604
5;2357;6;1956;15;76.2416608051;61.1028800789;109.35526782;82.5947673844;58.0403418533;97.4906239452;181.76660447;133.334223594;70.3667174295;191.445941825;105.693658149;128.825626576;119.551053631;195.414732426;81.0618827816;76.2416610718;181.766601562;191.44593811;76.2416610718;181.766601562;191.44593811
6;2722;6;1957;15;125.676362108;80.8018778532;111.997337747;78.9518497718;121.197997239;150.394073771;90.8187462713;93.1649436365;83.7506869489;106.558006312;70.0208866045;110.459205466;82.2294934424;108.99655706;137.649085701;125.676361084;90.8187484741;106.558006287;125.676361084;90.8187484741;106.558006287
7;3087;6;1958;15;143.912080588;91.8549077002;178.776120687;59.2594466813;49.0221546316;113.647071985;82.1929977131;69.8529417154;77.6727130086;131.726640515;121.370739688;110.139212589;97.5900964739;123.527356775;178.654804471;143.912078857;82.1930007935;131.726638794;143.912078857;82.1930007935;131.726638794
8;3452;6;1959;15;109.654268656;66.430561272;98.7228199346;60.7558594881;69.8365966535;96.1497165242;88.2084233491;83.1376349127;66.2974936255;119.17109434;112.939274079;96.5531540327;85.1436804065;104.790729923;144.26760762;109.654266357;88.2084197998;119.171096802;109.654266357;88.2084197998;119.171096802
9;3818;6;1960;15;145.999462199;90.4095832825;115.208133617;91.4132468534;33.6993129889;77.1691198342;69.2395224586;47.6168529824;99.132886027;226.692050398;117.562876769;119.779797127;69.8149046789;197.232132281;180.276423135;145.999465942;69.2395248413;226.692062378;145.999465942;69.2395248413;226.692062378
10;4183;6;1961;15;102.079138384;60.0634272692;87.6338348594;161.768257038;83.2954935686;66.0263205135;200.005398317;105.616471718;90.5907927414;108.680807295;64.0762907678;87.7819502709;133.794974;64.5629983511;113.122497509;102.079139709;200.005401611;108.680809021;102.079139709;200.005401611;108.680809021
11;4548;6;1962;15;87.6788448131;70.4876681494;62.5734118987;8.27336358604;27.19856048;62.5971344884;22.8580536954;44.621390067;60.1115998674;113.984274277;68.5558930954;69.6046545798;51.4509692436;89.9247455072;154.411185168;87.6788482666;22.8580532074;113.984275818;87.6788482666;22.8580532074;113.984275818
12;4913;6;1963;15;95.9961406992;68.8603934681;81.7429325937;36.540201173;19.9999345053;31.8518548251;54.4363173541;43.1844605136;69.4142398162;104.804149814;82.5060155889;65.1131075385;101.553396462;84.138085762;80.2852388317;95.9961395264;54.4363174438;104.804145813;95.9961395264;54.4363174438;104.804145813
13;5279;6;1964;15;149.743076331;147.580506388;119.140365082;186.653250698;88.9162507925;85.0715423978;132.310153433;108.232200955;119.037784337;94.6315185334;77.6523122413;100.854072907;72.9882131452;87.6863152406;142.692695175;149.74307251;132.310150146;94.6315155029;149.74307251;132.310150146;94.6315155029
