index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;530;6;1951;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;896;6;1952;15;99.3443285938;72.4074295679;122.711966321;56.8568529675;126.847121138;144.53277171;65.4119449578;89.0257791156;77.5014469008;154.452793213;80.2979643642;119.072637914;69.1376229781;137.380285711;148.153494936;99.344329834;65.4119415283;154.452789307;99.344329834;65.4119415283;154.452789307
2;1261;6;1953;15;144.48504911;113.710316231;131.568420052;84.1790551921;57.5846680512;91.9228941388;97.8910711038;93.4855436284;116.449338077;141.314132509;100.898494745;106.347985728;97.1343838513;108.293801601;179.105200509;144.485046387;97.8910675049;141.31413269;144.485046387;97.8910675049;141.31413269
3;1626;6;1954;15;114.754777679;76.2738670876;116.902002288;57.2837618853;30.864837466;79.0286725458;62.4642639904;47.047596117;87.1116338584;140.287167604;94.6601098867;89.4506310781;71.668307016;117.810740195;121.546275999;114.754776001;62.464263916;140.28717041;114.754776001;62.464263916;140.28717041
4;1991;6;1955;15;121.185439461;108.955725491;129.918325408;88.9315662822;64.7099167136;121.778754417;92.8102292348;84.7432098418;132.216413065;196.753461077;90.8258152681;118.918526028;80.5712857496;138.551736687;155.58470519;121.185440063;92.8102340698;196.753463745;121.185440063;92.8102340698;196.753463745
5;2357;6;1956;15;101.42273582;91.1592666479;137.869099715;71.0143519278;84.6164489415;112.093690964;101.347606039;136.006646822;96.3320579459;155.110302658;123.416006025;122.072598693;107.054612964;136.346565468;124.122091788;101.422737122;101.347610474;155.110305786;101.422737122;101.347610474;155.110305786
6;2722;6;1957;15;190.607044269;171.666612328;174.135299438;579.401997391;154.518356282;116.8449055;329.99398648;160.173960021;230.841887132;137.302390621;125.435487814;156.073359406;155.084127395;112.834269352;301.233901399;190.607040405;329.993988037;137.302398682;190.607040405;329.993988037;137.302398682
7;3087;6;1958;15;152.657903124;115.892837747;147.900646156;134.848923432;69.5206550746;132.539768497;127.948697165;84.8817698645;157.589103943;141.888473266;123.560877998;127.370158574;117.846381687;149.802324611;175.030940478;152.657897949;127.948699951;141.888473511;152.657897949;127.948699951;141.888473511
8;3452;6;1959;15;102.643314264;111.021184238;119.778543715;131.554298566;62.4200517813;75.5096141538;124.542273456;86.99001082;114.183274036;126.253428328;123.879674376;100.896657047;109.464077124;103.904929214;155.661731414;102.643310547;124.542274475;126.253433228;102.643310547;124.542274475;126.253433228
9;3818;6;1960;15;111.28381694;111.175420856;100.668803702;69.5683675115;61.2450658116;79.812176103;66.7627064441;53.2869284929;112.085220683;174.692764296;93.9593125333;99.6902469444;80.868162581;125.562885116;141.860668615;111.283813477;66.7627105713;174.692764282;111.283813477;66.7627105713;174.692764282
10;4183;6;1961;15;119.195624701;132.616007058;118.321669639;154.333510503;72.5209354761;107.133346438;178.401783375;101.803612143;161.762392115;141.119372859;126.451275969;119.254177024;176.282663439;121.856740062;136.137135847;119.195625305;178.401794434;141.119369507;119.195625305;178.401794434;141.119369507
11;4548;6;1962;15;95.2807594997;74.5169253554;126.13317055;40.8185235714;57.0046889758;87.3364061671;45.5742847228;48.7308280027;73.6443114122;129.789278893;73.9147192956;90.4240523144;56.7843285602;117.362835141;138.015503978;95.2807540894;45.5742835999;129.789276123;95.2807540894;45.5742835999;129.789276123
12;4913;6;1963;15;100.325244548;65.3429869194;92.4282192644;67.7624989683;82.7849096531;80.3266239513;71.2317353511;75.2321632589;71.0161696802;105.07294119;69.8324576156;87.3729856088;74.3344190237;98.694485041;125.212687684;100.325248718;71.2317352295;105.072937012;100.325248718;71.2317352295;105.072937012
13;5279;6;1964;15;143.963063511;127.649650706;114.730925611;116.299897464;69.7225224535;87.3768801314;108.7389369;82.289642291;147.163007181;128.979158591;82.6614852209;101.869885186;82.2436200014;90.233696681;234.194262498;143.963058472;108.738945007;128.979156494;143.963058472;108.738945007;128.979156494
14;5644;6;1965;15;117.630406452;132.932407077;143.715910819;90.3604076421;78.7552064359;136.230682898;110.353304187;104.317372198;145.46019159;140.135506714;140.277113589;133.846689472;134.399122807;175.762039784;123.811764262;117.630401611;110.353302002;140.135498047;117.630401611;110.353302002;140.135498047
15;6009;6;1966;15;114.247165543;112.067035035;127.16533029;94.7494927865;113.07321779;128.206296745;99.4731349938;86.0456622077;139.724690248;135.637814865;113.834672222;118.47714274;103.013269605;124.24628921;142.19356541;114.247161865;99.4731369019;135.637817383;114.247161865;99.4731369019;135.637817383
16;6374;6;1967;15;168.444551472;92.6536150653;199.744260212;62.4427434217;79.6366037874;181.86098932;83.3923655111;87.8702158618;108.571173915;148.43105381;120.426159217;136.555680827;88.023005327;157.6010126;157.376787039;168.444549561;83.392364502;148.431060791;168.444549561;83.392364502;148.431060791
17;6740;6;1968;15;98.7190816932;110.04147533;134.737780791;212.975368103;73.4626613262;90.9704932444;121.501087139;99.1752495874;113.601806669;151.868117909;142.197246256;111.270463174;127.912749081;112.072170416;124.710437053;98.719078064;121.501083374;151.868118286;98.719078064;121.501083374;151.868118286
18;7105;6;1969;15;133.923221332;94.5595534925;101.319361341;88.5893312948;54.1562037507;86.7808459891;71.1034004766;54.6860914263;94.226265584;120.153169071;75.2078942421;92.6019612027;74.8926322777;115.244684853;157.90798721;133.923217773;71.1034011841;120.153167725;133.923217773;71.1034011841;120.153167725
19;7470;6;1970;15;120.52501524;98.403153131;150.265669481;209.936760244;69.9679196348;88.9726921323;170.623507038;117.076593571;141.047651505;157.371683013;126.078163993;121.428652321;150.35905903;125.59773566;169.494413703;120.525016785;170.623504639;157.371688843;120.525016785;170.623504639;157.371688843
20;7835;6;1971;15;131.336240125;110.119507613;106.738124153;72.294123244;67.7793994342;91.2357827132;122.521217616;94.8757069318;117.286216291;196.590857536;99.3367301682;114.365067066;129.43572189;123.089073925;174.495016053;131.336227417;122.521217346;196.59085083;131.336227417;122.521217346;196.59085083
21;8201;6;1972;15;130.992352264;99.8779881966;215.574691577;63.9977715445;61.6511493315;110.617024847;98.1823670785;73.4906435077;111.495210003;180.849514819;99.4692815922;128.916768619;110.777163737;175.925996389;140.04259026;130.992355347;98.1823654175;180.849517822;130.992355347;98.1823654175;180.849517822
22;8566;6;1973;15;117.555870792;96.802926535;126.683026297;77.5621905115;150.530035666;137.083928234;75.3596178776;83.4609651627;98.4262202703;148.598910295;114.126491003;118.5351358;66.8391302553;116.095666682;129.276543533;117.555877686;75.3596191406;148.598907471;117.555877686;75.3596191406;148.598907471
23;8931;6;1974;15;137.366748554;94.684262348;106.981934856;44.02744775;62.9512222045;86.3564837435;81.73999118;85.9941922233;84.2673053262;98.7125842361;121.026813862;98.5532569438;88.2108258135;114.185269889;152.181932251;137.366744995;81.7399902344;98.7125854492;137.366744995;81.7399902344;98.7125854492
24;9296;6;1975;15;145.731669044;79.7353271642;135.685420997;67.8646857078;61.2641954571;126.613795929;57.0263028559;73.9367256052;71.3372312796;151.499909409;101.235971154;106.491588462;52.2969124547;114.571267498;168.498596271;145.731674194;57.0263023376;151.499908447;145.731674194;57.0263023376;151.499908447
25;9662;6;1976;15;80.9334246432;76.3343661543;133.71935519;104.269535913;71.8967046385;91.0733331971;105.083611136;90.0568227044;88.9288320834;141.598360737;79.0071171151;101.911699778;94.6187523291;119.69172026;96.6397716347;80.9334259033;105.083610535;141.598358154;80.9334259033;105.083610535;141.598358154
26;10027;6;1977;15;150.941497937;122.473302464;135.374227642;72.0995615023;69.4359173906;118.116940484;82.0925425583;83.1725201009;115.846908978;178.467487482;105.725351036;122.271874283;76.9424768581;153.424298842;160.174509423;150.941497803;82.0925445557;178.467483521;150.941497803;82.0925445557;178.467483521
27;10392;6;1978;15;168.056702263;95.9422940508;228.454151553;195.949413455;79.043113458;77.9890927629;126.157510927;75.528114953;115.303730893;176.004178017;99.6454619571;113.950485989;72.6631350245;104.288178856;166.157167243;168.05670166;126.157516479;176.004180908;168.05670166;126.157516479;176.004180908
28;10757;6;1979;15;141.895155434;81.7808101044;119.60179516;50.3150813577;55.0069000664;79.2235012058;58.3645452532;61.6454824401;66.7372412468;110.101381283;91.7959527919;86.7910977311;68.2467236527;95.5413060633;123.902989898;141.89515686;58.3645439148;110.101379395;141.89515686;58.3645439148;110.101379395
29;11123;6;1980;15;106.504273574;84.5933189198;107.207124556;95.4266693678;77.4897075933;94.7019448202;82.5597949568;77.6298775486;89.0238608868;149.270637719;106.8939177;99.5922319722;79.3570503061;105.384091132;128.530495978;106.504272461;82.5597915649;149.270629883;106.504272461;82.5597915649;149.270629883
30;11488;6;1981;15;113.101285096;73.0113051288;116.396855129;49.109853561;67.3828554296;96.1003596472;53.7074589087;66.2175572374;75.0087684446;128.847215972;75.387520247;93.646321457;59.9383844645;111.524260501;129.950683923;113.101287842;53.7074584961;128.847213745;113.101287842;53.7074584961;128.847213745
31;11853;6;1982;15;106.193793474;73.7724618066;110.24137895;73.0726027691;63.2380685099;85.9538450125;80.4940297727;68.132304429;78.8601611692;171.945616622;78.9707157642;99.9251793474;69.9422928443;130.065870972;106.967601675;106.19379425;80.4940338135;171.945617676;106.19379425;80.4940338135;171.945617676
32;12218;6;1983;15;125.829845597;92.7184780804;101.437473654;83.1031549941;123.508769942;133.736065936;113.939037708;160.346331483;93.4030771525;92.5528404767;118.282971392;116.713421899;139.946939545;89.1129179519;151.940257099;125.829841614;113.939033508;92.5528411865;125.829841614;113.939033508;92.5528411865
33;12584;6;1984;15;83.327584029;102.721718497;96.8232261131;63.7984495826;59.5875363466;101.431549451;79.6506671456;70.5581462095;100.15816949;122.597788455;111.204201559;100.872307546;83.4169811379;137.516210083;95.4913732639;83.327583313;79.6506652832;122.59778595;83.327583313;79.6506652832;122.59778595
34;12949;6;1985;15;122.265156283;90.8575537892;117.42273471;102.184732566;96.6018064719;96.3625888269;110.95788736;91.925500165;107.484009839;115.007219004;86.3940322497;98.650278521;104.352978428;79.394979984;154.353991561;122.265159607;110.957885742;115.007217407;122.265159607;110.957885742;115.007217407
35;13314;6;1986;15;174.698241448;112.731393644;162.331190316;109.324113525;67.7235767939;93.156854904;92.2183208794;68.6192335525;115.762447941;149.7112085;87.144955121;107.230848888;81.3228016774;111.160433376;163.805224984;174.698242188;92.2183227539;149.711212158;174.698242188;92.2183227539;149.711212158
36;13679;6;1987;15;153.079354565;125.876252337;118.476074564;121.707052415;141.666346808;128.196531157;117.855844389;130.129565415;126.806317167;139.918856198;116.992683357;128.85763116;108.962760737;115.602089419;191.605591841;153.079345703;117.85584259;139.91885376;153.079345703;117.85584259;139.91885376
37;14045;6;1988;15;145.524397104;102.545598021;163.654124076;113.446575275;77.2599657393;149.654124425;112.459639534;119.568649641;88.0438368587;162.192248064;112.80825669;141.901132992;85.1347988076;193.214105454;173.53505727;145.524398804;112.459640503;162.192245483;145.524398804;112.459640503;162.192245483
38;14410;6;1989;15;120.939534875;102.164980849;107.369020127;127.638451572;96.8371205207;161.298583022;129.115925929;135.852796745;114.235062215;142.585717256;113.682524932;129.184529798;118.709327982;129.284620685;162.255511784;120.939537048;129.115921021;142.585708618;120.939537048;129.115921021;142.585708618
39;14775;6;1990;15;167.495578956;76.6116439071;158.490090317;67.5644176264;68.6979996062;106.899492976;56.8586137465;71.2524143798;71.0660485526;146.413809159;89.8870623975;105.817334372;56.4331188398;118.470635079;155.153594027;167.495574951;56.8586158752;146.413803101;167.495574951;56.8586158752;146.413803101
40;15140;6;1991;15;141.979851005;119.189300674;163.352332999;154.147903722;64.3443942443;127.004083046;130.900227185;106.502068529;130.99105549;123.00628081;150.485389283;128.457585522;117.257929623;149.090163266;172.665958101;141.979858398;130.900222778;123.006286621;141.979858398;130.900222778;123.006286621
41;15506;6;1992;15;98.8541760128;133.097548166;91.5112564681;144.858905078;83.8607430089;96.7900760816;132.923976401;93.5669403398;143.010878354;135.193504458;103.129289505;101.391246657;118.193948109;81.1378357391;150.97522939;98.8541793823;132.923980713;135.193511963;98.8541793823;132.923980713;135.193511963
42;15871;6;1993;15;87.5838127324;100.451738151;83.1537959262;75.9976182752;79.1381657038;100.560798565;86.5475688538;82.8588188177;105.126169695;150.977331888;90.7975359243;106.320020849;73.3598834572;138.646532222;130.405734394;87.5838088989;86.5475692749;150.977340698;87.5838088989;86.5475692749;150.977340698
43;16236;6;1994;15;142.261717761;70.3248904382;125.060019811;54.230456494;40.4192570508;63.3902031692;60.407761817;48.5984234203;72.0298771234;123.060985753;63.9425238317;81.7363431292;58.5484384542;96.9407647309;137.412267035;142.26171875;60.4077606201;123.06098938;142.26171875;60.4077606201;123.06098938
44;16601;6;1995;15;200.479630133;125.180484875;201.988588628;237.890475405;84.9733997851;127.319639579;165.063560517;82.9781282273;175.754091725;161.90733638;105.760595459;133.076485859;99.8654295795;126.11897802;236.232751087;200.479629517;165.063568115;161.907333374;200.479629517;165.063568115;161.907333374
45;16967;6;1996;15;77.4449805021;59.0738109391;92.7427940198;64.7737420175;35.8864526798;74.4803806664;60.3313902755;60.7791937269;68.7440513571;137.190721381;80.2480761479;82.8335851716;59.8854437211;111.694955631;86.3514347806;77.444984436;60.3313903809;137.190719604;77.444984436;60.3313903809;137.190719604
