index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
0;10757;6;1979;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;11123;6;1980;15;114.05682134;93.6503594515;95.1554210255;80.3655255663;78.2592248746;108.865887779;72.3145372487;77.3708296077;82.0787258727;128.566536701;79.8562248445;95.7568820214;80.4422666605;100.507503151;109.88608432;114.05682373;72.3145370483;128.566543579;114.05682373;72.3145370483;128.566543579
2;11488;6;1981;15;93.6286404117;75.8331565586;92.5734302808;92.4844221951;66.5532638826;110.980282097;87.7035489485;82.2481782057;83.2702000025;98.8327346483;72.2161169569;92.7766863797;80.7139158868;105.136791755;112.770424193;93.6286392212;87.7035522461;98.8327331543;93.6286392212;87.7035522461;98.8327331543
3;11853;6;1982;15;109.331138055;81.116907195;103.927837967;88.4943716977;48.2597958413;66.9653903085;84.3094624752;66.7153215088;82.6774593174;89.1088741375;70.5501797411;76.8361156591;78.4383543576;70.9462551684;147.88738368;109.331138611;84.309463501;89.10887146;109.331138611;84.309463501;89.10887146
4;12218;6;1983;15;64.7951962502;46.7457506507;78.931060425;52.356078103;24.9639864696;53.8554883513;51.2729808993;33.7447727623;52.6117947292;85.9584499925;46.1768368411;57.9274565258;46.199775261;74.9722318212;84.2893148318;64.7951965332;51.2729797363;85.9584503174;64.7951965332;51.2729797363;85.9584503174
5;12584;6;1984;15;81.5947288036;76.3881312643;74.3554353111;73.9736586135;43.1385974207;73.222485681;62.3265486235;61.2092219003;70.6179343903;75.0214920346;75.8359175302;69.1694645027;76.4180459575;72.5056333235;81.7337332942;81.5947265625;62.32654953;75.0214920044;81.5947265625;62.32654953;75.0214920044
6;12949;6;1985;15;89.6446245686;62.4694397972;117.531263937;49.6615334145;39.0118554769;85.8437869445;48.1920462866;57.6191383905;65.7364095631;147.216296504;82.6675247765;95.0659813936;54.1536273454;144.061816513;114.751450736;89.6446304321;48.1920471191;147.216293335;89.6446304321;48.1920471191;147.216293335
7;13314;6;1986;15;115.935017021;77.3344121794;135.272918739;73.0697351009;59.6556476535;70.425573441;62.7495432687;52.9729172342;67.5531227682;158.630495559;84.0649449046;93.7989072669;56.2821595963;118.028769118;130.812908282;115.935012817;62.7495422363;158.630493164;115.935012817;62.7495422363;158.630493164
8;13679;6;1987;15;108.893687913;87.0272755907;125.00050935;95.2871736909;58.9007338453;93.2244642454;85.1951844855;71.8314941854;85.1907020119;80.3983711006;81.83036604;85.9845335984;86.8508934513;80.4812830292;136.213592969;108.893684387;85.1951828003;80.3983688354;108.893684387;85.1951828003;80.3983688354
9;14045;6;1988;15;103.119816255;149.715052727;98.0284636658;81.6039694262;53.3396468565;93.9917298676;96.8173988499;87.5618842539;133.274305026;104.802150315;139.31252226;101.206231046;127.413614737;109.147785548;124.209910485;103.119819641;96.8173980713;104.802146912;103.119819641;96.8173980713;104.802146912
10;14410;6;1989;15;147.797861918;114.453176245;104.597326937;78.9027784152;84.0900790038;84.501396257;103.769950812;92.5562894379;113.013752538;118.688106408;92.2258873487;100.289307898;105.313234702;85.3892207422;218.725969819;147.797866821;103.769950867;118.688110352;147.797866821;103.769950867;118.688110352
11;14775;6;1990;15;87.0870322238;63.334066154;80.3052636476;47.4565267609;35.2873666898;68.543048425;50.0474096576;40.5702365278;59.5035888001;88.5902479701;58.57080744;77.8761209984;46.5596658469;130.347977879;122.764654093;87.0870285034;50.0474090576;88.5902481079;87.0870285034;50.0474090576;88.5902481079
12;15140;6;1991;15;76.1996098976;62.2517255981;87.0169328633;56.2547834455;32.1787141133;57.5712360451;55.5458968278;65.5086313559;65.2880486095;102.787215424;72.9950632215;69.1736873006;67.0491110574;76.864485855;83.8082392054;76.1996078491;55.5458984375;102.787216187;76.1996078491;55.5458984375;102.787216187
13;15506;6;1992;15;86.2363364615;49.1921573484;86.0733037046;40.0631598801;35.1301844141;50.3750991652;44.8798089195;38.2777252382;59.6562217372;97.0917691156;49.4972268066;61.7137532901;57.8449756395;73.0021118511;93.1612626829;86.2363357544;44.8798103333;97.0917663574;86.2363357544;44.8798103333;97.0917663574
14;15871;6;1993;15;100.169318155;76.1936087504;110.081465171;51.657833594;79.4613865492;68.2415795387;53.5277753216;62.7709672111;65.8065578146;119.940475519;66.9164299289;84.9685113642;55.6620648264;100.53056184;110.373635689;100.169319153;53.5277748108;119.940475464;100.169319153;53.5277748108;119.940475464
